UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/13T21:55:31z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,56,49,1016.33,nan,28128,0,99,1.48,4.32,5.30,1.48,4.32,5.30,18,18,435.95,125.57,30.61,9.00,1.45,0.91,1.68,3.11,5.02,1.68,3.11,5.02,13,13,435.48,125.39,17.66,6.25,2.73,1.52,nan
2026/05/13T21:57:19z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1016.42,4.85,23976,-73,219,1.24,2.95,5.69,1.24,2.95,5.69,12,12,460.71,133.53,28.76,9.10,4.52,1.02,2.02,3.48,5.09,2.02,3.48,5.09,15,15,526.12,143.59,23.12,5.91,2.43,1.14,59.69
2026/05/13T21:59:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,58,48,1016.41,nan,25272,-63,100,1.78,4.02,6.36,1.78,4.02,6.36,17,17,564.73,167.89,29.78,8.76,3.58,1.76,1.60,2.88,5.23,1.60,2.88,5.23,12,12,459.70,129.09,21.30,5.72,2.91,2.58,nan
2026/05/13T22:01:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1016.47,4.85,7760,-66,220,1.47,2.80,4.10,1.47,2.80,4.10,12,12,433.53,123.14,17.17,5.51,1.90,0.49,1.63,2.67,3.91,1.63,2.67,3.91,11,11,459.05,132.96,17.82,4.07,1.56,0.47,50.00
2026/05/13T22:03:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1016.43,4.85,7760,-60,340,1.12,2.70,4.42,1.12,2.70,4.42,11,11,404.11,121.16,19.19,6.77,2.74,1.00,1.39,2.15,2.78,1.39,2.15,2.78,9,9,435.71,116.49,13.88,1.83,0.86,0.59,50.00
2026/05/13T22:05:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,53,46,1016.50,4.85,7760,-52,460,1.58,3.93,6.40,1.58,3.93,6.40,16,16,488.26,141.54,29.18,10.21,3.49,1.42,1.92,2.81,4.56,1.92,2.81,4.56,12,12,503.14,142.03,18.14,3.66,2.22,1.58,50.00
2026/05/13T22:07:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,52,47,1016.44,4.85,7760,-53,580,1.25,2.41,3.81,1.25,2.41,3.81,10,10,428.39,124.86,20.90,5.95,2.24,0.51,2.05,2.78,3.38,2.05,2.78,3.38,12,12,514.55,145.69,15.72,2.31,1.03,0.60,50.00
2026/05/13T22:26:19z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,52,48,1016.54,nan,26704,-91,99,1.18,2.71,3.29,1.18,2.71,3.29,11,11,350.67,103.02,16.49,5.93,0.87,0.31,1.68,3.27,4.43,1.68,3.27,4.43,14,14,468.61,131.09,20.39,5.00,1.55,0.66,nan
2026/05/13T22:28:19z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,48,48,1016.51,4.84,8768,-94,219,1.31,3.41,5.56,1.31,3.41,5.56,14,14,487.68,144.39,30.51,8.47,3.20,1.07,1.86,3.91,4.64,1.86,3.91,4.64,16,16,567.16,153.93,24.80,5.38,1.04,0.79,50.00
2026/05/13T22:30:19z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,46,47,1016.58,4.84,8768,-94,339,1.84,3.42,4.82,1.84,3.42,4.82,14,14,483.89,141.77,25.88,5.75,2.19,0.79,2.00,3.81,5.61,2.00,3.81,5.61,16,16,535.58,155.69,27.88,4.85,2.95,1.49,50.00
