UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/17T00:01:20z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,37,36,1021.39,4.94,26248,0,460,1.09,1.84,2.25,1.09,1.84,2.25,8,8,377.95,110.57,11.43,1.52,0.62,0.45,1.14,1.39,2.02,1.14,1.39,2.02,6,6,351.56,100.27,10.88,1.22,0.85,0.17,84.24
2026/05/17T00:03:20z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,39,37,1021.38,4.94,26248,0,580,1.07,1.69,1.79,1.07,1.69,1.79,7,7,379.71,103.86,10.64,1.10,0.41,0.00,0.84,1.88,2.18,0.84,1.88,2.18,8,8,355.74,99.40,15.16,1.49,0.44,0.00,89.59
2026/05/17T00:05:20z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,40,38,1021.40,4.94,26248,0,700,1.00,1.34,1.84,1.00,1.34,1.84,6,6,356.69,102.60,8.38,1.72,0.74,0.22,0.84,1.32,1.50,0.84,1.32,1.50,6,6,318.75,85.84,11.55,0.77,0.27,0.27,87.72
2026/05/17T00:07:20z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,39,39,1021.41,4.94,26248,0,820,0.72,1.16,1.32,0.72,1.16,1.32,5,5,294.68,83.23,9.61,0.93,0.32,0.21,1.10,1.72,2.12,1.10,1.72,2.12,7,7,318.98,92.55,14.64,1.78,0.66,0.19,86.89
2026/05/17T00:09:20z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,39,38,1021.39,4.94,26248,0,940,0.74,1.25,1.51,0.74,1.25,1.51,5,5,266.79,77.79,11.33,1.46,0.18,0.00,0.81,1.88,2.12,0.81,1.88,2.12,8,8,293.08,85.95,16.24,2.64,0.46,0.00,82.53
2026/05/17T00:11:20z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,39,38,1021.39,4.94,26248,0,1060,1.05,1.72,2.00,1.05,1.72,2.00,7,7,325.34,92.90,14.29,1.22,0.34,0.17,0.44,1.10,1.80,0.44,1.10,1.80,5,5,282.10,77.85,13.24,1.86,1.17,0.00,87.31
2026/05/17T00:13:20z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,38,38,1021.37,4.94,26248,0,1180,0.88,1.50,1.80,0.88,1.50,1.80,6,6,341.80,89.72,9.93,1.68,0.67,0.40,0.88,1.80,2.43,0.88,1.80,2.43,8,8,307.02,86.46,15.45,2.36,1.39,0.16,89.30
2026/05/17T00:15:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,38,38,1021.41,nan,26336,0,100,0.89,1.61,2.00,0.89,1.61,2.00,7,7,312.85,88.00,14.00,1.85,0.80,0.00,1.14,1.88,1.93,1.14,1.88,1.93,8,8,368.79,103.65,13.72,0.86,0.07,0.00,nan
2026/05/17T00:17:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,38,39,1021.39,4.94,26248,0,220,1.00,1.78,2.30,1.00,1.78,2.30,7,7,345.35,94.95,12.72,0.93,0.78,0.48,1.07,1.98,2.07,1.07,1.98,2.07,8,8,344.05,102.58,12.14,1.40,0.58,0.00,86.30
2026/05/17T00:19:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,38,39,1021.37,4.94,26248,0,340,0.95,1.41,2.21,0.95,1.41,2.21,6,6,332.20,92.75,11.29,1.68,0.93,0.61,0.98,1.73,2.37,0.98,1.73,2.37,7,7,323.25,93.80,16.27,1.65,1.00,0.20,83.19
2026/05/17T00:21:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,38,40,1021.37,4.94,26248,0,460,1.00,1.46,1.65,1.00,1.46,1.65,6,6,332.21,95.21,10.09,0.60,0.35,0.00,1.25,2.58,3.07,1.25,2.58,3.07,11,11,357.76,105.63,17.51,3.66,0.88,0.17,81.58
2026/05/17T00:23:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,37,39,1021.37,4.94,26248,0,580,0.93,1.78,2.33,0.93,1.78,2.33,7,7,322.81,93.90,15.07,2.34,0.84,0.00,0.98,1.47,2.19,0.98,1.47,2.19,6,6,324.72,91.31,11.53,1.69,0.69,0.21,80.66
2026/05/17T00:25:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,38,40,1021.40,4.94,26248,0,700,0.83,1.42,1.92,0.83,1.42,1.92,6,6,294.55,81.95,12.12,2.27,0.82,0.73,0.98,1.77,2.07,0.98,1.77,2.07,7,7,320.09,90.11,17.73,1.66,0.61,0.41,81.75
2026/05/17T00:27:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,38,38,1021.45,4.94,26248,0,820,0.76,1.59,1.91,0.76,1.59,1.91,7,7,334.03,89.40,13.07,1.90,0.53,0.00,0.78,1.28,1.95,0.78,1.28,1.95,5,5,290.69,84.07,13.48,1.86,0.97,0.43,82.86
2026/05/17T00:29:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,39,38,1021.44,4.94,26248,0,940,0.72,1.53,1.77,0.72,1.53,1.77,6,6,284.47,80.96,11.96,1.46,0.44,0.00,1.03,1.68,2.17,1.03,1.68,2.17,7,7,324.92,95.00,15.51,1.81,0.76,0.22,84.84
2026/05/17T00:31:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,38,39,1021.38,4.94,26248,0,1060,0.82,1.33,1.49,0.82,1.33,1.49,6,6,312.68,90.89,11.28,0.81,0.16,0.16,0.81,1.53,1.86,0.81,1.53,1.86,6,6,295.71,84.43,14.03,1.79,0.67,0.00,85.59
2026/05/17T00:33:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,38,39,1021.36,4.94,26248,0,1180,0.78,1.36,1.44,0.78,1.36,1.44,6,6,321.86,88.90,9.71,0.54,0.17,0.00,1.00,1.98,2.23,1.00,1.98,2.23,8,8,320.36,94.79,16.71,1.84,0.36,0.00,89.09
2026/05/17T00:34:42z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,37,39,1021.35,nan,26336,0,100,0.78,1.78,1.78,0.78,1.78,1.78,7,7,334.93,94.69,10.96,1.36,0.00,0.00,0.74,1.58,2.26,0.74,1.58,2.26,7,7,310.40,90.02,13.84,2.58,1.16,0.00,nan
2026/05/17T00:36:42z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,37,39,1021.39,4.94,26248,0,220,0.93,1.53,1.78,0.93,1.53,1.78,6,6,338.34,95.15,11.36,1.05,0.78,0.00,0.57,1.45,1.59,0.57,1.45,1.59,6,6,297.59,85.12,10.93,1.54,0.41,0.21,83.53
