UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/22T00:01:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,16,38,1016.79,4.98,26248,0,220,4.54,5.51,5.93,4.54,5.51,5.93,23,23,955.73,261.47,25.49,2.25,0.68,0.00,3.18,4.05,4.27,3.18,4.05,4.27,17,17,704.09,197.95,24.84,0.93,0.43,0.00,50.00
2026/05/22T00:03:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,37,1016.80,4.98,26248,0,340,4.30,5.70,6.61,4.30,5.70,6.61,24,24,915.21,250.96,26.58,3.12,1.28,0.61,3.41,4.29,4.81,3.41,4.29,4.81,18,18,708.31,201.00,21.67,2.52,0.78,0.00,50.00
2026/05/22T00:05:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,16,38,1016.80,4.98,26248,0,460,3.33,4.51,4.79,3.33,4.51,4.79,19,19,819.74,230.42,22.74,1.42,0.54,0.25,3.08,3.90,4.19,3.08,3.90,4.19,16,16,696.05,196.32,22.27,2.00,0.49,0.00,50.00
2026/05/22T00:07:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,15,37,1016.76,4.98,26248,0,580,3.76,4.67,5.26,3.76,4.67,5.26,19,19,795.98,223.40,23.98,1.93,0.93,0.00,2.71,3.79,4.22,2.71,3.79,4.22,16,16,695.28,196.14,23.45,1.84,0.60,0.00,50.00
2026/05/22T00:09:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,37,1016.79,4.98,26248,0,700,4.64,6.37,6.81,4.64,6.37,6.81,27,27,957.31,268.58,27.46,3.37,0.56,0.47,2.91,3.35,3.53,2.91,3.35,3.53,14,14,677.45,185.04,18.05,0.71,0.25,0.00,50.00
2026/05/22T00:11:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,15,38,1016.69,4.98,26248,0,820,3.93,5.02,5.58,3.93,5.02,5.58,21,21,809.26,225.44,25.00,2.74,0.96,0.18,3.19,4.07,4.76,3.19,4.07,4.76,17,17,680.07,196.83,21.74,2.62,0.83,0.66,50.00
2026/05/22T00:13:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,37,1016.76,4.98,26248,0,940,3.66,4.89,5.80,3.66,4.89,5.80,20,20,766.61,214.84,24.46,3.96,1.30,0.34,2.90,3.64,3.93,2.90,3.64,3.93,15,15,660.61,193.34,18.07,0.58,0.41,0.25,50.00
2026/05/22T00:15:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,38,1016.73,4.98,26248,0,1060,4.34,5.34,5.86,4.34,5.34,5.86,22,22,871.88,242.80,24.15,2.10,0.51,0.00,2.95,3.75,3.86,2.95,3.75,3.86,16,16,657.97,187.27,17.73,1.29,0.39,0.24,50.00
2026/05/22T00:17:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,38,1016.72,4.98,26248,0,1180,3.83,4.69,5.28,3.83,4.69,5.28,20,20,834.72,231.76,20.86,2.10,1.10,0.00,3.11,3.69,3.96,3.11,3.69,3.96,15,15,671.56,193.00,20.56,1.05,0.47,0.00,50.00
2026/05/22T00:18:51z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,38,1016.71,nan,26336,0,100,4.57,5.63,5.96,4.57,5.63,5.96,23,23,932.67,269.24,27.57,1.43,0.52,0.00,2.86,3.95,3.95,2.86,3.95,3.95,16,16,676.19,190.00,21.47,1.00,0.00,0.00,nan
2026/05/22T00:20:51z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,17,37,1016.67,4.98,26248,0,220,4.44,5.34,5.69,4.44,5.34,5.69,22,22,877.78,248.44,30.39,1.78,0.54,0.00,3.02,4.04,4.20,3.02,4.04,4.20,17,17,705.43,202.02,26.38,1.32,0.21,0.00,50.00
2026/05/22T00:22:51z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,17,37,1016.63,4.98,26248,0,340,4.40,5.26,5.67,4.40,5.26,5.67,22,22,840.47,244.95,23.67,1.56,0.68,0.26,2.93,4.02,5.05,2.93,4.02,5.05,17,17,647.48,189.10,25.22,3.55,1.53,0.45,50.00
2026/05/22T00:24:51z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,17,37,1016.63,4.98,26248,0,460,4.69,6.02,7.16,4.69,6.02,7.16,25,25,942.36,266.09,25.38,4.26,1.98,0.69,3.36,4.12,4.68,3.36,4.12,4.68,17,17,695.64,198.58,24.03,1.85,1.07,0.22,50.00
2026/05/22T00:26:51z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,16,37,1016.63,4.98,26248,0,580,4.58,5.81,6.29,4.58,5.81,6.29,24,24,898.53,260.66,25.37,2.88,0.90,0.00,3.03,3.98,4.49,3.03,3.98,4.49,17,17,706.27,202.95,19.71,1.64,0.69,0.00,50.00
2026/05/22T00:28:51z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,37,1016.62,4.98,26248,0,700,5.08,6.29,6.93,5.08,6.29,6.93,26,26,1006.88,281.76,27.25,3.32,1.02,0.17,2.93,4.34,4.82,2.93,4.34,4.82,18,18,782.09,214.09,25.14,2.91,0.79,0.00,50.00
