UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/31T00:00:02z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,37,1025.93,4.96,26248,0,700,2.43,3.22,4.90,2.43,3.22,4.90,13,13,572.30,167.10,19.63,4.18,2.77,0.72,1.79,3.11,3.14,1.79,3.11,3.14,13,13,545.16,154.63,26.00,1.70,0.25,0.00,95.85
2026/05/31T00:02:02z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,37,1025.93,4.96,26248,0,820,2.84,4.10,4.48,2.84,4.10,4.48,17,17,662.79,195.16,22.95,2.19,0.66,0.00,2.26,3.36,3.83,2.26,3.36,3.83,14,14,581.53,163.60,24.05,2.59,0.67,0.21,92.88
2026/05/31T00:04:02z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,36,1025.89,4.95,26248,0,940,2.78,4.27,4.73,2.78,4.27,4.73,18,18,626.56,183.91,25.22,2.62,0.71,0.25,2.05,3.71,4.59,2.05,3.71,4.59,15,15,562.29,159.52,26.21,4.43,1.53,0.36,93.53
2026/05/31T00:06:02z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,36,1025.89,4.95,26248,0,1060,2.39,3.60,4.30,2.39,3.60,4.30,15,15,623.68,179.84,23.84,2.88,1.26,0.16,2.32,3.07,3.37,2.32,3.07,3.37,13,13,564.86,162.29,19.36,1.14,0.46,0.00,93.08
2026/05/31T00:08:02z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1025.96,4.95,26248,0,1180,2.39,3.36,4.14,2.39,3.36,4.14,14,14,644.14,182.25,18.36,2.63,1.41,0.42,2.23,3.07,4.07,2.23,3.07,4.07,13,13,558.05,161.66,20.88,3.05,1.66,0.73,92.83
2026/05/31T00:09:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1025.96,nan,26336,0,100,2.57,3.43,4.41,2.57,3.43,4.41,14,14,629.54,192.54,20.37,1.87,1.46,0.57,1.95,3.05,4.40,1.95,3.05,4.40,13,13,528.77,153.33,19.77,2.95,1.98,1.12,nan
2026/05/31T00:11:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,21,37,1025.98,4.95,26248,0,220,2.59,3.28,4.40,2.59,3.28,4.40,14,14,581.38,174.21,20.95,2.53,1.84,0.62,1.72,2.97,3.41,1.72,2.97,3.41,12,12,511.14,147.47,24.36,2.41,0.55,0.41,92.49
2026/05/31T00:13:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1026.01,4.95,26248,0,340,2.96,4.16,4.57,2.96,4.16,4.57,17,17,692.73,199.21,19.34,2.45,0.88,0.00,2.00,2.75,3.72,2.00,2.75,3.72,11,11,496.35,140.18,20.08,2.55,1.53,0.25,95.13
2026/05/31T00:15:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1026.02,4.95,26248,0,460,2.35,3.72,4.25,2.35,3.72,4.25,15,15,645.58,189.89,21.26,2.67,0.74,0.47,1.90,2.56,3.61,1.90,2.56,3.61,11,11,454.93,131.27,18.68,2.31,1.37,0.41,88.26
2026/05/31T00:17:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.98,4.95,26248,0,580,2.93,4.44,5.93,2.93,4.44,5.93,19,19,708.66,216.32,25.03,5.69,2.41,0.75,1.93,2.81,2.93,1.93,2.81,2.93,12,12,490.37,138.26,16.63,1.51,0.23,0.23,86.50
2026/05/31T00:19:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,37,1026.00,4.95,26248,0,700,2.82,3.95,4.82,2.82,3.95,4.82,16,16,660.85,192.12,17.37,3.85,1.18,0.47,2.05,3.28,3.45,2.05,3.28,3.45,14,14,504.52,149.22,24.02,1.55,0.22,0.00,91.16
2026/05/31T00:21:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,21,37,1025.95,4.95,26248,0,820,1.67,2.75,4.67,1.67,2.75,4.67,11,11,549.05,159.60,18.84,4.58,3.37,0.67,1.90,2.57,2.90,1.90,2.57,2.90,11,11,463.09,129.98,14.86,1.12,0.59,0.00,87.74
2026/05/31T00:23:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,35,1025.97,4.95,26248,0,940,2.04,3.00,3.93,2.04,3.00,3.93,13,13,611.24,183.44,16.73,2.78,1.71,0.25,1.78,3.05,3.34,1.78,3.05,3.34,13,13,465.36,130.14,18.97,3.74,0.43,0.26,89.54
2026/05/31T00:25:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.96,4.95,26248,0,1060,1.76,2.67,3.24,1.76,2.67,3.24,11,11,510.67,151.41,18.40,2.16,0.90,0.26,1.25,2.49,2.75,1.25,2.49,2.75,10,10,459.89,132.14,15.75,3.12,0.37,0.26,87.60
2026/05/31T00:27:43z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,21,37,1025.91,4.95,26248,0,1180,2.81,3.49,4.64,2.81,3.49,4.64,15,15,620.75,185.37,19.58,2.49,1.63,0.37,1.40,2.28,2.70,1.40,2.28,2.70,10,10,445.53,124.42,17.37,2.14,0.70,0.12,90.27
2026/05/31T00:29:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.95,nan,26336,0,100,2.29,3.07,4.38,2.29,3.07,4.38,13,13,641.13,192.67,16.89,3.18,1.96,0.51,1.65,2.16,2.42,1.65,2.16,2.42,9,9,439.74,127.72,14.30,1.05,0.26,0.26,nan
2026/05/31T00:31:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,23,35,1025.97,4.95,26248,0,220,2.02,3.16,3.84,2.02,3.16,3.84,13,13,508.60,154.34,20.22,2.33,1.33,0.24,1.62,2.28,2.43,1.62,2.28,2.43,9,9,417.21,119.34,14.60,1.64,0.00,0.00,88.50
2026/05/31T00:33:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,23,35,1026.00,4.95,26248,0,340,3.10,4.21,4.98,3.10,4.21,4.98,18,18,671.59,203.66,20.52,2.21,1.16,0.21,2.15,2.36,2.42,2.15,2.36,2.42,10,10,466.83,130.92,13.51,1.08,0.05,0.05,89.05
2026/05/31T00:35:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,23,35,1025.93,4.95,26248,0,460,2.07,2.68,3.77,2.07,2.68,3.77,11,11,518.79,155.68,14.34,2.55,1.75,0.50,1.19,2.03,3.02,1.19,2.03,3.02,8,8,422.07,118.67,18.98,3.10,1.29,0.53,90.63
2026/05/31T00:37:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.89,4.95,26248,0,580,2.88,4.55,5.30,2.88,4.55,5.30,19,19,660.05,199.65,22.27,4.83,1.30,0.17,1.70,2.60,3.02,1.70,2.60,3.02,11,11,448.53,129.05,18.84,2.26,0.37,0.07,91.67
2026/05/31T00:39:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,22,36,1025.90,4.95,26248,0,700,2.26,3.33,4.12,2.26,3.33,4.12,14,14,547.91,166.21,20.71,2.83,1.60,0.24,1.00,2.02,2.80,1.00,2.02,2.80,8,8,365.84,101.95,12.82,3.43,1.25,0.68,95.79
2026/05/31T00:41:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.90,4.95,26248,0,820,1.70,2.89,3.39,1.70,2.89,3.39,12,12,517.61,156.18,16.02,2.82,0.89,0.00,1.07,1.76,1.95,1.07,1.76,1.95,7,7,382.83,104.73,11.17,0.95,0.25,0.00,92.34
2026/05/31T00:43:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.92,4.95,26248,0,940,2.50,3.43,4.36,2.50,3.43,4.36,14,14,558.32,170.71,21.30,2.82,1.61,0.84,0.76,1.72,1.97,0.76,1.72,1.97,7,7,387.57,111.43,15.69,1.07,0.60,0.17,92.96
2026/05/31T00:45:24z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1025.87,4.95,26248,0,1060,2.00,2.98,3.59,2.00,2.98,3.59,12,12,499.27,147.15,18.19,2.46,1.27,0.24,1.12,2.00,2.21,1.12,2.00,2.21,8,8,402.00,112.36,17.12,1.02,0.45,0.00,94.68
