UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/24T00:01:14z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,29,47,1015.21,4.94,26248,0,700,3.03,3.81,4.08,3.03,3.81,4.08,16,16,718.58,217.53,16.22,2.00,0.59,0.00,1.60,2.51,3.20,1.60,2.51,3.20,10,10,536.62,152.44,13.80,2.47,0.67,0.67,50.00
2026/05/24T00:03:14z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,28,47,1015.20,4.94,26248,0,820,2.43,3.31,3.72,2.43,3.31,3.72,14,14,602.95,186.72,17.28,1.98,0.79,0.16,2.15,2.85,3.58,2.15,2.85,3.58,12,12,574.55,162.43,12.80,1.83,1.00,1.00,50.00
2026/05/24T00:05:14z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,29,46,1015.17,4.94,26248,0,940,3.00,3.65,4.04,3.00,3.65,4.04,15,15,719.62,225.93,17.20,2.02,0.38,0.36,2.31,3.12,4.14,2.31,3.12,4.14,13,13,602.14,170.95,14.34,3.17,1.53,0.80,50.00
2026/05/24T00:07:14z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,29,46,1015.16,4.94,26248,0,1060,3.22,3.66,4.41,3.22,3.66,4.41,15,15,753.97,236.14,10.85,1.66,0.92,0.00,2.14,2.79,3.24,2.14,2.79,3.24,12,12,568.55,161.21,13.95,2.34,0.67,0.00,50.00
2026/05/24T00:09:14z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,29,47,1015.14,4.94,26248,0,1180,3.29,4.12,4.50,3.29,4.12,4.50,17,17,751.60,231.97,13.91,2.52,0.59,0.00,1.39,2.07,2.25,1.39,2.07,2.25,9,9,525.58,145.44,9.93,1.46,0.25,0.25,50.00
2026/05/24T00:10:55z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,29,47,1015.14,nan,26336,0,100,3.24,3.96,3.96,3.24,3.96,3.96,16,16,726.33,217.44,16.00,0.47,0.00,0.00,1.86,2.74,3.02,1.86,2.74,3.02,11,11,562.74,157.23,14.14,1.88,0.53,0.35,nan
2026/05/24T00:12:55z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,30,46,1015.12,4.94,26248,0,220,2.40,3.17,3.38,2.40,3.17,3.38,13,13,649.09,203.00,17.66,2.29,0.47,0.00,1.50,2.38,3.04,1.50,2.38,3.04,10,10,567.80,160.04,13.50,2.14,1.00,1.00,50.00
2026/05/24T00:14:55z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,30,46,1015.10,4.94,26248,0,340,2.30,3.19,3.26,2.30,3.19,3.26,13,13,600.79,183.30,14.72,1.81,0.23,0.00,2.02,2.64,3.19,2.02,2.64,3.19,11,11,532.34,150.74,13.03,1.72,0.74,0.03,50.00
2026/05/24T00:16:55z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,30,46,1015.04,4.94,26248,0,460,3.05,3.84,4.13,3.05,3.84,4.13,16,16,686.35,210.91,16.82,0.96,0.58,0.00,1.78,2.73,3.17,1.78,2.73,3.17,11,11,546.31,154.05,14.90,2.39,0.46,0.46,50.00
2026/05/24T00:18:55z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1015.02,4.94,26248,0,580,2.93,4.28,4.81,2.93,4.28,4.81,18,18,680.74,206.79,18.10,2.91,0.97,0.19,1.95,2.91,3.26,1.95,2.91,3.26,12,12,534.26,151.12,14.57,2.50,0.67,0.48,50.00
