UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/23T00:00:30z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,16,44,1011.27,4.84,26248,0,700,3.02,3.75,3.92,3.02,3.75,3.92,16,16,668.95,196.73,17.93,0.47,0.20,0.20,2.30,3.14,3.35,2.30,3.14,3.35,13,13,547.89,159.86,17.39,2.04,0.23,0.00,50.00
2026/05/23T00:02:30z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,16,45,1011.23,4.83,26248,0,819,3.85,5.07,5.56,3.85,5.07,5.56,21,21,801.66,241.73,25.27,3.54,0.80,0.00,2.05,3.36,3.98,2.05,3.36,3.98,14,14,538.45,149.36,14.43,3.90,0.78,0.43,50.00
2026/05/23T00:04:30z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,17,44,1011.22,4.84,26248,0,939,3.16,3.91,4.46,3.16,3.91,4.46,16,16,697.07,203.79,16.29,2.25,0.62,0.00,2.05,2.71,2.80,2.05,2.71,2.80,11,11,492.36,147.10,12.49,1.14,0.00,0.00,50.00
2026/05/23T00:06:30z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,16,45,1011.24,4.83,26248,0,1059,3.66,5.03,5.53,3.66,5.03,5.53,21,21,796.34,241.22,20.52,3.95,0.67,0.48,1.59,1.91,2.66,1.59,1.91,2.66,8,8,466.34,132.52,12.34,1.86,0.88,0.45,50.00
2026/05/23T00:08:30z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,17,45,1011.27,4.83,26248,0,1179,4.29,5.53,6.31,4.29,5.53,6.31,23,23,906.97,273.10,21.92,4.15,1.14,0.41,1.86,2.41,3.16,1.86,2.41,3.16,10,10,469.23,133.29,10.41,2.68,1.05,0.21,50.00
2026/05/23T00:10:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,45,1011.23,nan,26336,0,99,2.96,3.69,4.22,2.96,3.69,4.22,15,15,646.47,193.62,17.16,1.38,0.78,0.38,1.88,2.19,2.33,1.88,2.19,2.33,9,9,458.79,129.58,11.37,0.56,0.23,0.05,nan
2026/05/23T00:12:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,16,45,1011.23,4.84,26248,0,219,3.02,4.05,4.44,3.02,4.05,4.44,17,17,734.34,215.39,19.47,1.24,0.53,0.29,1.93,2.54,3.14,1.93,2.54,3.14,11,11,503.05,143.30,11.70,1.74,0.91,0.47,50.00
2026/05/23T00:14:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,16,46,1011.17,4.83,26248,0,339,2.95,4.21,4.68,2.95,4.21,4.68,18,18,726.79,215.77,23.21,2.75,0.77,0.16,1.64,2.34,2.59,1.64,2.34,2.59,10,10,538.98,149.75,13.86,1.07,0.39,0.22,50.00
2026/05/23T00:16:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,16,46,1011.19,4.83,26248,0,459,3.23,3.93,4.09,3.23,3.93,4.09,16,16,742.12,223.12,18.43,0.84,0.41,0.18,2.15,2.59,3.07,2.15,2.59,3.07,11,11,529.93,143.90,10.95,2.14,1.14,0.00,50.00
2026/05/23T00:18:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,17,46,1011.20,4.84,26248,0,579,2.54,3.32,4.02,2.54,3.32,4.02,14,14,597.51,177.08,21.07,1.61,1.25,0.19,1.67,2.39,2.47,1.67,2.39,2.47,10,10,452.68,130.81,11.72,1.56,0.21,0.00,50.00
2026/05/23T00:20:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,45,1011.18,4.84,26248,0,699,2.84,3.47,3.86,2.84,3.47,3.86,14,14,602.33,188.07,16.21,0.69,0.69,0.21,2.07,2.78,3.31,2.07,2.78,3.31,12,12,497.79,143.41,17.57,1.69,0.69,0.00,50.00
2026/05/23T00:22:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,17,45,1011.20,4.84,26248,0,819,2.90,4.36,4.36,2.90,4.36,4.36,18,18,677.64,199.47,22.20,1.56,0.00,0.00,1.60,2.64,3.00,1.60,2.64,3.00,11,11,545.28,155.09,15.34,2.43,0.36,0.26,50.00
2026/05/23T00:24:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,45,1011.16,4.83,26248,0,939,2.95,3.95,3.95,2.95,3.95,3.95,16,16,677.04,198.18,19.46,0.96,0.00,0.00,1.72,2.32,2.63,1.72,2.32,2.63,10,10,526.00,144.42,12.77,1.40,0.32,0.17,50.00
2026/05/23T00:26:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,46,1011.18,4.84,26248,0,1059,2.64,3.25,3.54,2.64,3.25,3.54,14,14,600.76,182.98,14.69,1.27,0.42,0.19,1.74,2.63,2.77,1.74,2.63,2.77,11,11,509.11,141.49,15.02,2.11,0.21,0.00,50.00
2026/05/23T00:28:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1011.15,4.84,26248,0,1179,2.53,3.47,3.71,2.53,3.47,3.71,14,14,604.73,178.81,17.66,1.25,0.32,0.08,1.70,2.63,2.86,1.70,2.63,2.86,11,11,507.58,142.84,17.04,2.09,0.42,0.16,50.00
2026/05/23T00:29:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,46,1011.14,nan,26336,0,99,3.63,4.28,4.43,3.63,4.28,4.43,18,18,768.26,231.46,16.02,1.54,0.22,0.13,1.52,2.21,3.10,1.52,2.21,3.10,9,9,479.79,135.36,13.40,3.17,1.17,0.00,nan
2026/05/23T00:31:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,46,1011.12,4.84,26248,0,219,3.71,4.25,4.88,3.71,4.25,4.88,18,18,771.71,236.95,15.34,1.71,0.95,0.00,1.63,2.42,2.58,1.63,2.42,2.58,10,10,453.05,127.65,14.23,1.47,0.23,0.00,50.00
2026/05/23T00:33:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1011.11,4.84,26248,0,339,2.14,3.05,3.63,2.14,3.05,3.63,13,13,560.05,170.14,17.96,1.68,1.04,0.39,1.84,2.43,2.71,1.84,2.43,2.71,10,10,471.36,134.36,12.24,1.03,0.43,0.00,50.00
2026/05/23T00:35:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,17,45,1011.12,4.84,26248,0,459,2.71,3.52,4.04,2.71,3.52,4.04,15,15,663.59,198.55,19.36,1.59,0.68,0.43,1.42,2.00,2.37,1.42,2.00,2.37,8,8,433.98,127.42,13.27,1.56,0.34,0.34,50.00
2026/05/23T00:37:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,46,1011.10,4.84,26248,0,579,2.53,3.33,4.07,2.53,3.33,4.07,14,14,609.41,185.47,16.31,2.16,0.93,0.34,1.56,2.14,2.84,1.56,2.14,2.84,9,9,440.16,130.46,13.95,2.35,0.96,0.77,50.00
2026/05/23T00:39:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,17,45,1011.06,4.84,26248,0,699,3.19,4.07,4.37,3.19,4.07,4.37,17,17,684.31,210.54,17.15,2.02,0.49,0.22,1.25,2.02,2.39,1.25,2.02,2.39,8,8,398.58,111.86,12.81,2.05,0.98,0.19,50.00
2026/05/23T00:41:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,18,45,1011.04,4.84,26248,0,819,2.40,2.98,2.98,2.40,2.98,2.98,12,12,605.02,183.53,12.69,0.26,0.00,0.00,1.64,2.40,2.90,1.64,2.40,2.90,10,10,447.78,124.93,15.34,2.41,0.69,0.00,50.00
2026/05/23T00:43:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,18,45,1011.06,4.84,26248,0,939,3.64,4.77,5.48,3.64,4.77,5.48,20,20,819.86,254.18,19.32,2.71,1.43,0.18,1.61,2.44,2.75,1.61,2.44,2.75,10,10,476.03,137.03,16.66,2.05,0.54,0.17,50.00
2026/05/23T00:45:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,45,1011.07,4.84,26248,0,1059,2.95,3.89,4.05,2.95,3.89,4.05,16,16,684.89,204.32,17.46,1.21,0.39,0.00,1.67,2.02,2.23,1.67,2.02,2.23,8,8,466.68,136.16,13.51,1.67,0.42,0.02,50.00
2026/05/23T00:47:51z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,18,45,1011.11,4.84,26248,0,1179,2.73,3.72,3.83,2.73,3.72,3.83,15,15,616.70,189.30,18.78,1.78,0.25,0.00,1.71,2.14,2.62,1.71,2.14,2.62,9,9,427.18,121.80,12.09,1.88,0.66,0.25,50.00
2026/05/23T00:49:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,19,45,1011.09,nan,26336,0,100,2.51,3.51,3.69,2.51,3.51,3.69,15,15,586.87,172.89,17.13,1.18,0.47,0.13,1.33,2.00,2.60,1.33,2.00,2.60,8,8,422.93,116.52,12.48,1.29,0.64,0.29,nan
2026/05/23T00:51:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,18,45,1011.06,4.83,26248,0,220,1.93,2.64,3.15,1.93,2.64,3.15,11,11,534.25,158.37,12.75,1.14,0.58,0.49,1.05,1.70,2.45,1.05,1.70,2.45,7,7,398.68,112.14,14.36,2.41,1.18,0.20,50.00
2026/05/23T00:53:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,18,45,1011.05,4.84,26248,0,340,1.89,2.33,2.61,1.89,2.33,2.61,10,10,478.53,146.05,12.42,0.77,0.44,0.00,1.14,1.83,2.41,1.14,1.83,2.41,8,8,360.21,108.48,12.34,2.71,1.10,0.00,50.00
2026/05/23T00:55:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,18,44,1011.03,4.83,26248,0,460,2.35,3.05,3.25,2.35,3.05,3.25,13,13,526.11,158.60,16.30,1.14,0.37,0.25,1.41,2.45,2.91,1.41,2.45,2.91,10,10,420.98,120.22,12.98,2.38,0.62,0.00,50.00
2026/05/23T00:57:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,18,45,1011.00,4.83,26248,0,580,2.47,3.05,3.88,2.47,3.05,3.88,13,13,566.64,177.02,16.69,1.19,1.19,0.21,0.93,1.72,2.41,0.93,1.72,2.41,7,7,374.48,103.36,13.81,2.62,1.03,0.22,50.00
2026/05/23T00:59:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,18,44,1010.98,4.84,26248,0,700,2.25,3.10,3.69,2.25,3.10,3.69,13,13,579.66,174.97,16.49,2.42,0.86,0.42,0.73,1.43,1.82,0.73,1.43,1.82,6,6,349.07,98.30,12.98,1.75,0.57,0.45,50.00
2026/05/23T01:01:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,42,1011.02,4.83,26248,0,820,2.45,3.81,4.40,2.45,3.81,4.40,16,16,625.45,191.28,19.50,3.12,1.00,0.22,0.66,1.17,1.80,0.66,1.17,1.80,5,5,343.07,94.86,8.14,1.29,0.85,0.61,50.00
2026/05/23T01:03:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,20,43,1010.99,4.83,25624,0,940,1.72,2.54,2.67,1.72,2.54,2.67,11,11,507.84,156.11,13.25,2.37,0.19,0.00,1.00,1.98,2.64,1.00,1.98,2.64,8,8,345.56,98.73,14.83,3.25,0.97,0.31,50.00
2026/05/23T01:05:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,43,1010.94,4.83,26248,0,1060,2.36,3.10,3.53,2.36,3.10,3.53,13,13,567.83,174.55,14.45,1.67,0.81,0.24,0.55,1.31,1.97,0.55,1.31,1.97,5,5,308.53,87.33,12.64,3.10,1.22,0.00,50.00
2026/05/23T01:07:31z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,44,1010.91,4.83,26248,0,1180,1.78,2.13,2.55,1.78,2.13,2.55,9,9,462.50,139.65,7.73,0.82,0.62,0.00,0.66,0.98,1.32,0.66,0.98,1.32,4,4,282.05,78.39,6.84,1.45,0.55,0.23,50.00
2026/05/23T01:09:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,43,1010.93,nan,26336,0,100,2.07,2.63,2.91,2.07,2.63,2.91,11,11,502.70,152.98,11.35,1.37,0.67,0.30,0.98,1.49,1.81,0.98,1.49,1.81,6,6,292.47,82.28,9.44,2.33,0.65,0.16,nan
2026/05/23T01:11:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,43,1010.92,4.83,26248,0,220,1.33,1.90,2.00,1.33,1.90,2.00,8,8,486.75,144.35,12.47,0.58,0.33,0.00,1.00,1.41,1.73,1.00,1.41,1.73,6,6,304.34,86.04,9.86,2.27,0.27,0.00,50.00
2026/05/23T01:13:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,43,1010.95,4.83,26248,0,340,2.16,2.46,3.19,2.16,2.46,3.19,10,10,507.74,153.77,8.39,2.37,1.33,0.25,0.59,1.09,1.57,0.59,1.09,1.57,5,5,261.67,74.91,9.05,2.22,0.60,0.38,50.00
2026/05/23T01:15:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,43,1010.92,4.83,26248,0,460,1.96,2.36,2.61,1.96,2.36,2.61,10,10,497.68,153.02,9.20,0.66,0.38,0.00,0.91,1.55,2.26,0.91,1.55,2.26,6,6,319.91,92.33,11.33,2.83,1.10,0.09,50.00
2026/05/23T01:17:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,20,44,1010.93,4.83,26248,0,580,1.90,2.34,2.47,1.90,2.34,2.47,10,10,458.08,142.98,10.49,0.59,0.08,0.00,1.00,1.26,1.74,1.00,1.26,1.74,5,5,359.05,95.21,9.30,1.53,0.68,0.09,50.00
2026/05/23T01:19:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,20,43,1010.90,4.83,26248,0,700,1.72,2.07,2.75,1.72,2.07,2.75,9,9,485.30,148.07,12.98,1.18,0.77,0.18,0.93,1.73,2.25,0.93,1.73,2.25,7,7,351.91,98.98,11.59,2.79,0.73,0.18,50.00
2026/05/23T01:21:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,21,42,1010.91,4.83,26248,0,820,1.91,2.29,2.45,1.91,2.29,2.45,10,10,508.91,154.24,11.67,0.91,0.29,0.00,0.61,1.05,1.44,0.61,1.05,1.44,4,4,333.58,91.79,8.74,1.14,0.56,0.23,50.00
2026/05/23T01:23:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,21,43,1010.89,4.83,26248,0,940,1.89,2.95,3.39,1.89,2.95,3.39,12,12,489.91,149.38,17.54,2.07,0.80,0.21,1.00,1.71,2.39,1.00,1.71,2.39,7,7,339.05,94.49,11.32,2.61,1.02,0.31,50.00
2026/05/23T01:25:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,21,43,1010.90,4.83,26248,0,1060,1.79,2.50,2.67,1.79,2.50,2.67,10,10,459.78,138.02,10.41,1.03,0.26,0.00,1.00,1.81,2.58,1.00,1.81,2.58,8,8,344.37,101.32,10.91,3.21,1.47,0.16,50.00
2026/05/23T01:27:11z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,21,43,1010.90,4.83,26248,0,1180,1.83,2.50,2.97,1.83,2.50,2.97,10,10,491.45,152.43,14.08,1.85,0.75,0.08,1.02,1.98,3.14,1.02,1.98,3.14,8,8,402.16,110.34,13.16,4.64,1.54,0.77,50.00
2026/05/23T01:28:52z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,23,42,1010.88,nan,26336,0,100,2.69,3.42,3.62,2.69,3.42,3.62,14,14,605.33,187.73,11.82,1.36,0.31,0.31,0.90,1.64,2.76,0.90,1.64,2.76,7,7,311.36,89.60,11.62,3.76,1.55,0.83,nan
2026/05/23T01:30:52z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,22,42,1010.91,4.83,26248,0,220,2.02,2.42,2.93,2.02,2.42,2.93,10,10,473.59,145.44,12.85,0.85,0.61,0.19,1.05,1.91,2.55,1.05,1.91,2.55,8,8,332.30,95.66,12.98,2.80,1.11,0.45,50.00
