UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/22T00:00:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,103,11,38,1016.97,nan,26336,0,100,2.72,3.45,4.04,2.72,3.45,4.04,14,14,653.17,181.83,15.49,1.81,0.81,0.34,2.93,3.60,4.64,2.93,3.60,4.64,15,15,721.14,210.12,15.21,2.10,1.29,0.93,nan
2026/05/22T00:02:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,101,11,36,1017.02,4.95,26248,0,220,3.22,4.22,5.31,3.22,4.22,5.31,18,18,767.95,210.66,25.47,2.47,1.59,0.86,2.98,4.00,4.11,2.98,4.00,4.11,17,17,677.57,190.91,20.39,1.41,0.18,0.09,50.00
2026/05/22T00:04:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,102,11,38,1016.94,4.95,26248,0,340,3.21,3.96,5.32,3.21,3.96,5.32,17,17,718.68,198.37,21.51,2.77,2.23,0.84,3.37,4.29,5.58,3.37,4.29,5.58,18,18,715.78,205.80,21.00,2.88,1.69,1.41,50.00
2026/05/22T00:06:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,102,11,37,1016.98,4.95,26248,0,460,2.68,3.70,4.23,2.68,3.70,4.23,15,15,734.14,203.29,18.52,1.98,1.09,0.41,3.38,4.07,4.81,3.38,4.07,4.81,17,17,715.45,204.05,19.41,1.91,0.79,0.79,50.00
2026/05/22T00:08:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,102,11,37,1016.96,4.95,26248,0,580,3.08,4.14,6.39,3.08,4.14,6.39,17,17,723.86,202.19,23.14,5.10,3.41,1.49,2.76,3.69,4.91,2.76,3.69,4.91,15,15,694.76,202.84,21.81,2.69,1.66,1.47,50.00
2026/05/22T00:10:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,101,11,37,1016.95,4.95,26248,0,700,2.71,3.68,4.56,2.71,3.68,4.56,15,15,655.68,183.71,23.76,2.39,1.14,0.53,2.95,3.77,4.79,2.95,3.77,4.79,16,16,688.93,193.62,19.09,1.95,1.07,1.07,50.00
2026/05/22T00:12:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,102,11,37,1016.91,4.95,26248,0,820,2.34,3.21,3.98,2.34,3.21,3.98,13,13,623.33,171.67,16.81,1.45,0.88,0.71,2.88,3.83,4.88,2.88,3.83,4.88,16,16,696.36,201.48,20.34,2.62,1.21,0.81,50.00
2026/05/22T00:14:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,102,11,38,1016.90,4.95,26248,0,940,2.73,3.62,4.09,2.73,3.62,4.09,15,15,693.00,187.43,16.39,2.12,1.07,0.02,3.17,3.59,4.33,3.17,3.59,4.33,15,15,657.98,193.36,20.91,1.72,0.74,0.74,50.00
2026/05/22T00:16:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,101,11,38,1016.94,4.95,26248,0,1060,3.33,4.09,4.43,3.33,4.09,4.43,17,17,743.07,206.40,18.05,0.88,0.48,0.00,3.16,4.22,5.53,3.16,4.22,5.53,18,18,765.21,212.52,21.86,2.62,1.93,1.67,50.00
2026/05/22T00:18:32z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,101,11,38,1016.92,4.95,26248,0,1180,2.97,3.88,4.69,2.97,3.88,4.69,16,16,681.31,188.17,19.92,2.41,1.31,0.37,3.12,4.04,5.00,3.12,4.04,5.00,17,17,764.20,220.04,22.27,2.04,1.14,1.14,50.00
