UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/30T00:01:16z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,39,44,1019.59,4.85,26248,0,820,7.10,10.19,13.14,7.10,10.19,13.14,42,42,1345.03,399.47,64.53,8.22,4.50,1.28,6.09,10.26,14.17,6.09,10.26,14.17,43,43,1230.05,357.93,74.90,13.22,6.78,0.50,50.00
2026/05/30T00:03:16z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,40,43,1019.60,4.85,26248,0,940,7.00,10.33,12.87,7.00,10.33,12.87,43,43,1363.20,400.25,63.85,10.75,3.82,0.45,6.05,10.33,15.05,6.05,10.33,15.05,43,43,1213.50,352.68,75.23,15.45,7.98,0.88,50.00
2026/05/30T00:05:16z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,40,43,1019.59,4.85,26248,0,1060,6.78,10.21,13.66,6.78,10.21,13.66,43,43,1333.81,389.14,70.28,10.74,5.29,0.19,5.88,10.07,14.00,5.88,10.07,14.00,42,42,1227.76,356.24,73.25,15.93,6.58,0.88,50.00
2026/05/30T00:07:16z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,39,45,1019.60,4.85,26248,0,1180,6.66,9.90,13.09,6.66,9.90,13.09,41,41,1283.79,379.22,69.05,9.71,4.28,0.47,5.43,9.45,12.18,5.43,9.45,12.18,39,39,1117.98,328.57,62.21,12.39,5.04,0.61,50.00
2026/05/30T00:08:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,40,44,1019.60,nan,26336,0,100,6.30,9.87,12.87,6.30,9.87,12.87,41,41,1245.13,365.17,68.35,11.87,4.57,0.59,5.47,8.98,13.65,5.47,8.98,13.65,37,37,1130.72,332.86,68.05,13.42,8.40,0.30,nan
2026/05/30T00:10:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,39,44,1019.61,4.85,26248,0,220,5.69,8.81,11.47,5.69,8.81,11.47,37,37,1212.81,348.58,62.20,8.05,3.61,0.59,5.71,9.12,12.23,5.71,9.12,12.23,38,38,1144.34,336.59,65.02,10.45,5.23,0.75,50.00
2026/05/30T00:12:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,40,45,1019.63,4.85,26248,0,340,5.93,8.86,11.70,5.93,8.86,11.70,37,37,1172.63,346.14,62.47,8.49,4.26,0.89,5.20,9.15,14.41,5.20,9.15,14.41,38,38,1083.25,315.44,73.97,15.92,8.90,1.05,50.00
2026/05/30T00:14:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,73,38,46,1019.59,4.85,26248,0,460,5.84,8.77,11.16,5.84,8.77,11.16,37,37,1150.71,343.38,63.57,7.45,3.88,0.48,5.41,9.20,11.92,5.41,9.20,11.92,38,38,1093.58,313.63,63.36,10.34,4.92,0.03,50.00
2026/05/30T00:16:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,38,45,1019.56,4.85,26248,0,580,6.26,9.12,11.45,6.26,9.12,11.45,38,38,1197.26,355.28,58.74,7.71,3.67,0.00,5.31,9.21,12.76,5.31,9.21,12.76,38,38,1070.38,316.38,69.84,13.43,6.29,0.60,50.00
2026/05/30T00:18:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,73,38,45,1019.55,4.85,26248,0,700,5.86,8.90,11.24,5.86,8.90,11.24,37,37,1167.92,339.08,63.10,8.34,3.22,0.25,5.30,9.16,12.04,5.30,9.16,12.04,38,38,1071.80,315.25,66.09,11.80,5.59,0.11,50.00
2026/05/30T00:20:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,38,45,1019.55,4.85,26248,0,820,5.51,8.95,11.14,5.51,8.95,11.14,37,37,1164.47,342.26,59.32,9.19,2.82,0.40,4.78,8.61,11.22,4.78,8.61,11.22,36,36,1002.31,297.58,66.71,12.76,5.07,0.00,50.00
2026/05/30T00:22:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,38,45,1019.55,4.84,26248,0,940,7.67,11.62,13.56,7.49,11.47,13.56,48,48,1595.84,456.95,68.58,11.20,2.65,0.35,8.20,11.73,17.88,8.20,11.73,17.88,49,49,1550.70,447.35,76.32,16.58,10.67,0.60,50.00
2026/05/30T00:24:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,37,43,1019.58,4.85,26248,0,1060,6.44,9.25,10.77,6.44,9.25,10.77,39,39,1251.79,366.32,56.26,5.61,2.51,0.33,5.21,8.95,11.84,5.21,8.95,11.84,37,37,1059.83,307.40,67.59,11.31,5.40,0.07,50.00
2026/05/30T00:26:57z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,36,42,1019.59,4.85,26248,0,1180,7.10,10.49,12.53,7.10,10.49,12.53,44,44,1361.24,400.58,66.12,8.97,3.20,0.25,5.29,8.93,13.20,5.29,8.93,13.20,37,37,1077.93,313.78,66.76,13.20,7.18,1.31,50.00
2026/05/30T00:28:38z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,35,43,1019.56,nan,26336,0,100,5.37,9.54,11.15,5.37,9.54,11.15,40,40,1065.65,315.83,65.00,11.78,2.76,0.80,5.74,9.93,14.40,5.74,9.93,14.40,41,41,1092.86,324.00,72.38,16.00,7.98,0.43,nan
2026/05/30T00:30:38z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,35,42,1019.62,4.85,26248,0,220,6.29,9.63,12.66,6.29,9.63,12.66,40,40,1225.27,363.92,65.31,10.29,4.27,0.22,5.55,10.05,15.39,5.55,10.05,15.39,42,42,1133.57,327.98,84.25,15.05,9.12,0.98,50.00
2026/05/30T00:32:38z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,35,43,1019.59,4.85,26248,0,340,6.51,9.70,11.47,6.51,9.70,11.47,40,40,1276.95,366.72,58.53,7.44,2.89,0.00,5.07,9.35,12.63,5.07,9.35,12.63,39,39,1061.75,313.02,64.00,16.17,5.70,0.23,50.00
