UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/26T00:00:34z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,46,1008.81,4.89,26248,0,1060,2.88,3.76,4.38,2.88,3.76,4.38,16,16,625.81,177.16,20.88,2.22,0.97,0.76,2.00,2.76,3.55,2.00,2.76,3.55,11,11,498.05,144.91,15.88,2.14,1.19,0.22,50.00
2026/05/26T00:02:34z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,55,47,1008.83,4.89,26248,0,1180,2.27,2.88,4.32,2.27,2.88,4.32,12,12,511.95,150.60,16.28,3.00,2.00,1.58,1.20,2.54,3.64,1.20,2.54,3.64,11,11,410.04,114.43,15.61,3.96,1.79,0.64,50.00
2026/05/26T00:04:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,47,1008.83,nan,26336,0,100,1.96,2.47,3.13,1.96,2.47,3.13,10,10,501.87,145.20,9.93,1.60,0.96,0.67,1.21,1.60,2.00,1.21,1.60,2.00,7,7,375.70,105.09,9.81,1.16,0.51,0.40,nan
2026/05/26T00:06:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.76,4.89,26248,0,220,1.92,2.68,3.88,1.92,2.68,3.88,11,11,455.49,137.98,16.61,3.32,1.61,0.83,1.00,1.73,2.36,1.00,1.73,2.36,7,7,354.70,99.41,15.09,2.12,0.88,0.59,50.00
2026/05/26T00:08:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.66,4.89,26248,0,340,1.32,1.70,1.93,1.32,1.70,1.93,7,7,374.68,110.61,11.48,0.93,0.21,0.16,1.00,1.83,1.88,1.00,1.83,1.88,8,8,347.00,95.38,15.08,1.35,0.05,0.05,50.00
2026/05/26T00:10:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.69,4.89,26248,0,460,1.95,2.73,3.89,1.95,2.73,3.89,11,11,483.16,142.18,15.36,2.48,1.46,0.71,0.76,1.61,3.34,0.76,1.61,3.34,7,7,352.37,101.83,18.15,3.63,3.02,0.56,50.00
2026/05/26T00:12:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,56,46,1008.65,4.89,26248,0,580,2.32,2.86,3.51,2.32,2.86,3.51,12,12,549.76,163.69,14.49,1.61,0.98,0.68,0.61,1.28,1.95,0.61,1.28,1.95,5,5,370.68,104.23,13.09,1.26,0.77,0.37,50.00
2026/05/26T00:14:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.52,4.89,26248,0,700,1.82,2.70,2.88,1.82,2.70,2.88,11,11,480.55,141.43,13.53,1.23,0.18,0.18,1.05,1.73,2.05,1.05,1.73,2.05,7,7,355.18,102.12,11.77,1.16,0.50,0.18,50.00
2026/05/26T00:16:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.55,4.89,26248,0,820,2.71,3.73,4.14,2.71,3.73,4.14,16,16,613.37,178.07,20.32,1.59,0.42,0.42,1.54,2.32,2.32,1.54,2.32,2.32,10,10,427.12,117.64,19.61,0.76,0.08,0.00,50.00
2026/05/26T00:18:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.58,4.89,26248,0,940,2.24,3.53,4.09,2.24,3.53,4.09,15,15,589.91,167.98,14.31,2.93,0.78,0.51,1.37,2.00,2.22,1.37,2.00,2.22,8,8,426.31,118.25,13.54,0.69,0.37,0.19,50.00
2026/05/26T00:20:15z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,56,48,1008.65,4.89,26248,0,1060,2.98,3.95,5.81,2.98,3.95,5.81,16,16,699.51,201.73,18.42,3.07,2.68,2.27,1.95,3.00,3.95,1.95,3.00,3.95,13,13,538.24,146.31,19.45,2.93,1.43,0.62,50.00
