UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/28T00:00:34z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,27,47,1010.67,4.96,26248,0,580,1.88,2.32,2.81,1.88,2.32,2.81,10,10,480.20,144.39,10.02,2.24,0.54,0.37,1.04,1.93,2.16,1.04,1.93,2.16,8,8,351.89,100.65,13.74,1.89,0.63,0.00,50.00
2026/05/28T00:02:33z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,28,46,1010.68,4.96,26248,0,700,1.58,2.78,3.69,1.58,2.78,3.69,12,12,530.34,155.83,14.97,4.27,0.76,0.56,1.32,2.32,2.67,1.32,2.32,2.67,10,10,388.11,113.04,16.98,2.02,0.61,0.18,50.00
2026/05/28T00:04:33z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,28,46,1010.66,4.96,26248,0,820,1.95,2.69,3.83,1.95,2.69,3.83,11,11,573.10,166.57,15.07,2.76,1.55,0.57,1.12,2.02,2.66,1.12,2.02,2.66,8,8,393.57,114.09,15.81,2.52,0.83,0.26,50.00
2026/05/28T00:06:33z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,28,46,1010.61,4.96,25936,0,940,2.18,2.68,3.70,2.18,2.68,3.70,11,11,543.86,158.73,13.61,2.70,1.18,0.79,1.68,2.25,3.42,1.68,2.25,3.42,9,9,413.19,120.85,17.02,3.10,1.63,0.49,50.00
2026/05/28T00:08:33z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,27,46,1010.61,4.96,26248,0,1060,2.75,3.77,4.72,2.75,3.77,4.72,16,16,678.21,206.56,14.77,3.95,1.02,0.51,0.93,1.57,3.03,0.93,1.57,3.03,7,7,358.09,98.59,14.09,3.55,1.97,0.41,50.00
2026/05/28T00:10:33z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,27,46,1010.59,4.96,26248,0,1180,2.58,2.98,4.05,2.58,2.98,4.05,12,12,652.63,192.12,11.49,2.20,1.61,0.54,1.12,1.98,3.09,1.12,1.98,3.09,8,8,407.46,119.00,15.00,3.61,0.95,0.48,50.00
2026/05/28T00:12:15z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,27,46,1010.61,nan,26336,0,101,2.72,3.61,4.57,2.72,3.61,4.57,15,15,687.52,196.11,16.50,2.85,1.54,0.28,1.12,1.64,2.29,1.12,1.64,2.29,7,7,421.64,117.12,13.95,1.38,0.79,0.52,nan
2026/05/28T00:14:15z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,26,47,1010.59,4.96,26248,0,221,2.32,2.61,3.93,2.32,2.61,3.93,11,11,583.12,174.12,13.85,2.24,1.44,1.19,1.52,2.12,2.38,1.52,2.12,2.38,9,9,403.82,113.52,15.61,1.09,0.57,0.18,50.00
2026/05/28T00:16:15z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,27,46,1010.57,4.96,26248,0,341,1.55,2.12,2.90,1.55,2.12,2.90,9,9,557.22,163.64,12.53,1.90,0.83,0.40,1.02,1.98,3.31,1.02,1.98,3.31,8,8,361.86,109.12,17.14,3.41,1.76,0.48,50.00
2026/05/28T00:18:15z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,27,46,1010.51,4.96,26248,0,461,1.93,2.57,3.77,1.93,2.57,3.77,11,11,563.14,165.75,12.66,2.82,1.73,1.38,1.05,1.83,2.63,1.05,1.83,2.63,8,8,366.50,103.17,14.40,2.45,1.03,0.25,50.00
