UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/20T22:23:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,26,45,1022.68,nan,28128,0,99,2.32,4.39,4.84,2.32,4.39,4.84,18,18,708.41,200.98,28.80,4.25,0.82,0.32,2.26,3.33,6.67,2.26,3.33,6.67,14,14,673.88,193.93,27.37,5.60,4.63,3.14,nan
2026/05/20T22:25:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,27,43,1022.70,4.88,26248,0,219,4.27,5.37,6.64,4.27,5.37,6.64,22,22,929.14,278.25,25.22,4.24,2.10,0.69,2.58,3.27,6.65,2.58,3.27,6.65,14,14,618.44,181.40,24.95,6.02,4.89,2.13,50.30
2026/05/20T22:27:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,27,43,1022.66,4.88,26248,0,339,4.04,5.11,6.33,4.04,5.11,6.33,21,21,835.05,250.19,27.09,2.46,1.88,0.82,2.53,3.47,4.97,2.53,3.47,4.97,14,14,667.42,193.66,21.42,4.12,2.64,0.93,50.00
2026/05/20T22:29:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,27,42,1022.67,4.88,26248,0,459,3.75,5.07,6.34,3.75,5.07,6.34,21,21,824.04,236.96,27.39,4.14,1.96,1.02,2.19,3.44,4.86,2.19,3.44,4.86,14,14,597.71,168.85,21.98,4.02,2.36,1.07,50.00
2026/05/20T22:31:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,26,44,1022.63,4.88,26248,0,579,3.54,4.98,6.29,3.54,4.98,6.29,21,21,814.27,246.39,26.39,2.81,2.03,1.51,1.91,3.19,6.25,1.91,3.19,6.25,13,13,588.74,167.88,22.88,6.58,4.25,3.05,50.00
2026/05/20T22:33:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,25,43,1022.58,4.88,26248,0,699,3.97,4.98,7.53,3.97,4.98,7.53,21,21,905.85,271.20,24.68,5.20,3.61,2.08,1.91,2.89,4.63,1.91,2.89,4.63,12,12,556.58,162.02,17.40,4.49,2.54,1.23,50.00
2026/05/20T22:35:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,25,42,1022.57,4.88,26248,0,819,4.00,5.60,6.45,4.00,5.60,6.45,23,23,947.12,271.95,26.31,4.45,1.45,0.26,2.33,3.53,5.21,2.33,3.53,5.21,15,15,602.74,167.88,21.88,5.05,2.22,1.67,50.00
2026/05/20T22:37:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,25,42,1022.58,4.88,26248,0,939,3.23,4.12,5.11,3.23,4.12,5.11,17,17,834.05,240.68,18.91,2.50,1.45,0.80,1.43,1.86,2.76,1.43,1.86,2.76,8,8,448.29,128.07,12.59,1.88,1.38,0.36,50.00
2026/05/20T22:39:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,24,43,1022.55,4.88,26248,0,1059,2.72,3.40,4.03,2.72,3.40,4.03,14,14,686.22,197.72,15.83,1.40,0.97,0.34,1.48,2.45,3.71,1.48,2.45,3.71,10,10,484.55,136.83,18.09,2.93,1.91,0.91,50.00
2026/05/20T22:41:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,25,43,1022.59,4.88,26248,0,1179,3.25,4.27,4.85,3.25,4.27,4.85,18,18,805.65,227.37,17.03,2.42,0.83,0.42,1.52,2.55,3.70,1.52,2.55,3.70,11,11,520.45,151.12,20.52,2.80,1.84,0.91,50.00
