Stations: Seattle Duwamish Vly,
QMUs: Pm2.5 Nephelometer | Barometric Pressure | Light Scatter eco_9003_2 | Nitric Oxide (NO_CAPS) | Nitrogen Dioxide (NO2_CAPS) | NItrogen Oxides (NOx_CAPS) | Pm10 MetOne Bam | Pm2.5 Black Carbon_633 | Pm2.5 MetOne Bam | Pm2.5 Partisol  (daily) | Pm2.5 Partisol  (daily) collocated | Pm2.5 uv Absorbance_633 | Temperature | Visual Range | Wind Direction Sonic | Wind Speed Sonic,
Aggregates: 1-Hour Average,
Query Start Date: 4/28/2026 ,
Query End Date: 5/13/2026,
File Creation Date: 5/13/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - AmbPres - kPa - 1Hr Avg,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - NO_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NO2_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NOx_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - Pm10MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25bc - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25uv - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Temp - degF - 1Hr Avg,Seattle Duwamish Vly - VisualRange - miles - 1Hr Avg,Seattle Duwamish Vly - WD Sonic - deg(frm N) - 1Hr Avg,Seattle Duwamish Vly - WS Sonic - mph - 1Hr Avg
4/28/2026 12:00:00 AM,3.3000000000,1021.0000000000,0.1160000000,0.5370000000,8.3000000000,8.9280000000,8.5000000000,0.3660000000,4.4000000000,0.4770000000,50.0000000000,97.0000000000,169.0000000000,2.6000000000
4/28/2026 1:00:00 AM,3.1000000000,1020.0000000000,0.1080000000,0.7610000000,7.6000000000,8.4450000000,7.0000000000,0.2980000000,3.1000000000,0.3950000000,50.0000000000,100.0000000000,159.0000000000,3.6000000000
4/28/2026 2:00:00 AM,3.6000000000,1020.0000000000,0.1260000000,0.3220000000,5.6000000000,5.9230000000,13.4000000000,0.3280000000,4.3000000000,0.4370000000,51.0000000000,93.0000000000,158.0000000000,4.9000000000
4/28/2026 3:00:00 AM,3.1000000000,1021.0000000000,0.1080000000,,,,9.1000000000,0.2140000000,4.7000000000,0.2460000000,51.0000000000,100.0000000000,162.0000000000,5.3000000000
4/28/2026 4:00:00 AM,2.7000000000,1021.0000000000,0.0940000000,0.6200000000,8.9000000000,9.5840000000,5.0000000000,0.2470000000,5.1000000000,0.2930000000,49.0000000000,106.0000000000,152.0000000000,5.0000000000
4/28/2026 5:00:00 AM,3.3000000000,1021.0000000000,0.1160000000,1.6360000000,13.5000000000,15.1960000000,5.9000000000,0.3790000000,4.9000000000,0.4740000000,49.0000000000,97.0000000000,153.0000000000,4.8000000000
4/28/2026 6:00:00 AM,4.9000000000,1022.0000000000,0.1720000000,4.4600000000,18.0000000000,22.4660000000,26.9000000000,0.6300000000,4.0000000000,0.7540000000,50.0000000000,81.0000000000,153.0000000000,4.8000000000
4/28/2026 7:00:00 AM,4.0000000000,1023.0000000000,0.1420000000,5.2940000000,17.5000000000,22.8490000000,13.0000000000,0.6730000000,3.6000000000,0.9400000000,51.0000000000,88.0000000000,153.0000000000,4.4000000000
4/28/2026 8:00:00 AM,4.1000000000,1023.0000000000,0.1430000000,3.2740000000,11.9000000000,15.2610000000,21.1000000000,0.5610000000,9.6000000000,0.9630000000,52.0000000000,87.0000000000,162.0000000000,4.7000000000
4/28/2026 9:00:00 AM,4.3000000000,1023.0000000000,0.1540000000,4.4260000000,10.5000000000,14.9350000000,14.5000000000,0.4360000000,6.0000000000,0.5140000000,54.0000000000,84.0000000000,170.0000000000,4.7000000000
