Stations: Seattle Duwamish Vly,
QMUs: Pm2.5 Nephelometer | Barometric Pressure | Light Scatter eco_9003_2 | Nitric Oxide (NO_CAPS) | Nitrogen Dioxide (NO2_CAPS) | NItrogen Oxides (NOx_CAPS) | Pm10 MetOne Bam | Pm2.5 Black Carbon_633 | Pm2.5 MetOne Bam | Pm2.5 Partisol  (daily) | Pm2.5 Partisol  (daily) collocated | Pm2.5 uv Absorbance_633 | Temperature | Visual Range | Wind Direction Sonic | Wind Speed Sonic,
Aggregates: 1-Hour Average,
Query Start Date: 5/20/2026 ,
Query End Date: 6/1/2026,
File Creation Date: 6/1/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - AmbPres - kPa - 1Hr Avg,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - Pm10MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25bc - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25uv - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Temp - degF - 1Hr Avg,Seattle Duwamish Vly - VisualRange - miles - 1Hr Avg,Seattle Duwamish Vly - WD Sonic - deg(frm N) - 1Hr Avg,Seattle Duwamish Vly - WS Sonic - mph - 1Hr Avg
5/20/2026 12:00:00 AM,3.9000000000,1024.0000000000,0.1380000000,9.7000000000,0.3050000000,3.9000000000,0.3790000000,54.0000000000,89.0000000000,252.0000000000,1.9000000000
5/20/2026 1:00:00 AM,3.9000000000,1024.0000000000,0.1370000000,9.9000000000,0.1890000000,2.2000000000,0.2080000000,53.0000000000,89.0000000000,242.0000000000,1.3000000000
5/20/2026 2:00:00 AM,4.0000000000,1024.0000000000,0.1410000000,8.0000000000,0.2230000000,3.3000000000,0.2470000000,54.0000000000,88.0000000000,256.0000000000,1.4000000000
5/20/2026 3:00:00 AM,4.2000000000,1024.0000000000,0.1470000000,7.4000000000,0.2480000000,5.3000000000,0.2670000000,54.0000000000,86.0000000000,266.0000000000,1.9000000000
5/20/2026 4:00:00 AM,4.5000000000,1024.0000000000,0.1590000000,12.5000000000,0.1980000000,5.3000000000,0.2160000000,54.0000000000,82.0000000000,264.0000000000,1.9000000000
5/20/2026 5:00:00 AM,4.7000000000,1024.0000000000,0.1670000000,18.5000000000,0.3730000000,4.8000000000,0.4290000000,54.0000000000,80.0000000000,321.0000000000,2.2000000000
5/20/2026 6:00:00 AM,5.0000000000,1024.0000000000,0.1770000000,10.9000000000,0.7560000000,6.3000000000,0.8310000000,55.0000000000,78.0000000000,35.0000000000,4.4000000000
5/20/2026 7:00:00 AM,5.9000000000,1025.0000000000,0.2090000000,14.6000000000,0.6940000000,5.0000000000,0.7680000000,55.0000000000,71.0000000000,27.0000000000,4.9000000000
5/20/2026 8:00:00 AM,4.2000000000,1025.0000000000,0.1480000000,20.8000000000,0.7110000000,,0.7920000000,56.0000000000,86.0000000000,50.0000000000,3.9000000000
5/20/2026 9:00:00 AM,3.9000000000,1024.0000000000,0.1380000000,6.2000000000,0.5210000000,0.0000000000,0.5920000000,58.0000000000,90.0000000000,25.0000000000,2.6000000000
5/20/2026 10:00:00 AM,6.6000000000,1024.0000000000,0.2340000000,18.0000000000,0.9210000000,4.8000000000,1.0050000000,59.0000000000,66.0000000000,327.0000000000,4.4000000000
5/20/2026 11:00:00 AM,4.7000000000,1024.0000000000,0.1640000000,12.0000000000,0.2180000000,4.7000000000,0.2990000000,61.0000000000,81.0000000000,307.0000000000,5.8000000000
5/20/2026 12:00:00 PM,5.1000000000,1024.0000000000,0.1800000000,28.2000000000,0.3400000000,4.2000000000,0.3990000000,63.0000000000,77.0000000000,305.0000000000,6.0000000000
5/20/2026 1:00:00 PM,4.5000000000,1023.0000000000,0.1600000000,19.8000000000,0.3410000000,3.5000000000,0.4050000000,66.0000000000,82.0000000000,300.0000000000,5.3000000000
5/20/2026 2:00:00 PM,3.7000000000,1022.0000000000,0.1320000000,14.3000000000,0.2970000000,5.3000000000,0.3610000000,68.0000000000,91.0000000000,308.0000000000,5.6000000000
5/20/2026 3:00:00 PM,2.0000000000,1022.0000000000,0.0700000000,10.8000000000,0.2670000000,3.6000000000,0.2950000000,69.0000000000,119.0000000000,302.0000000000,5.9000000000
5/20/2026 4:00:00 PM,2.3000000000,1022.0000000000,0.0810000000,27.9000000000,0.2230000000,0.4000000000,0.2600000000,70.0000000000,113.0000000000,328.0000000000,7.7000000000
5/20/2026 5:00:00 PM,1.8000000000,1021.0000000000,0.0630000000,10.8000000000,0.3900000000,0.4000000000,0.4180000000,68.0000000000,123.0000000000,315.0000000000,6.4000000000
5/20/2026 6:00:00 PM,2.5000000000,1021.0000000000,0.0880000000,7.3000000000,0.1980000000,3.5000000000,0.2290000000,65.0000000000,109.0000000000,305.0000000000,4.8000000000
5/20/2026 7:00:00 PM,2.8000000000,1021.0000000000,0.0980000000,5.2000000000,0.2270000000,4.5000000000,0.2690000000,64.0000000000,104.0000000000,307.0000000000,4.3000000000
5/20/2026 8:00:00 PM,3.4000000000,1021.0000000000,0.1190000000,16.7000000000,0.5040000000,3.2000000000,0.5770000000,63.0000000000,97.0000000000,317.0000000000,3.6000000000
5/20/2026 9:00:00 PM,3.6000000000,1022.0000000000,0.1270000000,5.2000000000,0.3920000000,4.4000000000,0.4630000000,60.0000000000,93.0000000000,277.0000000000,2.0000000000
