Stations: Seattle Duwamish Vly,
QMUs: Light Scatter eco_9003_2 | Pm2.5 MetOne Bam | Pm2.5 Nephelometer,
Aggregates: 1-Hour Average,
Query Start Date: 5/20/2026 ,
Query End Date: 6/1/2026,
File Creation Date: 6/1/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg
5/20/2026 12:00:00 AM,0.1380000000,3.9000000000,3.9000000000
5/20/2026 1:00:00 AM,0.1370000000,2.2000000000,3.9000000000
5/20/2026 2:00:00 AM,0.1410000000,3.3000000000,4.0000000000
5/20/2026 3:00:00 AM,0.1470000000,5.3000000000,4.2000000000
5/20/2026 4:00:00 AM,0.1590000000,5.3000000000,4.5000000000
5/20/2026 5:00:00 AM,0.1670000000,4.8000000000,4.7000000000
5/20/2026 6:00:00 AM,0.1770000000,6.3000000000,5.0000000000
5/20/2026 7:00:00 AM,0.2090000000,5.0000000000,5.9000000000
5/20/2026 8:00:00 AM,0.1480000000,,4.2000000000
5/20/2026 9:00:00 AM,0.1380000000,0.0000000000,3.9000000000
5/20/2026 10:00:00 AM,0.2340000000,4.8000000000,6.6000000000
5/20/2026 11:00:00 AM,0.1640000000,4.7000000000,4.7000000000
5/20/2026 12:00:00 PM,0.1800000000,4.2000000000,5.1000000000
5/20/2026 1:00:00 PM,0.1600000000,3.5000000000,4.5000000000
5/20/2026 2:00:00 PM,0.1320000000,5.3000000000,3.7000000000
5/20/2026 3:00:00 PM,0.0700000000,3.6000000000,2.0000000000
5/20/2026 4:00:00 PM,0.0810000000,0.4000000000,2.3000000000
5/20/2026 5:00:00 PM,0.0630000000,0.4000000000,1.8000000000
5/20/2026 6:00:00 PM,0.0880000000,3.5000000000,2.5000000000
5/20/2026 7:00:00 PM,0.0980000000,4.5000000000,2.8000000000
5/20/2026 8:00:00 PM,0.1190000000,3.2000000000,3.4000000000
5/20/2026 9:00:00 PM,0.1270000000,4.4000000000,3.6000000000
5/20/2026 10:00:00 PM,0.1580000000,5.6000000000,4.5000000000
5/20/2026 11:00:00 PM,0.1450000000,4.0000000000,4.1000000000
5/21/2026 12:00:00 AM,0.1410000000,5.8000000000,4.0000000000
5/21/2026 1:00:00 AM,0.1550000000,6.9000000000,4.4000000000
5/21/2026 2:00:00 AM,0.1970000000,7.7000000000,5.6000000000
5/21/2026 3:00:00 AM,0.1780000000,10.6000000000,5.0000000000
5/21/2026 4:00:00 AM,0.1920000000,8.2000000000,5.4000000000
5/21/2026 5:00:00 AM,0.2650000000,8.7000000000,7.5000000000
5/21/2026 6:00:00 AM,0.2490000000,9.2000000000,7.0000000000
5/21/2026 7:00:00 AM,0.2580000000,11.4000000000,7.3000000000
5/21/2026 8:00:00 AM,0.2390000000,7.3000000000,6.8000000000
5/21/2026 9:00:00 AM,0.2190000000,8.2000000000,6.2000000000
5/21/2026 10:00:00 AM,0.1820000000,6.7000000000,5.2000000000
5/21/2026 11:00:00 AM,0.1510000000,5.0000000000,4.3000000000
5/21/2026 12:00:00 PM,0.1630000000,8.0000000000,4.6000000000
5/21/2026 1:00:00 PM,0.1650000000,7.6000000000,4.7000000000
5/21/2026 2:00:00 PM,0.1640000000,4.5000000000,4.6000000000
5/21/2026 3:00:00 PM,0.1560000000,5.8000000000,4.4000000000
5/21/2026 4:00:00 PM,0.1350000000,5.4000000000,3.8000000000
5/21/2026 5:00:00 PM,0.1550000000,4.9000000000,4.4000000000
5/21/2026 6:00:00 PM,0.1580000000,5.3000000000,4.5000000000
5/21/2026 7:00:00 PM,0.1810000000,8.1000000000,5.1000000000
5/21/2026 8:00:00 PM,0.1780000000,6.4000000000,5.0000000000
5/21/2026 9:00:00 PM,0.2090000000,6.5000000000,5.9000000000
5/21/2026 10:00:00 PM,0.3900000000,15.4000000000,11.0000000000
5/21/2026 11:00:00 PM,0.1650000000,6.9000000000,4.7000000000
5/22/2026 12:00:00 AM,0.1410000000,4.4000000000,4.0000000000
