UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/22T00:00:39z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.90,4.85,26248,0,1180,3.17,4.63,5.31,3.17,4.63,5.31,19,19,654.51,201.73,25.76,2.95,1.10,0.20,2.45,3.64,3.85,2.45,3.64,3.85,15,15,607.80,173.85,22.31,1.42,0.27,0.00,109.04
2026/06/22T00:02:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.90,nan,26336,0,100,2.83,4.48,5.22,2.83,4.48,5.22,19,19,693.85,212.15,24.39,5.46,0.93,0.24,2.05,3.02,3.21,2.05,3.02,3.21,13,13,562.00,164.64,19.90,1.81,0.24,0.00,nan
2026/06/22T00:04:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.88,4.85,26248,0,220,3.25,4.56,4.73,3.25,4.56,4.73,19,19,664.68,205.63,21.78,1.86,0.25,0.00,2.46,3.84,3.98,2.46,3.84,3.98,16,16,637.39,185.38,21.62,2.29,0.18,0.00,109.65
2026/06/22T00:06:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.88,4.85,26248,0,340,3.28,4.36,4.41,3.28,4.36,4.41,18,18,698.12,206.31,21.79,1.43,0.24,0.07,2.02,3.62,3.83,2.02,3.62,3.83,15,15,577.24,165.86,23.40,3.55,0.36,0.00,109.53
2026/06/22T00:08:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.85,4.85,26248,0,460,3.29,4.98,5.64,3.29,4.98,5.64,21,21,689.62,208.84,27.05,4.11,1.12,0.68,2.00,3.15,3.86,2.00,3.15,3.86,13,13,529.02,156.78,18.83,3.98,1.29,0.36,109.67
2026/06/22T00:10:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.85,4.85,26248,0,580,2.81,4.02,4.20,2.81,4.02,4.20,17,17,657.31,194.27,26.80,1.81,0.58,0.10,1.84,3.05,3.35,1.84,3.05,3.35,13,13,570.47,164.04,16.82,2.88,0.46,0.05,109.55
2026/06/22T00:12:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.83,4.85,26248,0,700,2.95,4.19,4.85,2.95,4.19,4.85,17,17,641.54,195.12,25.59,3.20,1.12,0.00,1.93,2.89,3.26,1.93,2.89,3.26,12,12,571.79,168.58,20.07,1.49,0.67,0.19,109.45
2026/06/22T00:14:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.80,4.85,26248,0,820,3.12,4.86,5.08,3.12,4.86,5.08,20,20,664.02,199.81,29.86,4.22,0.39,0.00,2.20,3.47,3.81,2.20,3.47,3.81,14,14,586.22,173.32,21.98,2.75,0.64,0.00,109.70
2026/06/22T00:16:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.79,4.85,26248,0,940,2.79,4.26,4.60,2.79,4.26,4.60,18,18,651.26,195.48,29.38,1.91,0.55,0.45,2.27,3.32,4.05,2.27,3.32,4.05,14,14,576.00,164.69,18.05,3.00,0.86,0.17,109.46
2026/06/22T00:18:20z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,31,50,1006.79,4.85,26248,0,1060,2.83,4.09,4.60,2.83,4.09,4.60,17,17,644.64,193.48,22.48,2.41,1.03,0.19,2.78,3.62,4.22,2.78,3.62,4.22,15,15,614.79,176.74,19.41,2.84,0.72,0.17,109.31
