UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/19T00:00:37z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,30,49,1005.48,4.88,26248,0,340,1.07,1.80,2.61,1.07,1.80,2.61,8,8,382.82,107.84,10.23,2.02,1.38,0.00,1.24,2.29,3.22,1.24,2.29,3.22,10,10,409.27,115.32,20.08,3.53,1.47,0.24,76.59
2026/06/19T00:02:37z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,30,49,1005.48,4.88,26248,0,460,1.19,1.74,2.21,1.19,1.74,2.21,7,7,424.84,112.93,11.56,1.47,0.60,0.18,0.55,1.68,2.17,0.55,1.68,2.17,7,7,355.65,100.97,17.35,2.25,0.98,0.00,80.87
2026/06/19T00:04:37z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,29,49,1005.51,4.88,26248,0,580,1.41,1.98,2.24,1.41,1.98,2.24,8,8,495.61,129.53,12.39,1.39,0.47,0.00,1.42,2.07,2.95,1.42,2.07,2.95,9,9,395.37,111.56,14.23,3.12,1.70,0.00,82.66
2026/06/19T00:06:37z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,29,48,1005.49,4.88,26248,0,700,1.55,2.12,2.95,1.55,2.12,2.95,9,9,468.88,126.88,13.83,2.22,1.12,0.36,0.88,1.48,3.18,0.88,1.48,3.18,6,6,358.71,98.21,15.25,4.12,2.88,0.25,80.42
2026/06/19T00:08:37z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,29,48,1005.47,4.88,26248,0,820,1.46,2.33,2.89,1.46,2.33,2.89,10,10,451.84,120.91,17.58,2.60,0.61,0.00,0.97,2.07,4.31,0.97,2.07,4.31,9,9,412.32,110.12,22.39,5.92,4.12,0.24,79.34
2026/06/19T00:10:37z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,29,48,1005.47,4.88,26248,0,940,1.54,2.20,3.71,1.54,2.20,3.71,9,9,487.29,132.84,15.18,3.39,1.82,0.89,0.85,1.71,2.22,0.85,1.71,2.22,7,7,349.58,99.42,16.54,2.58,1.00,0.00,82.17
2026/06/19T00:12:37z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,29,49,1005.46,4.88,26248,0,1060,1.40,2.31,3.28,1.40,2.31,3.28,10,10,454.60,127.88,14.76,3.24,1.22,0.36,1.41,2.24,4.29,1.41,2.24,4.29,9,9,416.95,117.73,22.71,4.47,3.58,0.69,85.83
2026/06/19T00:14:37z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,29,49,1005.47,4.88,26248,0,1180,1.13,2.27,2.82,1.13,2.27,2.82,9,9,401.60,112.07,13.95,3.40,0.92,0.00,1.13,2.40,3.75,1.13,2.40,3.75,10,10,379.64,109.00,17.67,5.20,2.25,0.69,85.23
2026/06/19T00:16:18z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,29,49,1005.46,nan,26336,0,101,1.39,2.24,2.78,1.39,2.24,2.78,9,9,459.33,128.46,11.33,2.37,1.13,0.24,1.33,2.40,3.98,1.33,2.40,3.98,10,10,457.47,128.42,17.60,5.33,3.21,0.00,nan
2026/06/19T00:18:18z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,29,49,1005.45,4.88,26248,0,221,1.20,2.15,2.46,1.20,2.15,2.46,9,9,446.59,123.68,12.32,2.27,0.51,0.00,1.07,1.89,3.54,1.07,1.89,3.54,8,8,373.29,109.91,15.75,4.93,2.75,0.20,82.96
2026/06/19T00:20:18z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,29,49,1005.45,4.88,26248,0,341,1.75,2.68,3.84,1.75,2.68,3.84,11,11,487.47,139.25,16.91,4.07,1.49,0.00,1.14,1.73,2.81,1.14,1.73,2.81,7,7,350.54,103.22,12.32,3.44,1.44,0.25,91.46
2026/06/19T00:22:18z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,29,49,1005.46,4.88,26248,0,461,1.59,2.04,2.91,1.59,2.04,2.91,8,8,420.91,121.57,14.30,2.46,1.12,0.00,0.76,1.22,2.05,0.76,1.22,2.05,5,5,354.56,98.83,11.31,1.83,1.51,0.00,95.61
2026/06/19T00:24:18z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,29,50,1005.44,4.88,26248,0,581,1.59,2.21,2.50,1.59,2.21,2.50,9,9,438.93,120.17,13.34,1.45,0.55,0.05,0.93,1.88,2.74,0.93,1.88,2.74,8,8,385.95,113.46,17.51,3.51,1.61,0.28,92.60
