UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/24T00:01:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,30,54,1005.40,4.82,26344,0,221,6.38,7.78,9.02,6.38,7.78,9.02,32,32,1268.90,364.78,31.74,3.16,1.84,1.12,7.25,8.47,8.54,7.25,8.47,8.54,35,35,1372.16,403.58,32.54,0.91,0.12,0.12,52.55
2026/06/24T00:03:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,30,53,1005.43,4.82,26344,0,341,6.48,7.76,9.07,6.48,7.76,9.07,32,32,1280.07,360.84,32.48,3.19,1.83,0.97,7.08,8.58,9.08,7.08,8.58,9.08,36,36,1355.19,381.07,35.20,2.37,0.63,0.37,50.02
2026/06/24T00:05:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,30,53,1005.44,4.82,26344,0,461,6.25,7.61,8.11,6.25,7.61,8.11,32,32,1249.82,360.02,30.68,2.68,0.96,0.18,7.69,9.16,9.84,7.69,9.16,9.84,38,38,1446.88,409.26,36.10,2.38,0.97,0.72,50.20
2026/06/24T00:07:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,30,53,1005.41,4.82,26344,0,581,5.20,6.37,7.81,5.20,6.37,7.81,27,27,1158.36,334.36,35.14,2.58,1.92,0.97,7.47,8.91,9.21,7.47,8.91,9.21,37,37,1368.83,394.88,35.26,2.16,0.50,0.26,51.35
2026/06/24T00:09:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,29,53,1005.41,4.82,26344,0,701,5.81,6.85,7.32,5.81,6.85,7.32,29,29,1276.58,366.73,32.76,1.36,0.47,0.25,7.62,8.73,9.52,7.62,8.73,9.52,36,36,1455.91,420.59,39.54,1.45,1.02,0.38,52.96
2026/06/24T00:11:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,29,53,1005.41,4.82,26280,0,821,6.36,7.56,7.73,6.36,7.56,7.73,31,31,1283.85,376.14,27.69,1.98,0.32,0.10,7.66,9.19,10.17,7.66,9.19,10.17,38,38,1464.93,415.34,41.41,2.38,1.24,0.69,54.98
2026/06/24T00:13:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,29,53,1005.41,4.82,26280,0,941,6.14,7.60,8.42,6.14,7.60,8.42,32,32,1289.84,372.77,33.75,2.19,1.09,1.09,8.03,9.58,10.34,8.03,9.58,10.34,40,40,1474.93,430.05,35.08,2.66,1.05,1.05,57.30
2026/06/24T00:15:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,29,53,1005.38,4.82,26280,0,1061,6.63,8.07,8.71,6.63,8.07,8.71,34,34,1293.46,370.41,35.34,2.54,0.86,0.47,8.61,10.00,10.24,8.61,10.00,10.24,42,42,1567.83,446.75,37.39,1.88,0.25,0.25,59.25
2026/06/24T00:17:59z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,29,53,1005.34,4.82,26280,0,1181,7.12,8.20,8.59,7.12,8.20,8.59,34,34,1337.95,388.63,32.71,1.07,0.81,0.20,7.88,9.45,9.70,7.88,9.45,9.70,39,39,1558.61,440.77,40.34,0.84,0.43,0.25,62.17
2026/06/24T00:19:40z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,30,53,1005.32,nan,26432,0,101,7.07,8.30,9.39,7.07,8.30,9.39,35,35,1337.80,384.74,31.83,2.59,1.65,0.57,8.40,9.93,10.37,8.40,9.93,10.37,41,41,1572.63,452.07,44.28,1.16,0.56,0.33,nan
