UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/17T00:00:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,30,51,1007.64,nan,26336,0,100,0.63,1.04,2.11,0.63,1.04,2.11,4,4,372.20,107.17,11.74,2.65,1.13,1.13,0.38,1.05,2.40,0.38,1.05,2.40,4,4,249.71,70.10,13.67,3.36,2.24,0.19,nan
2026/06/17T00:02:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,29,50,1007.66,4.95,26248,0,220,0.97,1.31,3.42,0.97,1.31,3.42,5,5,336.51,95.22,13.53,3.27,2.92,2.46,0.43,0.95,2.38,0.43,0.95,2.38,4,4,230.12,66.76,11.84,2.97,2.02,0.76,104.77
2026/06/17T00:04:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,29,50,1007.64,4.95,26248,0,340,0.96,1.61,3.54,0.96,1.61,3.54,7,7,333.84,98.46,12.00,3.98,2.70,2.39,0.45,0.78,2.03,0.45,0.78,2.03,3,3,256.09,70.47,10.29,2.05,1.55,1.05,105.47
2026/06/17T00:06:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,30,51,1007.65,4.95,26248,0,460,0.91,1.42,2.05,0.91,1.42,2.05,6,6,361.58,107.02,8.51,1.36,1.15,0.49,0.38,0.82,2.15,0.38,0.82,2.15,3,3,252.60,72.98,12.67,3.22,2.28,0.57,105.73
2026/06/17T00:08:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,29,50,1007.71,4.95,26248,0,580,0.53,1.00,2.61,0.53,1.00,2.61,4,4,314.03,95.64,13.03,3.00,2.12,1.49,0.72,1.38,2.60,0.72,1.38,2.60,6,6,282.62,82.10,13.60,2.83,2.31,0.60,104.86
2026/06/17T00:10:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,29,50,1007.67,4.95,26248,0,700,0.17,1.41,2.73,0.17,1.41,2.73,6,6,353.85,106.71,16.41,3.39,1.85,1.32,0.32,0.88,2.14,0.32,0.88,2.14,4,4,266.42,75.23,11.32,3.00,2.04,0.67,104.85
2026/06/17T00:12:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,29,50,1007.65,4.95,26248,0,820,0.09,0.38,2.76,0.09,0.38,2.76,2,2,322.24,95.91,11.21,4.22,2.93,2.76,0.17,0.60,1.53,0.17,0.60,1.53,3,3,237.67,67.34,8.53,1.74,1.74,0.29,103.72
2026/06/17T00:14:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,29,50,1007.65,4.95,26248,0,940,0.54,1.11,3.25,0.54,1.11,3.25,5,5,364.02,103.82,13.23,4.16,2.96,1.93,0.44,1.02,2.78,0.44,1.02,2.78,4,4,271.53,71.10,14.29,4.27,2.80,1.34,103.53
2026/06/17T00:16:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,29,50,1007.64,4.95,26248,0,1060,1.16,1.50,2.67,1.16,1.50,2.67,6,6,356.74,104.76,11.43,1.93,1.50,1.14,0.49,0.93,2.41,0.49,0.93,2.41,4,4,249.92,70.15,10.73,2.66,2.32,0.93,103.85
2026/06/17T00:18:13z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,29,50,1007.65,4.95,26248,0,1180,1.12,1.92,2.95,1.12,1.92,2.95,8,8,366.05,108.59,10.93,3.14,1.51,0.95,0.54,1.27,2.55,0.54,1.27,2.55,5,5,274.88,77.62,14.12,3.50,1.91,0.70,103.33
