UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/05T00:00:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,43,1008.99,nan,26336,0,100,5.80,7.37,8.65,5.80,7.37,8.65,31,31,1114.76,319.28,38.65,3.33,1.72,0.72,4.60,6.52,7.21,4.60,6.52,7.21,27,27,1084.07,308.95,40.81,2.55,0.79,0.00,nan
2026/05/05T00:02:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,43,1008.99,4.93,26248,0,219,5.81,7.27,8.19,5.81,7.27,8.19,30,30,1132.22,318.78,39.51,2.54,1.24,0.34,4.70,5.54,6.18,4.70,5.54,6.18,23,23,1075.16,304.84,29.35,1.86,0.91,0.46,50.00
2026/05/05T00:04:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,43,1009.01,4.93,26248,0,339,5.38,7.28,8.40,5.38,7.28,8.40,30,30,1132.45,317.69,44.33,4.34,1.84,0.43,4.59,6.08,7.27,4.59,6.08,7.27,25,25,1085.95,306.73,35.83,3.08,1.71,1.32,50.00
2026/05/05T00:06:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,43,1008.98,4.93,26248,0,459,5.38,6.88,7.66,5.38,6.88,7.66,29,29,1084.23,306.02,38.34,2.62,1.12,0.20,4.15,5.29,5.88,4.15,5.29,5.88,22,22,992.29,284.83,35.39,2.41,0.68,0.42,50.00
2026/05/05T00:08:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1009.00,4.93,26248,0,579,5.26,6.62,7.52,5.26,6.62,7.52,28,28,1080.16,294.91,34.84,2.88,1.28,0.12,4.64,5.78,6.34,4.64,5.78,6.34,24,24,1093.24,304.43,40.72,1.88,0.78,0.41,50.00
2026/05/05T00:10:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1008.98,4.93,26248,0,699,5.14,6.56,7.05,5.14,6.56,7.05,27,27,1018.93,284.88,33.05,1.20,0.73,0.31,4.43,5.12,6.36,4.43,5.12,6.36,21,21,1010.25,290.27,35.23,2.07,1.68,0.59,50.00
2026/05/05T00:12:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,44,1008.97,4.93,26248,0,819,5.21,6.21,6.39,5.21,6.21,6.39,26,26,1053.21,304.28,30.88,1.04,0.33,0.14,4.29,5.64,6.67,4.29,5.64,6.67,23,23,1087.97,295.93,34.43,2.72,1.78,0.34,50.00
2026/05/05T00:14:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1008.95,4.93,26248,0,939,5.79,7.54,8.30,5.79,7.54,8.30,31,31,1114.45,318.66,42.04,2.93,1.02,0.25,5.03,6.63,8.25,5.03,6.63,8.25,28,28,1076.40,311.65,47.43,3.58,2.20,1.38,50.00
2026/05/05T00:16:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,44,1008.94,4.93,26248,0,1059,5.67,7.22,7.83,5.67,7.22,7.83,30,30,1150.81,332.36,42.28,2.24,0.90,0.33,4.25,5.37,6.05,4.25,5.37,6.05,22,22,1022.32,288.33,33.14,1.77,1.02,0.18,50.00
2026/05/05T00:18:11z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,45,1008.94,4.94,26248,0,1179,5.60,7.47,7.81,5.60,7.47,7.81,31,31,1084.19,314.03,37.60,2.95,0.78,0.00,4.68,6.16,6.61,4.68,6.16,6.61,26,26,1106.84,309.32,40.79,2.11,0.84,0.19,50.00
