UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/04T00:01:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1009.95,4.99,26248,0,220,5.24,6.74,7.66,5.24,6.74,7.66,28,28,1060.86,302.17,35.28,3.14,1.10,0.41,5.50,6.74,7.26,5.50,6.74,7.26,28,28,1076.38,306.31,28.57,1.97,0.98,0.21,50.00
2026/05/04T00:03:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1009.95,4.99,26248,0,339,5.44,7.00,7.63,5.44,7.00,7.63,29,29,1110.00,321.32,32.25,2.98,0.81,0.53,5.20,6.40,7.63,5.20,6.40,7.63,27,27,1021.55,298.27,30.67,3.23,2.52,0.00,50.00
2026/05/04T00:05:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1009.91,4.99,26248,0,459,5.61,7.16,7.91,5.61,7.16,7.91,30,30,1086.70,314.54,35.48,4.43,1.45,0.00,4.72,6.10,7.27,4.72,6.10,7.27,25,25,1021.35,281.27,32.55,3.05,1.73,0.60,50.00
2026/05/04T00:07:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1009.89,4.99,26248,0,579,4.83,7.14,8.25,4.83,7.14,8.25,30,30,1056.56,298.41,42.10,3.90,1.80,0.34,5.12,6.58,8.07,5.12,6.58,8.07,27,27,1070.32,301.98,30.56,5.19,2.67,0.14,50.00
2026/05/04T00:09:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,42,1009.89,4.99,26248,0,699,5.20,6.58,7.12,5.20,6.58,7.12,27,27,1042.65,294.75,30.10,2.13,0.88,0.13,5.54,6.61,7.52,5.54,6.61,7.52,28,28,1126.55,316.77,25.45,2.16,1.34,0.54,50.00
2026/05/04T00:11:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,43,1009.92,4.99,26248,0,819,4.81,6.50,7.22,4.81,6.50,7.22,27,27,1052.17,295.64,37.72,3.72,0.95,0.24,5.22,6.05,7.15,5.22,6.05,7.15,25,25,1015.37,282.76,26.97,3.08,1.90,0.17,50.00
2026/05/04T00:13:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,43,1009.91,4.99,26248,0,939,5.60,7.02,7.96,5.60,7.02,7.96,29,29,1124.13,317.15,37.67,2.85,1.42,0.76,5.48,6.85,8.23,5.48,6.85,8.23,29,29,1108.80,314.83,31.13,3.70,2.37,0.35,50.00
2026/05/04T00:15:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,43,1009.80,4.99,26248,0,1059,5.31,7.09,7.36,5.31,7.09,7.36,30,30,1070.74,300.21,34.67,3.31,0.67,0.00,5.62,6.95,7.90,5.62,6.95,7.90,29,29,1082.64,309.24,33.84,2.76,1.52,0.09,50.00
2026/05/04T00:17:53z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,43,1009.85,4.99,26248,0,1179,5.24,7.02,7.56,5.24,7.02,7.56,29,29,1118.49,317.29,34.00,4.36,0.78,0.24,5.09,6.71,7.66,5.09,6.71,7.66,28,28,1060.88,293.32,28.68,3.68,1.61,0.18,50.00
2026/05/04T00:19:33z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1009.79,nan,26336,0,99,4.89,6.61,7.11,4.89,6.61,7.11,28,28,1059.33,302.28,33.37,3.52,0.61,0.30,5.05,6.05,7.21,5.05,6.05,7.21,25,25,992.71,277.45,31.21,2.14,1.74,0.24,nan
