UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/07T00:01:50z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,48,45,1021.09,4.96,26248,0,1060,2.07,3.26,4.22,2.07,3.26,4.22,14,14,574.40,164.84,32.43,2.78,1.57,0.21,2.64,4.22,5.17,2.64,4.22,5.17,18,18,571.27,167.12,30.98,4.86,1.51,0.00,97.86
2026/05/07T00:03:50z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,48,44,1021.04,4.96,26248,0,1180,2.51,3.54,4.32,2.51,3.54,4.32,15,15,553.93,161.22,22.20,2.00,1.37,0.22,2.75,3.50,4.38,2.75,3.50,4.38,15,15,567.32,164.43,27.96,1.88,1.32,0.21,97.65
2026/05/07T00:05:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,49,44,1021.06,nan,26336,0,100,2.36,3.44,4.44,2.36,3.44,4.44,14,14,560.07,158.82,29.47,2.00,1.69,0.33,2.56,4.49,5.05,2.56,4.49,5.05,19,19,597.98,177.19,28.30,3.63,0.88,0.00,nan
2026/05/07T00:07:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,50,45,1021.05,4.96,26248,0,220,2.44,3.41,4.24,2.44,3.41,4.24,14,14,597.36,168.73,26.51,2.61,1.25,0.51,2.48,4.14,5.48,2.48,4.14,5.48,17,17,567.43,165.36,30.04,5.36,2.71,0.20,95.98
2026/05/07T00:09:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,50,45,1021.05,4.96,26248,0,340,1.95,3.07,3.93,1.95,3.07,3.93,13,13,505.79,142.60,27.07,2.91,1.46,0.25,2.20,3.32,3.70,2.20,3.32,3.70,14,14,508.50,150.48,25.83,1.82,0.80,0.17,97.68
2026/05/07T00:11:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,49,45,1021.09,4.96,26248,0,460,2.44,3.51,3.95,2.44,3.51,3.95,15,15,595.63,169.14,23.96,2.37,0.82,0.00,2.31,3.61,4.80,2.31,3.61,4.80,15,15,547.53,161.69,27.51,3.51,1.83,0.24,100.75
2026/05/07T00:13:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,48,45,1021.06,4.96,26248,0,580,2.48,3.50,4.00,2.48,3.50,4.00,15,15,598.24,170.00,22.29,1.76,0.90,0.00,2.40,4.00,5.14,2.40,4.00,5.14,17,17,557.02,158.47,29.88,4.34,1.91,0.00,99.94
2026/05/07T00:15:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,48,44,1021.04,4.96,26248,0,700,2.08,2.97,4.02,2.08,2.97,4.02,12,12,504.41,149.10,25.85,2.78,1.27,0.17,2.69,3.67,4.71,2.69,3.67,4.71,15,15,577.53,164.22,29.55,2.95,1.64,0.00,97.57
2026/05/07T00:17:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,48,44,1021.07,4.96,26248,0,820,2.33,3.22,3.88,2.33,3.22,3.88,13,13,561.67,153.26,23.40,2.22,0.93,0.00,2.02,3.45,4.37,2.02,3.45,4.37,14,14,522.20,146.12,29.68,3.12,1.32,0.00,98.37
2026/05/07T00:19:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,47,44,1021.05,4.96,26248,0,940,2.34,3.39,4.23,2.34,3.39,4.23,14,14,549.70,152.93,26.11,2.14,1.25,0.21,2.56,3.64,4.15,2.56,3.64,4.15,15,15,560.54,161.69,23.64,2.56,0.64,0.00,102.72
2026/05/07T00:21:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,48,44,1021.06,4.96,26248,0,1060,1.98,2.98,3.16,1.98,2.98,3.16,12,12,531.21,150.33,24.74,1.72,0.43,0.00,2.31,3.63,4.95,2.31,3.63,4.95,15,15,565.02,165.98,26.25,4.12,2.63,0.00,97.83
2026/05/07T00:23:31z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,48,45,1021.06,4.96,26248,0,1180,2.13,3.02,3.50,2.13,3.02,3.50,13,13,533.00,154.35,19.68,2.03,1.12,0.00,2.32,3.75,4.49,2.32,3.75,4.49,16,16,550.32,158.95,24.30,4.40,1.42,0.23,97.17
2026/05/07T00:25:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,48,44,1021.04,nan,26336,0,99,2.16,3.47,4.82,2.16,3.47,4.82,14,14,612.27,177.27,30.98,4.71,2.64,0.00,2.37,3.72,4.88,2.37,3.72,4.88,16,16,566.37,160.44,30.81,3.09,1.84,0.23,nan
2026/05/07T00:27:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,47,44,1021.02,4.96,26248,0,219,2.41,3.10,3.55,2.41,3.10,3.55,13,13,585.62,165.84,21.91,1.16,0.64,0.21,2.36,3.57,5.34,2.36,3.57,5.34,15,15,578.95,165.07,29.21,4.00,3.04,0.00,97.82
2026/05/07T00:29:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,47,44,1021.08,4.96,26248,0,339,2.30,3.32,3.42,2.30,3.32,3.42,14,14,558.00,161.07,21.18,1.21,0.25,0.00,2.49,3.71,4.76,2.49,3.71,4.76,15,15,569.44,163.93,27.44,3.69,1.68,0.00,99.59
2026/05/07T00:31:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,47,45,1021.02,4.96,26248,0,459,2.09,2.98,3.70,2.09,2.98,3.70,12,12,523.12,153.23,18.61,3.64,1.18,0.00,2.15,3.58,5.05,2.15,3.58,5.05,15,15,529.83,153.49,30.24,4.22,2.41,0.24,99.49
2026/05/07T00:33:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,47,44,1021.05,4.96,26248,0,579,2.14,3.37,4.08,2.14,3.37,4.08,14,14,520.88,147.41,25.53,2.41,1.36,0.17,2.68,3.75,4.54,2.68,3.75,4.54,16,16,573.58,166.42,29.91,2.32,1.11,0.19,99.48
2026/05/07T00:35:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,47,44,1021.05,4.96,26248,0,699,2.24,3.28,3.84,2.24,3.28,3.84,14,14,570.36,159.66,25.79,2.17,1.07,0.00,2.76,4.07,5.42,2.76,4.07,5.42,17,17,593.67,171.27,27.84,4.67,2.35,0.00,101.27
2026/05/07T00:37:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,48,44,1021.03,4.96,26248,0,819,1.83,2.80,4.22,1.83,2.80,4.22,12,12,513.25,147.98,24.80,3.81,2.24,0.24,2.24,3.31,4.25,2.24,3.31,4.25,14,14,531.31,151.03,21.20,3.36,1.66,0.00,98.68
2026/05/07T00:39:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,48,44,1021.04,4.96,26248,0,939,2.44,3.13,3.44,2.44,3.13,3.44,13,13,529.15,150.51,21.62,1.75,0.67,0.20,2.00,3.15,4.07,2.00,3.15,4.07,13,13,498.76,144.97,22.14,3.49,1.41,0.00,97.40
2026/05/07T00:41:11z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,49,44,1021.04,4.96,26248,0,1059,1.64,2.57,3.71,1.64,2.57,3.71,11,11,488.84,143.47,20.95,3.05,1.90,0.22,1.57,2.86,3.41,1.57,2.86,3.41,12,12,470.74,133.78,20.05,2.74,0.90,0.00,100.69
