UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/12T00:00:10z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,16,43,1018.42,4.92,26248,0,580,1.76,2.51,3.86,1.76,2.51,3.86,10,10,511.12,142.71,19.32,2.66,1.86,1.59,1.43,2.33,3.07,1.43,2.33,3.07,10,10,474.93,126.21,13.71,2.90,1.02,0.47,50.00
2026/05/12T00:02:10z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,16,42,1018.50,4.92,26248,0,700,1.68,2.14,2.47,1.68,2.14,2.47,9,9,509.80,140.24,13.05,1.27,0.61,0.00,1.50,2.61,3.20,1.50,2.61,3.20,11,11,500.73,143.41,18.25,2.62,0.77,0.11,50.00
2026/05/12T00:04:10z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,16,42,1018.42,4.92,26248,0,820,1.64,2.40,4.12,1.64,2.40,4.12,10,10,461.17,126.34,16.21,3.36,2.09,1.43,1.55,2.81,3.59,1.55,2.81,3.59,12,12,481.09,135.69,17.95,4.02,1.10,0.40,50.00
2026/05/12T00:06:10z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,16,42,1018.45,4.92,26248,0,940,1.61,2.58,5.07,1.61,2.58,5.07,11,11,466.11,133.84,17.88,6.02,3.23,2.02,1.88,3.50,4.57,1.88,3.50,4.57,15,15,492.78,139.31,23.00,5.66,1.90,0.00,50.00
2026/05/12T00:08:10z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,16,42,1018.39,4.92,26248,0,1060,1.81,2.19,3.59,1.81,2.19,3.59,9,9,501.52,138.69,12.69,2.78,1.55,1.24,1.76,2.47,2.95,1.76,2.47,2.95,10,10,508.83,143.17,16.92,1.78,0.59,0.00,50.00
2026/05/12T00:10:10z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,16,42,1018.35,4.92,26248,0,1180,1.63,2.52,3.93,1.63,2.52,3.93,10,10,468.30,131.93,18.03,3.30,2.22,1.07,1.84,2.45,3.21,1.84,2.45,3.21,10,10,448.88,128.30,17.39,3.43,1.30,0.00,50.00
2026/05/12T00:11:51z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,16,42,1018.39,nan,26336,0,100,2.11,2.91,4.70,2.11,2.91,4.70,12,12,501.65,147.48,21.37,4.65,2.80,1.20,2.05,3.00,3.95,2.05,3.00,3.95,13,13,543.98,154.60,18.49,2.28,1.42,0.28,nan
2026/05/12T00:13:51z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,16,43,1018.34,4.92,26248,0,220,1.75,2.58,3.24,1.75,2.58,3.24,11,11,493.42,141.86,15.34,2.41,0.98,0.46,1.91,2.89,3.75,1.91,2.89,3.75,12,12,498.43,144.20,18.04,3.16,1.30,0.30,50.00
2026/05/12T00:15:51z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,16,41,1018.37,4.92,26248,0,340,1.69,2.14,3.14,1.69,2.14,3.14,9,9,439.91,127.26,14.47,2.98,1.55,0.69,1.17,2.47,3.61,1.17,2.47,3.61,10,10,466.58,126.95,16.63,4.31,1.83,0.17,50.00
2026/05/12T00:17:51z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,16,42,1018.28,4.92,26248,0,460,1.82,2.88,4.48,1.82,2.88,4.48,12,12,503.41,142.16,16.71,4.20,2.30,1.29,1.71,3.08,3.83,1.71,3.08,3.83,13,13,518.75,150.71,17.81,3.88,1.02,0.00,50.00
