UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/04T00:01:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,43,1009.60,4.84,26248,0,340,6.82,8.39,8.98,6.82,8.39,8.98,35,35,1382.58,361.21,43.19,3.74,0.77,0.51,5.35,6.78,7.13,5.35,6.78,7.13,28,28,1031.30,302.97,34.08,1.63,0.47,0.25,50.00
2026/05/04T00:03:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,43,1009.59,4.84,26248,0,460,6.75,8.38,10.33,6.75,8.38,10.33,35,35,1262.67,354.95,39.04,6.24,3.02,1.27,4.76,5.85,6.27,4.76,5.85,6.27,24,24,949.12,271.29,33.63,1.51,0.39,0.10,50.00
2026/05/04T00:05:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1009.54,4.84,26248,0,580,6.31,7.78,8.59,6.31,7.78,8.59,32,32,1248.81,359.75,27.90,3.66,1.31,0.29,5.41,6.66,7.02,5.41,6.66,7.02,28,28,991.24,287.93,32.69,1.64,0.50,0.19,50.00
2026/05/04T00:07:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,44,1009.53,4.84,26248,0,700,7.16,8.12,9.09,7.16,8.12,9.09,34,34,1425.68,393.09,25.05,2.82,1.11,0.88,5.54,7.23,8.12,5.54,7.23,8.12,30,30,1056.53,312.53,33.95,3.35,1.32,0.88,50.00
2026/05/04T00:09:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,43,1009.54,4.84,26248,0,820,6.19,7.57,8.26,6.19,7.57,8.26,32,32,1381.50,344.22,38.21,1.78,1.03,0.34,5.79,7.07,8.48,5.79,7.07,8.48,29,29,1084.40,320.02,35.69,2.86,1.88,1.17,50.00
2026/05/04T00:11:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,44,1009.53,4.84,26248,0,940,6.16,7.88,8.48,6.16,7.88,8.48,33,33,1534.55,347.47,42.52,4.48,0.78,0.34,5.73,7.03,7.93,5.73,7.03,7.93,29,29,1125.25,329.65,37.38,2.65,1.18,0.83,50.00
2026/05/04T00:13:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,43,1009.52,4.84,26248,0,1060,5.90,7.54,7.86,5.90,7.54,7.86,31,31,1309.98,330.22,32.19,3.00,0.42,0.00,5.38,6.40,7.50,5.38,6.40,7.50,27,27,1029.52,298.12,34.90,1.60,1.40,0.71,50.00
2026/05/04T00:15:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,18,44,1009.46,4.84,26248,0,1180,5.42,6.70,7.47,5.42,6.70,7.47,28,28,1328.63,312.02,32.93,3.28,1.16,0.23,6.14,7.82,8.59,6.14,7.82,8.59,33,33,1121.52,337.39,43.80,2.14,1.14,0.62,50.00
2026/05/04T00:17:12z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,43,1009.44,nan,26336,0,100,5.56,6.87,6.87,5.56,6.87,6.87,29,29,1387.33,296.98,29.47,2.16,0.00,0.00,5.77,7.19,7.88,5.77,7.19,7.88,30,30,1034.58,311.44,33.86,3.84,0.77,0.56,nan
2026/05/04T00:19:12z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,43,1009.43,4.84,26248,0,220,4.93,6.59,7.49,4.93,6.59,7.49,27,27,1385.29,269.00,38.56,3.81,1.36,0.39,5.45,6.91,7.61,5.45,6.91,7.61,29,29,1037.09,298.23,31.91,2.41,1.02,0.77,50.00
