UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/01T00:00:51z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1016.32,4.88,26248,0,820,5.22,6.47,7.93,5.22,6.47,7.93,27,27,1074.57,311.02,21.95,4.66,2.88,0.43,4.76,6.00,8.53,4.76,6.00,8.53,25,25,1127.90,285.42,29.97,5.29,3.41,3.03,50.00
2026/05/01T00:02:51z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,20,44,1016.28,4.88,26248,0,940,5.04,5.96,6.79,5.04,5.96,6.79,25,25,1048.71,296.82,21.88,2.70,1.57,0.00,4.61,5.85,6.90,4.61,5.85,6.90,24,24,1083.15,274.66,32.85,2.97,1.56,0.63,50.00
2026/05/01T00:04:51z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,45,1016.27,4.88,26248,0,1060,5.47,6.83,7.68,5.47,6.83,7.68,28,28,1070.59,308.61,26.53,2.58,1.76,0.63,4.35,5.28,7.00,4.35,5.28,7.00,22,22,969.42,255.95,36.40,4.18,1.44,0.75,50.00
2026/05/01T00:06:51z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,20,44,1016.29,4.88,26248,0,1180,5.19,6.40,6.93,5.19,6.40,6.93,27,27,1043.64,297.69,27.12,1.45,0.74,0.00,4.73,6.62,8.05,4.73,6.62,8.05,28,28,1183.45,298.70,38.32,3.95,1.93,1.70,50.00
2026/05/01T00:08:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,21,45,1016.30,nan,26336,0,100,4.80,6.22,7.52,4.80,6.22,7.52,26,26,1035.65,300.07,25.87,3.43,2.39,0.50,4.84,6.37,6.65,4.84,6.37,6.65,27,27,1103.30,284.74,28.81,1.33,0.63,0.30,nan
2026/05/01T00:10:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1016.28,4.88,26248,0,220,4.80,6.33,7.35,4.80,6.33,7.35,26,26,1047.20,294.90,27.83,3.77,1.80,0.55,4.83,6.14,7.64,4.83,6.14,7.64,26,26,980.17,266.86,33.45,5.07,1.26,0.91,50.00
2026/05/01T00:12:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,45,1016.24,4.88,26248,0,340,5.11,6.29,7.79,5.11,6.29,7.79,26,26,1029.70,294.36,23.89,4.45,2.39,0.46,5.28,6.57,7.50,5.28,6.57,7.50,27,27,1094.48,287.38,36.07,2.74,0.93,0.84,50.00
2026/05/01T00:14:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1016.23,4.88,26248,0,460,5.16,6.25,7.60,5.16,6.25,7.60,26,26,1022.16,295.46,25.86,2.75,1.98,0.61,4.46,5.95,7.44,4.46,5.95,7.44,25,25,1023.41,278.85,33.98,2.92,2.19,1.10,50.00
2026/05/01T00:16:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1016.22,4.88,26248,0,580,5.08,6.12,7.14,5.08,6.12,7.14,25,25,1053.66,299.51,18.56,3.68,1.86,0.47,4.60,5.84,6.65,4.60,5.84,6.65,24,24,1032.79,278.61,33.35,1.81,1.09,1.09,50.00
2026/05/01T00:18:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,44,1016.18,4.88,26248,0,700,4.56,5.59,6.93,4.56,5.59,6.93,23,23,1001.14,287.27,21.95,3.58,2.36,0.00,4.48,5.61,6.30,4.48,5.61,6.30,23,23,1014.16,263.96,28.02,2.68,0.91,0.68,50.00
2026/05/01T00:20:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1016.19,4.88,26248,0,820,4.79,5.97,7.07,4.79,5.97,7.07,25,25,957.41,273.02,23.76,3.55,1.69,0.22,3.90,5.05,5.64,3.90,5.05,5.64,21,21,950.79,248.40,30.38,1.83,0.78,0.59,50.00
2026/05/01T00:22:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1016.15,4.88,26248,0,940,4.23,5.12,6.21,4.23,5.12,6.21,21,21,928.66,261.66,19.79,2.54,1.93,0.20,4.08,5.25,5.58,4.08,5.25,5.58,22,22,978.61,250.63,28.41,2.03,0.37,0.00,50.00
2026/05/01T00:24:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1016.12,4.88,26248,0,1060,4.68,5.36,7.02,4.68,5.36,7.02,22,22,959.19,272.75,25.08,3.44,2.78,1.12,4.41,5.51,7.14,4.41,5.51,7.14,23,23,980.44,261.68,27.86,4.47,1.93,1.46,50.00
2026/05/01T00:26:32z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1016.09,4.88,26248,0,1180,5.14,5.83,6.90,5.14,5.83,6.90,24,24,1009.47,286.44,24.86,3.05,1.69,0.63,4.16,5.81,6.72,4.16,5.81,6.72,24,24,1065.74,272.21,31.35,2.96,1.21,1.11,50.00
2026/05/01T00:28:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,20,43,1016.10,nan,26336,0,100,5.07,6.36,6.93,5.07,6.36,6.93,26,26,1006.20,296.62,19.67,2.53,1.07,0.56,4.55,6.16,7.14,4.55,6.16,7.14,26,26,1212.14,302.23,34.20,4.20,0.48,0.02,nan
2026/05/01T00:30:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1016.05,4.88,26248,0,220,4.98,6.34,7.12,4.98,6.34,7.12,26,26,997.58,292.15,23.56,3.22,1.36,0.24,4.25,5.77,6.96,4.25,5.77,6.96,24,24,990.38,264.52,36.32,2.66,1.29,1.11,50.00
2026/05/01T00:32:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,20,44,1016.02,4.88,26248,0,340,5.22,6.14,6.95,5.22,6.14,6.95,26,26,964.29,287.95,23.50,2.41,1.47,0.55,4.48,5.76,6.34,4.48,5.76,6.34,24,24,1069.50,264.12,32.02,2.45,0.76,0.76,50.00
2026/05/01T00:34:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1016.00,4.88,26248,0,460,4.40,5.38,5.72,4.40,5.38,5.72,22,22,929.22,270.10,21.00,1.71,0.74,0.05,4.27,5.58,6.24,4.27,5.58,6.24,23,23,957.56,255.59,25.34,2.14,0.76,0.76,50.00
2026/05/01T00:36:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,44,1015.97,4.88,26248,0,580,4.98,6.03,7.19,4.98,6.03,7.19,25,25,1008.72,292.83,26.71,3.19,1.86,0.36,4.88,5.56,6.63,4.88,5.56,6.63,23,23,1015.05,262.53,26.19,1.82,1.28,1.02,50.00
2026/05/01T00:38:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,20,44,1015.98,4.88,26248,0,700,4.98,6.17,6.49,4.98,6.17,6.49,26,26,1063.37,304.88,22.37,2.36,0.61,0.00,4.64,5.70,7.41,4.64,5.70,7.41,24,24,1035.43,271.16,31.20,3.25,2.16,1.73,50.00
2026/05/01T00:40:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,20,43,1016.00,4.88,26248,0,820,5.72,7.00,7.77,5.72,7.00,7.77,29,29,1110.32,318.72,25.68,3.68,1.37,0.23,5.53,6.59,7.78,5.53,6.59,7.78,27,27,1148.53,302.22,34.24,2.78,1.45,1.21,50.00
2026/05/01T00:42:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,20,43,1016.01,4.88,26248,0,940,4.71,5.70,7.11,4.71,5.70,7.11,24,24,1004.46,288.46,25.36,4.12,2.46,0.21,4.24,5.57,6.72,4.24,5.57,6.72,23,23,939.52,246.95,31.09,2.45,1.57,0.95,50.00
2026/05/01T00:44:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,20,42,1016.01,4.88,26248,0,1060,4.36,5.54,6.78,4.36,5.54,6.78,23,23,981.15,278.32,21.32,4.05,2.03,0.59,4.62,5.60,6.26,4.62,5.60,6.26,23,23,970.40,255.10,23.78,1.97,1.10,0.66,50.00
2026/05/01T00:46:13z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,21,42,1015.98,4.88,26248,0,1180,4.97,6.07,7.41,4.97,6.07,7.41,25,25,994.03,284.97,27.43,3.60,2.36,0.29,4.56,6.07,8.04,4.56,6.07,8.04,25,25,1024.63,275.79,33.47,5.88,1.61,1.39,50.00
2026/05/01T00:47:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,21,43,1015.96,nan,26336,0,100,4.83,5.72,6.94,4.83,5.72,6.94,24,24,992.74,279.55,22.87,2.19,1.60,0.64,4.40,6.23,7.30,4.40,6.23,7.30,26,26,1001.72,256.28,34.37,3.67,1.26,1.26,nan
2026/05/01T00:49:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,21,44,1015.93,4.88,26248,0,220,4.50,5.97,7.16,4.50,5.97,7.16,25,25,973.45,284.16,25.60,4.40,2.05,0.21,3.98,5.54,6.00,3.98,5.54,6.00,23,23,965.74,252.63,35.95,3.53,0.81,0.81,50.00
2026/05/01T00:51:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,21,44,1015.90,4.88,26248,0,340,4.88,6.48,7.43,4.88,6.48,7.43,27,27,981.43,290.25,26.64,4.54,1.48,0.62,4.54,5.83,6.12,4.54,5.83,6.12,24,24,983.19,257.05,29.95,1.88,0.37,0.37,50.00
2026/05/01T00:53:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,21,44,1015.90,4.88,26248,0,460,5.00,5.89,6.88,5.00,5.89,6.88,25,25,967.68,279.65,30.05,2.77,1.88,0.09,4.51,5.85,6.34,4.51,5.85,6.34,24,24,986.24,261.03,29.88,1.71,0.81,0.64,50.00
2026/05/01T00:55:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,22,43,1015.89,4.88,26248,0,580,5.12,5.98,7.02,5.12,5.98,7.02,25,25,1024.05,296.67,20.80,2.77,1.83,0.25,4.04,5.74,7.39,4.04,5.74,7.39,24,24,915.74,242.32,32.12,4.42,2.33,1.70,50.00
2026/05/01T00:57:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,22,43,1015.87,4.88,26248,0,700,5.05,6.17,6.86,5.05,6.17,6.86,26,26,1009.68,299.32,22.53,2.73,1.37,0.20,4.37,5.79,7.35,4.37,5.79,7.35,24,24,997.16,269.89,33.74,4.82,2.14,1.49,50.00
2026/05/01T00:59:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,23,44,1015.87,4.88,26248,0,820,5.12,6.40,7.32,5.12,6.40,7.32,27,27,1043.68,298.98,26.82,2.70,1.82,0.39,4.37,5.81,6.15,4.37,5.81,6.15,24,24,932.54,257.19,29.85,2.10,0.47,0.47,50.00
2026/05/01T01:01:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,24,44,1015.89,4.88,26248,0,940,5.30,6.23,7.64,5.30,6.23,7.64,26,26,1020.32,292.02,26.32,3.77,2.32,0.30,5.03,6.07,6.88,5.03,6.07,6.88,25,25,1063.75,284.75,28.10,2.25,1.00,0.77,50.00
2026/05/01T01:03:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,25,44,1015.89,4.88,26248,0,1060,5.20,6.44,7.58,5.20,6.44,7.58,27,27,1060.32,302.98,23.80,3.22,2.07,0.37,5.09,6.21,6.72,5.09,6.21,6.72,26,26,1056.47,281.14,29.53,1.53,0.62,0.53,50.00
2026/05/01T01:05:53z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,25,44,1015.88,4.88,26248,0,1180,5.83,6.86,7.69,5.83,6.86,7.69,29,29,1133.69,325.28,22.64,2.84,1.21,0.33,5.52,6.79,7.46,5.52,6.79,7.46,28,28,1218.54,336.02,34.12,1.79,0.96,0.66,50.00
2026/05/01T01:07:34z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,26,44,1015.89,nan,26336,0,100,5.29,6.22,6.91,5.29,6.22,6.91,26,26,1064.47,301.31,20.76,2.36,1.02,0.29,4.91,6.40,7.09,4.91,6.40,7.09,27,27,1098.91,275.26,35.91,1.84,0.86,0.86,nan
2026/05/01T01:09:34z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,27,44,1015.87,4.88,26248,0,220,5.38,6.60,7.50,5.38,6.60,7.50,28,28,1063.29,307.31,22.78,3.10,1.74,0.00,5.23,6.75,7.18,5.23,6.75,7.18,28,28,1085.25,287.96,37.20,2.23,0.64,0.64,50.00
2026/05/01T01:11:34z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,27,45,1015.84,4.88,26248,0,340,6.02,6.98,7.68,6.02,6.98,7.68,29,29,1145.37,327.14,25.56,1.86,1.23,0.00,5.17,6.73,7.39,5.17,6.73,7.39,28,28,1076.95,295.41,33.68,3.07,1.03,0.63,50.00
