UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/07T00:00:13z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,42,45,1020.87,4.91,26248,0,700,2.46,3.27,4.25,2.46,3.27,4.25,14,14,548.75,161.24,20.93,2.39,1.27,0.85,2.91,4.39,5.93,2.91,4.39,5.93,18,18,612.84,183.05,33.23,3.53,2.60,0.42,50.00
2026/05/07T00:02:13z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,43,43,1020.83,4.91,26248,0,820,2.29,3.90,4.55,2.29,3.90,4.55,16,16,555.78,160.22,25.09,3.93,0.69,0.26,2.43,3.76,4.83,2.43,3.76,4.83,16,16,576.98,163.12,28.29,3.84,1.88,0.48,50.00
2026/05/07T00:04:13z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,43,44,1020.82,4.91,26248,0,940,2.00,2.95,3.27,2.00,2.95,3.27,12,12,505.34,143.07,20.43,1.64,0.36,0.11,2.47,3.90,4.37,2.47,3.90,4.37,16,16,567.71,161.76,25.76,2.92,0.98,0.32,50.00
2026/05/07T00:06:13z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,43,44,1020.83,4.91,26248,0,1060,2.25,3.42,4.14,2.25,3.42,4.14,14,14,603.31,172.03,21.42,1.83,0.90,0.19,2.31,3.95,5.43,2.31,3.95,5.43,16,16,576.26,165.90,25.05,5.10,2.26,0.79,50.00
2026/05/07T00:08:13z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,44,44,1020.84,4.91,26248,0,1180,2.37,3.20,4.27,2.37,3.20,4.27,13,13,538.42,157.34,25.36,1.85,1.31,0.17,2.38,3.57,4.98,2.38,3.57,4.98,15,15,572.09,163.30,25.27,3.73,2.20,0.39,50.00
2026/05/07T00:09:53z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,44,45,1020.85,nan,26336,0,100,2.52,3.78,4.67,2.52,3.78,4.67,16,16,581.87,168.48,25.02,3.11,1.65,0.00,2.36,3.43,3.60,2.36,3.43,3.60,14,14,551.86,155.10,21.02,2.24,0.29,0.00,nan
2026/05/07T00:11:53z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,43,45,1020.84,4.91,26248,0,220,2.46,3.85,5.12,2.46,3.85,5.12,16,16,578.44,162.98,26.63,4.58,2.20,0.56,2.07,3.65,5.61,2.07,3.65,5.61,15,15,561.68,157.05,29.65,5.09,3.02,1.09,50.00
2026/05/07T00:13:53z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,43,44,1020.82,4.91,26248,0,340,2.41,3.28,4.84,2.41,3.28,4.84,14,14,541.45,155.41,23.55,4.71,2.66,0.53,2.41,3.34,4.26,2.41,3.34,4.26,14,14,537.67,153.76,23.31,2.74,1.43,0.48,50.00
2026/05/07T00:15:53z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,42,45,1020.80,4.91,26248,0,460,1.88,2.98,4.30,1.88,2.98,4.30,12,12,499.07,143.09,20.82,4.43,2.05,0.30,2.37,3.56,4.58,2.37,3.56,4.58,15,15,540.15,158.39,24.76,3.00,1.51,0.41,50.00
2026/05/07T00:17:53z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,42,45,1020.77,4.91,26248,0,580,2.10,3.51,4.03,2.10,3.51,4.03,15,15,529.17,150.37,23.22,2.97,1.27,0.08,2.26,3.00,3.28,2.26,3.00,3.28,13,13,544.40,151.24,21.36,1.57,0.50,0.00,50.00
2026/05/07T00:19:53z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,41,44,1020.83,4.91,26248,0,700,2.02,3.17,4.07,2.02,3.17,4.07,13,13,506.80,144.85,20.42,2.95,1.48,0.77,2.46,3.77,4.89,2.46,3.77,4.89,16,16,567.27,162.84,25.27,2.88,1.82,0.20,50.00
