UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/18T00:00:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,16,35,1024.83,4.91,26280,0,580,0.34,0.91,1.03,0.34,0.91,1.03,4,4,244.55,66.93,7.47,0.95,0.28,0.19,0.49,0.54,0.63,0.49,0.54,0.63,2,2,240.00,68.93,4.40,0.47,0.26,0.00,80.20
2026/05/18T00:02:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,16,35,1024.82,4.91,26280,0,700,0.61,1.02,1.61,0.61,1.02,1.61,4,4,252.71,75.05,8.27,1.64,0.95,0.00,0.18,0.45,0.64,0.18,0.45,0.64,2,2,212.84,56.86,4.96,0.70,0.20,0.00,80.54
2026/05/18T00:04:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,37,1024.80,4.91,26280,0,820,0.38,0.71,0.71,0.38,0.71,0.71,3,3,267.36,74.16,5.78,0.57,0.17,0.00,0.36,0.75,1.76,0.36,0.75,1.76,3,3,246.10,69.25,9.56,2.97,1.46,0.69,82.46
2026/05/18T00:06:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,15,36,1024.79,4.91,26280,0,940,0.58,0.88,1.32,0.58,0.88,1.32,4,4,278.68,75.65,10.40,1.53,1.04,0.19,0.14,0.59,0.90,0.14,0.59,0.90,2,2,231.72,64.36,6.79,1.34,0.60,0.19,82.40
2026/05/18T00:08:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,15,36,1024.77,4.91,26280,0,1060,0.51,0.68,0.78,0.51,0.68,0.78,3,3,264.46,69.36,6.66,0.59,0.15,0.00,0.28,0.78,0.91,0.28,0.78,0.91,3,3,258.52,73.81,8.26,0.60,0.36,0.17,77.86
2026/05/18T00:10:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,15,35,1024.75,4.91,26280,0,1180,0.83,1.08,1.31,0.83,1.08,1.31,5,5,295.22,83.20,6.49,0.93,0.41,0.19,0.79,0.98,1.34,0.79,0.98,1.34,4,4,278.20,80.88,10.05,0.82,0.45,0.43,77.58
2026/05/18T00:12:07z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,15,36,1024.73,nan,26432,0,100,0.48,0.67,0.91,0.48,0.67,0.91,3,3,298.70,81.98,9.37,0.93,0.33,0.00,0.67,1.16,1.40,0.67,1.16,1.40,5,5,272.30,78.67,9.98,1.42,0.60,0.00,nan
2026/05/18T00:14:07z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,15,36,1024.69,4.91,26344,0,220,0.50,0.93,1.02,0.50,0.93,1.02,4,4,253.29,70.74,7.72,1.12,0.24,0.00,0.32,0.73,1.12,0.32,0.73,1.12,3,3,247.07,71.64,7.70,2.29,0.62,0.21,77.79
2026/05/18T00:16:07z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,15,34,1024.68,4.91,26280,0,340,0.61,0.74,0.88,0.61,0.74,0.88,3,3,282.68,79.60,5.30,0.67,0.30,0.00,0.29,0.80,1.12,0.29,0.80,1.12,3,3,239.59,66.71,6.53,1.71,0.42,0.24,78.17
2026/05/18T00:18:07z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,16,34,1024.71,4.91,26280,0,460,0.12,0.38,0.71,0.12,0.38,0.71,2,2,219.21,60.16,7.05,1.62,0.64,0.20,0.07,0.19,0.28,0.07,0.19,0.28,1,1,179.17,52.02,6.33,0.60,0.17,0.00,81.21
