UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/18T00:00:50z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,19,36,1025.23,4.94,26248,0,580,0.45,0.86,1.67,0.45,0.86,1.67,4,4,256.29,72.91,8.45,1.24,0.83,0.83,0.08,0.44,0.98,0.08,0.44,0.98,2,2,215.03,61.58,5.17,1.17,0.85,0.46,77.96
2026/05/18T00:02:50z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,37,1025.19,4.94,26248,0,700,0.46,0.86,1.08,0.46,0.86,1.08,4,4,271.63,72.51,8.92,0.37,0.37,0.37,0.04,0.55,1.09,0.04,0.55,1.09,2,2,243.98,63.42,4.53,1.60,0.82,0.82,78.02
2026/05/18T00:04:50z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,37,1025.21,4.94,26248,0,820,0.19,0.44,0.46,0.19,0.44,0.46,2,2,221.32,61.00,4.46,0.44,0.19,0.19,0.17,0.36,0.36,0.17,0.36,0.36,2,2,240.00,63.31,4.90,0.16,0.07,0.07,80.05
2026/05/18T00:06:50z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,37,1025.19,4.94,26248,0,940,0.45,0.82,1.32,0.45,0.82,1.32,3,3,273.54,72.27,8.80,0.91,0.70,0.41,0.19,0.66,1.03,0.19,0.66,1.03,3,3,268.73,71.47,6.59,1.25,0.64,0.46,80.62
2026/05/18T00:08:50z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,37,1025.15,4.94,26248,0,1060,0.61,0.63,0.70,0.61,0.63,0.70,3,3,288.74,80.30,4.81,0.81,0.37,0.25,0.22,0.47,0.88,0.22,0.47,0.88,2,2,240.62,67.45,5.52,0.62,0.62,0.21,76.53
2026/05/18T00:10:50z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,37,1025.13,4.94,26248,0,1180,0.93,1.19,2.34,0.93,1.19,2.34,5,5,318.86,87.49,8.97,2.36,1.53,1.36,0.54,0.64,1.48,0.54,0.64,1.48,3,3,263.57,71.61,6.39,1.54,1.14,0.71,76.64
2026/05/18T00:12:30z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,37,1025.10,nan,26336,0,100,0.50,0.72,0.76,0.50,0.72,0.76,3,3,265.04,72.87,4.76,0.70,0.39,0.39,0.14,0.45,0.55,0.14,0.45,0.55,2,2,218.86,59.71,3.62,1.05,0.07,0.00,nan
2026/05/18T00:14:30z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,37,1025.07,4.94,26248,0,220,0.44,0.73,1.03,0.44,0.73,1.03,3,3,240.56,69.05,7.00,1.05,0.51,0.00,0.49,0.84,0.96,0.49,0.84,0.96,3,3,266.84,65.58,5.04,0.64,0.15,0.00,76.29
2026/05/18T00:16:30z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,37,1025.09,4.94,26248,0,340,0.37,1.00,1.40,0.37,1.00,1.40,4,4,260.74,72.04,8.79,1.49,0.46,0.46,0.17,0.57,0.69,0.17,0.57,0.69,2,2,237.57,62.40,6.07,0.55,0.00,0.00,77.21
2026/05/18T00:18:30z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1025.08,4.94,26248,0,460,0.11,0.59,0.88,0.11,0.59,0.88,2,2,251.84,67.02,8.68,1.39,0.66,0.18,0.00,0.08,0.32,0.00,0.08,0.32,0,0,192.76,53.66,3.69,0.83,0.41,0.00,77.20
