UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/13T22:15:27z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,49,49,1016.91,nan,28128,0,99,1.55,3.43,4.27,1.55,3.43,4.27,14,14,472.30,132.98,23.02,6.70,0.93,0.61,1.07,2.58,3.58,1.07,2.58,3.58,11,11,417.91,114.67,17.86,5.93,1.26,0.81,nan
2026/05/13T22:17:27z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,49,45,1017.05,4.85,25624,0,219,1.48,2.09,4.36,1.48,2.09,4.36,9,9,471.26,132.60,18.22,5.02,2.12,1.57,0.67,2.46,3.86,0.67,2.46,3.86,10,10,405.74,116.88,24.98,7.44,1.28,1.07,50.00
2026/05/13T22:19:27z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,50,46,1017.03,4.85,26248,0,339,1.89,3.26,4.47,1.89,3.26,4.47,14,14,518.11,149.44,18.98,3.51,1.75,1.32,1.80,3.19,5.10,1.80,3.19,5.10,13,13,525.66,148.15,24.03,6.22,2.08,1.92,50.00
2026/05/13T22:21:58z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,51,46,1016.96,4.85,22664,-52,494,1.46,2.36,3.80,1.46,2.36,3.80,10,10,445.22,123.41,18.74,3.66,1.85,1.69,0.84,1.51,2.19,0.84,1.51,2.19,6,6,441.89,123.03,14.19,2.38,0.99,0.72,50.00
2026/05/13T22:23:40z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,53,47,1017.06,nan,25552,-74,100,1.29,2.24,3.96,1.29,2.24,3.96,9,9,428.93,125.11,18.02,4.47,2.49,1.76,1.24,2.02,3.36,1.24,2.02,3.36,8,8,423.14,117.88,17.57,3.24,1.95,1.19,nan
2026/05/13T22:26:53z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,50,47,1017.08,nan,26704,-92,136,1.11,2.57,4.49,1.11,2.57,4.49,11,11,488.03,139.29,19.78,6.47,2.43,2.16,1.17,2.21,2.88,1.17,2.21,2.88,9,9,489.64,134.26,19.26,2.10,0.64,0.64,nan
2026/05/13T22:28:53z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,48,46,1017.08,4.84,8816,-91,256,1.62,2.92,5.80,1.62,2.92,5.80,12,12,566.80,165.17,25.83,6.90,2.92,2.07,1.52,3.12,4.93,1.52,3.12,4.93,13,13,483.21,134.46,21.86,6.96,2.05,1.75,50.00
2026/05/13T22:30:53z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,49,44,1017.14,4.84,8816,-91,376,1.95,3.43,5.77,1.95,3.43,5.77,14,14,532.45,152.25,25.68,5.86,3.38,2.27,1.85,2.73,4.68,1.85,2.73,4.68,11,11,516.41,137.59,22.83,4.71,2.44,1.15,50.00
2026/05/13T22:32:53z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,50,45,1017.17,4.84,8432,-89,496,1.78,2.71,4.05,1.78,2.71,4.05,11,11,515.33,141.74,20.38,2.91,1.98,0.72,1.75,2.78,3.85,1.75,2.78,3.85,12,12,480.66,133.27,18.49,3.56,1.41,1.10,50.00
2026/05/13T22:34:53z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,50,45,1017.22,4.84,6680,-90,616,1.77,2.66,4.07,1.77,2.66,4.07,11,11,483.34,136.56,20.44,3.38,1.98,0.79,1.71,2.43,3.55,1.71,2.43,3.55,10,10,464.62,131.54,17.57,2.98,1.38,0.59,50.00
