UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/13T22:16:21z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,55,51,1016.55,nan,28128,0,99,1.20,2.33,6.20,1.20,2.33,6.20,10,10,382.40,107.09,19.62,6.96,5.02,1.20,1.33,3.44,4.07,1.33,3.44,4.07,14,14,399.49,113.07,25.23,5.84,0.67,0.28,nan
2026/05/13T22:18:17z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,55,49,1016.60,4.87,22184,-56,225,1.05,2.41,5.34,1.05,2.41,5.34,10,10,420.92,113.61,19.68,7.71,4.19,1.47,1.34,3.00,4.16,1.34,3.00,4.16,13,13,447.05,128.16,26.16,6.10,1.79,0.64,50.00
2026/05/13T22:19:59z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,55,50,1016.60,nan,24952,-55,100,1.59,2.74,3.91,1.59,2.74,3.91,11,11,431.61,122.52,19.93,4.41,1.74,0.65,0.93,1.79,3.49,0.93,1.79,3.49,7,7,444.84,123.95,15.98,4.26,2.47,2.00,nan
2026/05/13T22:21:59z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,51,49,1016.60,4.87,7560,-58,220,1.19,2.49,2.90,1.19,2.49,2.90,10,10,348.97,100.97,17.07,3.53,0.69,0.22,0.95,1.91,2.88,0.95,1.91,2.88,8,8,385.12,112.39,16.55,3.41,1.30,1.05,50.00
2026/05/13T22:23:59z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,49,48,1016.64,4.87,7560,-71,340,1.67,2.74,4.72,1.67,2.74,4.72,11,11,474.84,131.16,19.88,5.16,2.47,1.28,1.36,2.36,3.27,1.36,2.36,3.27,10,10,403.27,121.39,17.51,3.02,1.29,1.08,50.00
2026/05/13T22:26:55z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,49,49,1016.66,nan,26704,-92,136,1.15,1.85,4.44,1.15,1.85,4.44,8,8,377.97,109.69,16.55,5.48,4.17,0.63,0.36,1.21,2.33,0.36,1.21,2.33,5,5,376.07,105.50,11.36,3.31,1.43,0.69,nan
2026/05/13T22:28:55z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,48,48,1016.63,4.87,27352,-92,256,1.75,2.93,5.90,1.75,2.93,5.90,12,12,477.20,134.47,24.48,7.07,4.47,1.52,1.86,3.58,4.84,1.86,3.58,4.84,15,15,493.11,140.23,22.74,6.88,1.65,0.98,50.00
2026/05/13T22:30:55z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1016.67,4.87,27264,-92,376,1.46,2.84,4.14,1.46,2.84,4.14,12,12,424.26,118.04,22.30,4.70,1.91,0.88,1.48,2.52,4.95,1.48,2.52,4.95,10,10,437.07,119.55,17.03,6.34,3.40,2.12,50.00
2026/05/13T22:32:55z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,48,47,1016.70,4.87,25704,-92,496,1.12,1.64,2.30,1.12,1.64,2.30,7,7,361.55,100.29,12.86,2.11,0.86,0.68,1.34,2.31,3.87,1.34,2.31,3.87,10,10,406.72,117.26,15.18,4.30,1.85,1.64,50.00
2026/05/13T22:34:55z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,48,46,1016.74,4.87,25704,-92,616,1.34,2.05,3.79,1.34,2.05,3.79,9,9,413.33,113.71,14.52,4.03,2.62,0.98,1.04,1.84,2.29,1.04,1.84,2.29,8,8,397.02,115.11,12.21,1.98,0.57,0.20,50.00
