UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/15T00:01:29z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,35,38,1020.11,4.85,26248,0,820,1.76,3.12,4.10,1.76,3.12,4.10,13,13,500.85,134.78,26.08,3.63,1.59,0.12,1.78,2.53,3.81,1.78,2.53,3.81,11,11,439.34,128.83,20.09,3.09,2.00,0.62,50.00
2026/05/15T00:03:29z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,36,38,1020.13,4.85,26248,0,940,1.79,3.00,4.11,1.79,3.00,4.11,13,13,629.09,145.20,19.50,4.66,1.79,0.84,1.81,3.07,4.92,1.81,3.07,4.92,13,13,495.10,140.51,22.53,4.66,2.64,0.66,50.00
2026/05/15T00:05:29z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,38,38,1020.22,4.85,26248,0,1060,1.62,2.91,4.07,1.62,2.91,4.07,12,12,542.59,126.38,22.81,4.50,1.67,0.47,1.60,2.72,4.19,1.60,2.72,4.19,11,11,466.71,132.21,20.71,3.71,2.14,0.60,50.00
2026/05/15T00:07:29z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,39,38,1020.17,4.85,26248,0,1180,1.95,2.75,3.38,1.95,2.75,3.38,11,11,545.80,128.55,19.63,2.27,0.95,0.45,1.44,2.30,4.18,1.44,2.30,4.18,10,10,403.74,114.54,17.26,5.11,2.75,0.61,50.00
2026/05/15T00:09:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,40,40,1020.17,nan,26336,0,100,1.43,2.37,3.50,1.43,2.37,3.50,10,10,501.13,126.13,19.26,2.91,1.89,0.00,1.21,2.07,2.93,1.21,2.07,2.93,9,9,383.65,110.86,16.74,2.72,1.12,0.26,nan
2026/05/15T00:11:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,39,39,1020.25,4.85,26248,0,220,1.85,3.00,3.69,1.85,3.00,3.69,13,13,527.29,144.00,23.36,3.15,1.25,0.20,2.09,3.32,3.91,2.09,3.32,3.91,14,14,506.63,148.49,23.16,3.33,0.63,0.42,50.00
2026/05/15T00:13:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,39,39,1020.11,4.85,26248,0,340,1.43,2.88,3.21,1.43,2.88,3.21,12,12,514.45,125.98,25.81,3.60,0.52,0.19,1.76,2.56,3.25,1.76,2.56,3.25,11,11,443.29,129.39,15.73,1.75,0.88,0.46,50.00
2026/05/15T00:15:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,39,39,1020.08,4.85,26248,0,460,2.04,2.77,3.62,2.04,2.77,3.62,12,12,541.88,140.62,16.70,1.96,1.11,0.54,1.75,2.59,3.68,1.75,2.59,3.68,11,11,474.36,136.59,16.12,2.32,1.54,0.47,50.00
2026/05/15T00:17:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,39,39,1020.03,4.85,26248,0,580,1.69,2.81,3.43,1.69,2.81,3.43,12,12,539.69,137.72,22.03,1.21,0.69,0.47,1.45,1.97,2.12,1.45,1.97,2.12,8,8,423.52,115.83,12.48,0.76,0.09,0.00,50.00
2026/05/15T00:19:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,39,39,1020.07,4.85,25624,0,700,1.38,2.08,2.28,1.38,2.08,2.28,9,9,482.45,122.97,10.72,1.45,0.38,0.00,1.46,2.82,3.07,1.46,2.82,3.07,12,12,436.07,123.70,18.89,3.02,0.20,0.00,50.00
2026/05/15T00:21:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,40,39,1020.07,4.85,26248,0,820,2.05,2.70,3.11,2.05,2.70,3.11,11,11,525.00,137.14,18.39,1.42,0.49,0.49,1.95,3.33,4.41,1.95,3.33,4.41,14,14,495.93,141.28,23.52,3.28,1.38,0.88,50.00
2026/05/15T00:23:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,40,38,1020.09,4.85,26248,0,940,1.84,2.34,3.29,1.84,2.34,3.29,10,10,502.60,128.74,18.12,1.93,1.29,0.24,1.80,2.63,3.36,1.80,2.63,3.36,11,11,457.12,133.97,18.71,1.42,1.19,0.42,50.00
2026/05/15T00:25:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,40,39,1020.04,4.85,26248,0,1060,1.67,2.53,3.39,1.67,2.53,3.39,11,11,491.74,127.19,19.00,2.02,1.12,0.72,1.20,2.37,2.76,1.20,2.37,2.76,10,10,424.12,117.34,18.85,2.08,0.64,0.00,50.00
2026/05/15T00:27:10z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,41,39,1020.04,4.85,26248,0,1180,1.39,2.27,2.63,1.39,2.27,2.63,9,9,537.56,122.97,17.78,1.46,0.51,0.34,1.37,2.42,3.47,1.37,2.42,3.47,10,10,406.32,120.93,16.79,2.12,1.39,0.26,50.00
2026/05/15T00:28:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,41,40,1020.07,nan,26336,0,100,1.73,2.80,3.76,1.73,2.80,3.76,12,12,545.27,132.47,18.73,2.36,1.49,0.38,1.47,2.81,3.21,1.47,2.81,3.21,12,12,430.40,121.44,22.58,2.53,0.42,0.00,nan
2026/05/15T00:30:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,41,40,1020.05,4.85,26248,0,220,1.81,2.75,3.12,1.81,2.75,3.12,11,11,495.71,132.80,15.14,2.76,0.71,0.46,1.40,2.32,4.18,1.40,2.32,4.18,10,10,430.26,123.23,18.09,3.32,2.40,1.70,50.00
2026/05/15T00:32:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,41,40,1020.08,4.85,26248,0,340,1.53,2.72,3.19,1.53,2.72,3.19,11,11,482.11,130.42,18.68,2.81,0.72,0.25,1.58,2.73,4.14,1.58,2.73,4.14,11,11,446.19,126.39,19.17,3.69,1.83,0.63,50.00
2026/05/15T00:34:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,41,39,1020.05,4.85,25936,0,460,1.60,2.51,3.47,1.60,2.51,3.47,10,10,498.05,130.00,17.82,2.93,1.11,0.12,1.78,3.02,3.95,1.78,3.02,3.95,13,13,498.95,137.77,19.72,3.17,1.40,0.62,50.00
2026/05/15T00:36:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,42,39,1020.03,4.85,26248,0,580,2.14,2.93,4.66,2.14,2.93,4.66,12,12,526.27,145.10,23.42,3.29,2.78,0.75,1.81,3.09,3.54,1.81,3.09,3.54,13,13,483.58,133.65,25.54,2.39,0.47,0.19,50.00
2026/05/15T00:38:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,42,39,1020.03,4.85,26248,0,700,1.95,2.86,3.75,1.95,2.86,3.75,12,12,550.78,139.07,19.36,3.32,1.29,0.66,1.54,2.62,3.21,1.54,2.62,3.21,11,11,446.95,125.96,20.14,2.59,0.98,0.02,50.00
2026/05/15T00:40:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,42,40,1020.03,4.85,26248,0,820,1.84,3.00,3.74,1.84,3.00,3.74,13,13,578.90,146.02,23.60,3.10,1.22,0.16,1.59,3.29,4.60,1.59,3.29,4.60,14,14,469.86,135.76,25.47,3.34,1.83,0.64,50.00
2026/05/15T00:42:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,41,41,1020.04,4.85,26248,0,940,1.71,2.70,3.38,1.71,2.70,3.38,11,11,540.21,142.29,19.62,3.05,1.16,0.00,1.76,2.95,3.59,1.76,2.95,3.59,12,12,472.91,133.26,20.07,1.91,1.07,0.26,50.00
2026/05/15T00:44:51z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,41,40,1019.94,4.85,26248,0,1060,1.88,3.05,3.78,1.88,3.05,3.78,13,13,550.66,146.10,20.59,2.71,1.09,0.57,1.98,3.07,3.53,1.98,3.07,3.53,13,13,481.37,141.98,20.75,2.47,0.75,0.00,50.00
2026/05/15T00:46:50z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,38,42,1019.92,4.85,26248,0,1180,1.73,2.90,3.61,1.73,2.90,3.61,12,12,554.49,144.36,23.07,2.54,1.07,0.00,2.12,3.09,3.64,2.12,3.09,3.64,13,13,542.62,152.84,20.84,1.98,0.96,0.00,50.00
2026/05/15T00:48:31z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,36,42,1019.92,nan,26336,0,100,1.59,3.48,4.00,1.59,3.48,4.00,14,14,531.26,147.96,29.54,4.52,0.63,0.24,1.95,3.53,4.02,1.95,3.53,4.02,15,15,518.51,145.47,21.60,2.53,0.74,0.00,nan
2026/05/15T00:50:31z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,34,42,1019.91,4.85,26248,0,220,1.27,2.36,2.78,1.27,2.36,2.78,10,10,484.58,130.88,20.02,2.08,0.71,0.17,1.39,2.19,3.07,1.39,2.19,3.07,9,9,485.42,139.14,15.79,1.49,1.30,0.39,50.00
2026/05/15T00:52:31z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,34,40,1019.94,4.85,26248,0,340,1.59,2.45,2.78,1.59,2.45,2.78,10,10,538.60,148.50,22.10,1.69,0.50,0.21,1.37,2.29,2.59,1.37,2.29,2.59,10,10,465.05,131.75,20.02,1.31,0.58,0.00,50.00
2026/05/15T00:54:31z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,34,42,1019.88,4.85,26248,0,460,1.64,2.50,4.07,1.64,2.50,4.07,10,10,512.79,137.70,18.39,3.84,2.75,0.50,2.02,2.86,3.31,2.02,2.86,3.31,12,12,508.68,145.12,18.12,1.69,0.54,0.00,50.00
2026/05/15T00:56:31z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,33,41,1019.94,4.85,26248,0,580,2.17,3.25,4.23,2.17,3.25,4.23,14,14,707.15,171.53,24.88,3.08,1.47,0.63,1.78,2.71,3.52,1.78,2.71,3.52,11,11,515.43,146.10,23.12,2.47,1.26,0.28,50.00
2026/05/15T00:58:31z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,33,41,1019.95,4.85,25936,0,700,1.88,2.88,3.69,1.88,2.88,3.69,12,12,597.00,161.52,19.26,2.81,1.40,0.38,2.30,3.49,4.42,2.30,3.49,4.42,15,15,639.32,176.39,25.42,3.00,1.42,0.19,50.00
