UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/18T00:01:45z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,18,36,1025.03,4.95,26344,0,461,0.62,0.95,1.30,0.62,0.95,1.30,4,4,251.30,71.86,5.71,0.89,0.45,0.45,0.29,0.69,1.12,0.29,0.69,1.12,3,3,232.32,63.56,5.80,0.92,0.66,0.17,76.49
2026/05/18T00:03:45z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,36,1025.04,4.96,26280,0,580,0.40,0.84,0.93,0.40,0.84,0.93,4,4,243.52,70.45,5.36,1.07,0.16,0.16,0.49,0.58,0.58,0.49,0.58,0.58,2,2,257.74,73.63,5.81,0.23,0.00,0.00,77.10
2026/05/18T00:05:45z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,19,37,1025.01,4.95,26280,0,700,0.73,0.73,1.12,0.73,0.73,1.12,3,3,302.14,84.76,5.88,0.49,0.25,0.25,0.39,0.55,0.62,0.39,0.55,0.62,2,2,239.20,66.52,5.64,0.25,0.25,0.00,81.32
2026/05/18T00:07:45z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,36,1025.00,4.95,26280,0,820,0.29,0.48,0.69,0.29,0.48,0.69,2,2,304.09,86.16,5.76,0.69,0.34,0.14,0.58,0.80,0.88,0.57,0.80,0.88,3,3,260.45,74.58,7.97,0.38,0.22,0.00,76.49
2026/05/18T00:09:45z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,19,36,1024.98,4.95,26280,0,940,0.70,1.38,1.62,0.70,1.38,1.62,6,6,312.54,88.66,9.05,1.50,0.27,0.27,0.63,1.14,1.22,0.63,1.14,1.22,5,5,272.34,77.08,8.00,0.95,0.46,0.00,75.52
2026/05/18T00:11:45z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,19,36,1025.05,4.95,26280,0,1060,0.31,0.43,0.67,0.31,0.43,0.67,2,2,312.05,86.40,4.55,0.59,0.38,0.38,0.53,0.78,1.07,0.53,0.78,1.07,3,3,269.03,72.78,6.24,1.07,0.36,0.12,75.74
2026/05/18T00:13:45z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1024.99,4.95,26280,0,1180,0.53,0.78,1.12,0.53,0.78,1.12,3,3,275.54,74.31,6.44,0.97,0.41,0.41,0.71,0.83,0.95,0.71,0.83,0.95,3,3,263.64,73.12,5.59,0.22,0.12,0.10,77.88
2026/05/18T00:15:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,21,36,1025.00,nan,26432,0,100,0.24,0.76,1.02,0.24,0.76,1.02,3,3,259.87,68.69,8.09,0.76,0.00,0.00,0.69,0.86,0.86,0.69,0.86,0.86,4,4,258.43,70.69,3.93,0.29,0.00,0.00,nan
2026/05/18T00:17:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1024.96,4.95,26344,0,220,0.22,0.46,0.78,0.22,0.46,0.78,2,2,218.39,60.56,5.85,1.44,0.41,0.17,0.36,0.45,1.04,0.36,0.45,1.04,2,2,243.64,67.38,7.04,1.16,1.02,0.25,75.81
2026/05/18T00:19:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,19,36,1024.96,4.95,26280,0,340,0.02,0.02,0.07,0.02,0.02,0.07,0,0,193.19,51.02,2.98,0.09,0.07,0.07,0.15,0.46,0.46,0.15,0.46,0.46,2,2,208.42,55.17,6.25,0.34,0.17,0.00,76.09
2026/05/18T00:21:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,36,1024.92,4.95,26280,0,460,0.51,0.65,0.78,0.51,0.65,0.78,3,3,223.80,62.78,5.24,0.58,0.22,0.22,0.02,0.10,0.27,0.02,0.10,0.27,0,0,186.71,49.32,4.34,0.47,0.17,0.17,77.16
2026/05/18T00:23:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,35,1024.90,4.95,26280,0,580,0.00,0.37,0.37,0.00,0.37,0.37,2,2,189.00,51.97,4.73,0.41,0.00,0.00,0.00,0.49,0.49,0.00,0.49,0.49,2,2,189.16,51.67,5.35,0.19,0.00,0.00,75.54
2026/05/18T00:25:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,18,35,1024.91,4.95,26280,0,700,0.03,0.33,0.33,0.03,0.33,0.33,1,1,208.14,54.81,4.69,0.81,0.00,0.00,0.00,0.16,0.34,0.00,0.16,0.34,1,1,175.55,50.71,3.39,1.00,0.41,0.23,77.21
2026/05/18T00:27:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,34,1024.90,4.95,26280,0,820,0.00,0.09,0.14,0.00,0.09,0.14,0,0,154.19,42.07,3.07,0.47,0.00,0.00,0.00,0.14,0.40,0.00,0.14,0.40,1,1,188.38,50.53,4.52,0.50,0.26,0.26,76.68
2026/05/18T00:29:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,35,1024.90,4.95,26280,0,940,0.00,0.30,1.07,0.00,0.30,1.07,1,1,222.21,60.84,6.34,1.50,0.39,0.39,0.00,0.25,0.53,0.00,0.25,0.53,1,1,178.98,49.24,6.00,0.53,0.27,0.05,77.11
2026/05/18T00:31:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,19,34,1024.89,4.95,26280,0,1060,0.09,0.33,0.41,0.09,0.33,0.41,1,1,183.67,52.91,5.07,0.72,0.00,0.00,0.09,0.17,0.40,0.09,0.17,0.40,1,1,173.64,45.86,5.50,0.55,0.38,0.17,78.94
2026/05/18T00:33:25z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,19,34,1024.88,4.95,26280,0,1180,0.05,0.22,0.39,0.05,0.22,0.39,1,1,191.64,53.29,5.36,0.59,0.17,0.17,0.00,0.32,0.49,0.00,0.32,0.49,1,1,179.26,49.56,6.63,0.25,0.25,0.00,80.55
2026/05/18T00:35:06z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,19,35,1024.86,nan,26432,0,100,0.00,0.17,0.46,0.00,0.17,0.46,1,1,164.02,47.91,5.22,0.57,0.00,0.00,0.00,0.14,0.38,0.00,0.14,0.38,1,1,144.36,38.69,3.05,1.07,0.24,0.24,nan
2026/05/18T00:37:06z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,19,35,1024.82,4.95,26344,0,220,0.15,0.54,0.78,0.15,0.54,0.78,2,2,223.42,66.64,7.20,1.24,0.24,0.24,0.00,0.09,0.50,0.00,0.09,0.50,0,0,175.03,44.36,5.21,0.76,0.59,0.21,75.57
2026/05/18T00:39:06z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,19,35,1024.84,4.95,26344,0,340,0.33,0.77,1.11,0.33,0.77,1.11,3,3,222.26,65.16,8.12,1.16,0.21,0.21,0.07,0.26,0.26,0.07,0.26,0.26,1,1,218.69,57.34,4.79,0.69,0.00,0.00,72.64
2026/05/18T00:41:06z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,20,35,1024.89,4.95,26344,0,460,0.18,0.37,0.51,0.18,0.37,0.51,2,2,203.79,58.60,3.65,0.47,0.16,0.16,0.00,0.31,0.66,0.00,0.31,0.66,1,1,226.42,60.27,6.36,0.97,0.68,0.47,72.81
2026/05/18T00:43:06z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,19,35,1024.85,4.95,26344,0,580,0.12,0.27,0.36,0.12,0.27,0.36,1,1,235.93,63.08,6.80,0.31,0.08,0.08,0.00,0.05,0.05,0.00,0.05,0.05,0,0,176.95,46.67,2.61,0.19,0.00,0.00,74.08
