UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/14T00:01:20z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,53,47,1017.47,4.84,26344,0,940,0.45,1.29,1.62,0.45,1.29,1.62,5,5,220.39,64.25,13.34,2.38,0.50,0.18,0.62,1.22,2.35,0.62,1.22,2.35,5,5,269.60,78.00,12.63,2.60,1.62,1.20,55.08
2026/05/14T00:03:20z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1017.63,4.84,26280,0,1060,0.46,1.85,3.05,0.46,1.85,3.05,8,8,250.42,75.29,20.54,4.47,1.98,0.49,0.52,1.16,3.34,0.52,1.16,3.34,5,5,256.09,75.84,12.29,4.57,2.95,1.81,53.54
2026/05/14T00:05:20z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1017.64,4.84,26280,0,1180,0.22,1.75,3.02,0.22,1.75,3.02,7,7,217.83,65.22,17.24,6.20,2.34,0.44,0.23,0.95,2.77,0.23,0.95,2.77,4,4,233.73,69.12,11.61,3.48,2.43,1.23,54.22
2026/05/14T00:07:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,54,48,1017.79,nan,26432,0,100,0.16,1.47,2.36,0.16,1.47,2.36,6,6,211.00,63.69,14.04,5.84,1.24,0.00,0.00,0.84,1.60,0.00,0.84,1.60,3,3,180.77,49.95,9.70,2.28,1.35,0.70,nan
2026/05/14T00:09:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1017.71,4.84,26344,0,220,0.00,0.24,0.90,0.00,0.24,0.90,1,1,157.42,47.63,9.76,1.42,0.83,0.41,0.00,0.47,1.16,0.00,0.47,1.16,2,2,174.95,47.33,6.19,1.21,0.84,0.65,53.39
2026/05/14T00:11:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,55,47,1017.72,4.85,26032,0,340,0.09,1.70,3.25,0.09,1.70,3.25,7,7,241.42,66.58,17.40,6.30,2.91,0.60,0.28,0.74,3.31,0.28,0.74,3.31,3,3,229.55,63.36,14.66,4.33,3.71,1.88,54.44
2026/05/14T00:13:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,46,1017.69,4.84,26344,0,460,0.00,0.68,1.39,0.00,0.68,1.39,3,3,173.57,52.16,9.64,1.95,0.89,0.66,0.00,0.34,1.78,0.00,0.34,1.78,1,1,172.88,48.02,8.07,3.08,2.19,0.69,53.92
2026/05/14T00:15:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,55,47,1017.66,4.84,26344,0,580,0.50,2.13,3.78,0.50,2.13,3.78,9,9,283.65,80.32,19.98,6.62,2.70,0.82,0.40,1.54,2.81,0.40,1.54,2.81,6,6,276.37,78.12,16.05,2.91,1.75,0.77,54.54
2026/05/14T00:17:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1017.64,4.84,26344,0,700,0.55,2.22,3.71,0.55,2.22,3.71,9,9,268.71,78.67,19.07,7.02,2.22,0.62,0.23,1.07,3.42,0.23,1.07,3.42,4,4,221.79,64.44,15.75,3.75,3.09,2.26,54.90
2026/05/14T00:19:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,53,47,1017.83,4.85,26344,0,820,0.00,0.95,1.67,0.00,0.95,1.67,4,4,183.37,56.28,11.91,2.65,1.35,0.23,0.24,0.76,1.90,0.24,0.76,1.90,3,3,234.61,63.90,8.00,2.59,1.78,0.93,55.33
2026/05/14T00:21:00z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,52,47,1017.88,4.85,26344,0,940,0.26,1.28,2.65,0.26,1.28,2.65,5,5,221.63,63.67,13.16,5.19,2.09,1.00,0.00,0.53,1.95,0.00,0.53,1.95,2,2,199.02,58.32,7.41,2.34,1.68,1.51,54.44
