UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/16T00:01:52z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,42,40,1019.11,4.94,26248,0,340,0.00,0.47,0.74,0.00,0.47,0.74,2,2,195.52,56.55,6.40,0.74,0.28,0.19,0.00,0.17,0.66,0.00,0.17,0.66,1,1,167.34,46.85,7.63,0.81,0.49,0.00,101.27
2026/05/16T00:03:52z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,42,41,1019.13,4.94,26248,0,460,0.25,0.51,1.00,0.25,0.51,1.00,2,2,204.60,55.25,6.69,1.67,0.64,0.45,0.05,0.78,0.78,0.05,0.78,0.78,3,3,213.90,58.98,7.23,1.45,0.20,0.00,101.20
2026/05/16T00:05:52z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,42,41,1019.05,4.94,26248,0,580,0.00,0.54,0.63,0.00,0.54,0.63,2,2,176.95,50.73,6.20,0.83,0.19,0.00,0.30,0.46,0.70,0.30,0.46,0.70,2,2,199.74,56.40,6.46,0.82,0.28,0.00,98.73
2026/05/16T00:07:52z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,40,41,1019.00,4.94,26248,0,700,0.00,0.33,0.98,0.00,0.33,0.98,1,1,169.85,47.78,6.55,1.07,0.83,0.42,0.34,0.75,1.18,0.34,0.75,1.18,3,3,208.88,60.32,7.48,1.75,0.80,0.00,101.27
2026/05/16T00:09:52z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,39,41,1018.88,4.94,26248,0,820,0.17,0.72,0.98,0.17,0.72,0.98,3,3,211.76,61.64,8.34,0.98,0.50,0.02,0.26,1.19,1.72,0.26,1.19,1.72,5,5,236.07,70.53,12.34,1.66,0.66,0.26,98.29
2026/05/16T00:11:52z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,38,41,1018.88,4.94,26248,0,940,0.07,0.88,1.20,0.07,0.88,1.20,4,4,208.18,59.09,7.71,1.34,0.45,0.25,0.62,0.91,1.52,0.62,0.91,1.52,4,4,367.50,77.55,7.72,1.34,0.83,0.00,96.05
2026/05/16T00:13:52z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,36,41,1018.84,4.94,26248,0,1060,0.24,0.97,1.43,0.24,0.97,1.43,4,4,267.88,71.31,9.07,1.60,0.86,0.64,0.55,1.07,1.31,0.55,1.07,1.31,4,4,253.34,74.76,11.81,1.17,0.53,0.36,94.97
2026/05/16T00:15:52z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,37,40,1018.85,4.94,26248,0,1180,0.43,1.10,1.26,0.43,1.10,1.26,5,5,252.83,68.72,10.84,0.79,0.00,0.00,0.27,1.18,1.77,0.27,1.18,1.77,5,5,231.38,68.36,11.71,2.16,0.66,0.00,94.66
2026/05/16T00:17:32z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,38,41,1018.84,nan,26336,0,100,0.54,1.22,1.74,0.54,1.22,1.74,5,5,279.13,77.76,10.24,0.89,0.52,0.26,0.53,0.88,1.28,0.53,0.88,1.28,4,4,244.40,67.37,10.63,1.12,0.65,0.00,nan
2026/05/16T00:19:32z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,36,42,1018.83,4.94,25936,0,220,0.88,1.29,1.46,0.88,1.29,1.46,5,5,277.42,78.27,8.20,1.47,0.19,0.19,0.67,1.37,1.67,0.67,1.37,1.67,6,6,281.89,81.11,10.91,1.82,0.65,0.00,98.78
