UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/25T00:00:14z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,13,33,1011.69,4.98,26248,0,820,3.23,4.25,4.61,3.23,4.25,4.61,18,18,720.53,204.21,17.72,2.07,0.60,0.00,2.29,3.54,4.22,2.29,3.54,4.22,15,15,600.66,170.44,19.17,2.90,1.20,0.37,50.00
2026/05/25T00:02:13z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,13,32,1011.67,4.98,26248,0,940,3.04,3.86,4.79,3.04,3.86,4.79,16,16,673.00,180.79,19.86,2.60,1.30,0.53,2.24,3.14,3.41,2.24,3.14,3.41,13,13,598.55,173.03,16.10,1.07,0.48,0.00,50.00
2026/05/25T00:04:13z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,13,32,1011.61,4.98,26248,0,1060,3.31,4.09,5.72,3.31,4.09,5.72,17,17,699.62,192.97,24.88,3.31,2.24,0.74,2.26,3.59,4.05,2.26,3.59,4.05,15,15,572.22,161.98,17.91,3.48,0.62,0.31,50.00
2026/05/25T00:06:13z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,13,33,1011.57,4.98,26248,0,1180,2.68,3.75,4.63,2.68,3.75,4.63,16,16,707.95,189.76,19.15,4.20,1.49,0.61,2.14,3.16,3.91,2.14,3.16,3.91,13,13,580.74,166.54,21.39,2.74,1.21,0.42,50.00
2026/05/25T00:07:55z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,13,33,1011.56,nan,26336,0,101,3.00,3.91,4.15,3.00,3.91,4.15,16,16,644.67,186.13,18.61,2.33,0.48,0.00,2.81,3.76,4.76,2.81,3.76,4.76,16,16,607.14,174.81,21.79,4.17,2.14,0.00,nan
2026/05/25T00:09:55z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,13,34,1011.50,4.98,26248,0,221,2.97,3.75,4.56,2.97,3.75,4.56,16,16,719.69,200.32,17.29,2.44,1.22,0.69,1.88,2.61,2.70,1.88,2.61,2.70,11,11,546.21,152.70,14.14,0.88,0.00,0.00,50.00
2026/05/25T00:11:55z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,13,34,1011.48,4.98,26248,0,341,3.62,4.45,4.88,3.62,4.45,4.88,19,19,763.29,221.48,20.82,2.12,0.66,0.00,2.53,3.36,4.34,2.53,3.36,4.34,14,14,597.15,172.59,18.75,3.42,1.75,0.08,50.00
2026/05/25T00:13:55z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,13,34,1011.41,4.98,26248,0,461,2.93,3.73,4.27,2.93,3.73,4.27,16,16,759.16,210.14,16.43,1.80,0.93,0.00,2.45,3.36,4.43,2.45,3.36,4.43,14,14,631.86,177.91,17.16,3.57,1.81,0.74,50.00
2026/05/25T00:15:55z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,13,33,1011.36,4.98,26248,0,581,3.20,4.10,4.85,3.20,4.10,4.85,17,17,708.66,198.64,17.61,3.03,1.37,0.00,2.09,2.77,3.54,2.09,2.77,3.54,12,12,599.16,164.56,16.19,2.47,1.35,0.09,50.00
2026/05/25T00:17:55z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,13,34,1011.32,4.98,26248,0,701,3.52,4.98,5.81,3.52,4.98,5.81,21,21,777.52,226.38,25.31,4.41,0.97,0.48,1.91,2.69,3.31,1.91,2.69,3.31,11,11,567.55,158.91,21.60,2.00,1.22,0.00,50.00
