UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/28T00:00:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.53,nan,26336,0,101,2.67,4.00,5.37,2.67,4.00,5.37,17,17,655.43,193.39,17.04,6.09,2.57,0.26,0.93,1.74,2.57,0.93,1.74,2.57,7,7,373.29,104.93,16.24,2.64,1.31,0.00,nan
2026/05/28T00:02:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.56,4.96,26248,0,221,2.85,3.44,3.88,2.85,3.44,3.88,14,14,660.71,200.41,12.86,1.54,0.69,0.08,1.18,1.70,2.35,1.18,1.70,2.35,7,7,344.84,97.67,12.37,2.33,1.00,0.18,64.68
2026/05/28T00:04:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.54,4.96,26248,0,341,1.93,3.09,3.12,1.93,3.09,3.12,13,13,498.26,149.16,13.70,3.12,0.12,0.00,0.80,2.00,2.24,0.80,2.00,2.24,8,8,403.17,113.02,15.39,2.69,0.46,0.00,70.39
2026/05/28T00:06:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.51,4.96,26248,0,461,2.31,2.89,3.29,2.31,2.89,3.29,12,12,562.58,167.85,10.49,1.31,0.91,0.18,0.92,1.66,2.07,0.92,1.66,2.07,7,7,394.42,113.53,15.44,1.47,0.95,0.00,70.49
2026/05/28T00:08:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.47,4.96,26248,0,581,1.76,2.25,3.07,1.76,2.25,3.07,9,9,457.78,135.31,12.31,2.00,1.24,0.20,1.39,2.42,2.58,1.39,2.42,2.58,10,10,405.63,117.28,16.04,2.32,0.37,0.00,79.71
2026/05/28T00:10:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.48,4.96,26248,0,701,3.08,3.34,4.25,3.08,3.34,4.25,14,14,663.71,200.19,10.41,1.97,1.34,0.75,1.19,1.70,2.09,1.19,1.70,2.09,7,7,390.53,112.19,11.25,1.47,0.56,0.00,72.76
2026/05/28T00:12:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.45,4.96,26248,0,821,2.38,2.88,3.31,2.38,2.88,3.31,12,12,611.38,181.14,11.62,1.24,0.91,0.00,1.24,1.73,2.39,1.24,1.73,2.39,7,7,414.51,122.61,15.39,2.02,0.80,0.61,72.59
2026/05/28T00:14:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.44,4.96,26248,0,941,2.53,3.23,3.98,2.53,3.23,3.98,13,13,641.00,197.21,11.82,2.81,1.32,0.42,0.42,1.56,1.98,0.42,1.56,1.98,6,6,374.29,102.15,13.56,2.71,0.88,0.47,68.24
2026/05/28T00:16:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.41,4.96,26248,0,1061,2.05,3.19,3.57,2.05,3.19,3.57,13,13,543.41,162.33,15.22,3.00,0.88,0.00,1.00,1.60,2.22,1.00,1.60,2.22,7,7,355.03,100.17,17.29,2.09,0.79,0.24,68.72
2026/05/28T00:18:10z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.38,4.96,26248,0,1181,1.98,2.72,3.33,1.98,2.72,3.33,11,11,495.95,148.08,16.07,1.52,0.85,0.42,1.04,1.95,2.82,1.04,1.95,2.82,8,8,373.93,105.25,15.84,3.34,1.36,0.43,70.91
