UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/21T00:00:40z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,22,41,1021.39,4.94,26248,0,1179,1.75,2.46,2.47,1.75,2.46,2.47,10,10,525.76,167.31,10.51,0.58,0.02,0.00,0.45,0.48,0.62,0.45,0.48,0.62,2,2,252.96,74.50,7.59,0.79,0.14,0.14,50.00
2026/05/21T00:02:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1021.41,nan,26024,0,100,1.51,2.11,2.44,1.51,2.11,2.44,9,9,439.47,141.24,11.27,2.29,0.53,0.00,0.24,1.07,1.64,0.24,1.07,1.64,4,4,251.93,69.62,8.69,3.02,1.05,0.52,nan
2026/05/21T00:04:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1021.39,4.94,26248,0,220,2.84,3.90,4.29,2.84,3.90,4.29,16,16,751.60,241.24,14.40,2.79,0.69,0.14,0.88,1.20,1.50,0.88,1.20,1.50,5,5,307.82,90.48,10.12,1.00,0.38,0.00,50.00
2026/05/21T00:06:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,21,40,1021.42,4.94,26248,0,340,2.38,2.98,3.17,2.38,2.98,3.17,12,12,567.78,183.03,9.74,1.53,0.14,0.00,0.78,0.86,1.24,0.78,0.86,1.24,4,4,258.41,76.02,8.53,1.36,0.71,0.48,50.00
2026/05/21T00:08:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,22,40,1021.41,4.94,26248,0,460,2.29,2.52,2.77,2.29,2.52,2.77,10,10,526.50,169.45,10.30,0.73,0.32,0.00,0.51,0.88,1.95,0.51,0.88,1.95,4,4,271.47,76.68,6.54,2.29,1.59,1.03,50.00
2026/05/21T00:10:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,22,40,1021.38,4.94,26248,0,580,2.36,3.49,4.22,2.36,3.49,4.22,15,15,588.56,186.75,11.83,3.76,1.34,0.00,0.75,1.54,2.58,0.75,1.54,2.58,6,6,304.21,85.07,13.53,3.19,1.46,1.09,50.00
2026/05/21T00:12:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,22,40,1021.35,4.94,26248,0,700,2.63,3.46,3.75,2.63,3.46,3.75,14,14,604.32,196.54,15.22,2.10,0.63,0.08,0.79,1.23,1.93,0.79,1.23,1.93,5,5,284.52,81.91,10.62,2.20,1.23,0.16,50.00
2026/05/21T00:14:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,23,39,1021.42,4.94,26248,0,820,2.66,3.91,4.20,2.66,3.91,4.20,16,16,663.54,213.59,14.84,3.95,0.45,0.00,0.76,1.05,1.62,0.76,1.05,1.62,4,4,300.72,85.53,8.14,1.72,0.50,0.21,50.00
2026/05/21T00:16:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,23,40,1021.36,4.94,26248,0,940,2.21,2.45,2.45,2.21,2.45,2.45,10,10,526.12,166.11,6.05,0.80,0.00,0.00,0.80,1.29,1.54,0.80,1.29,1.54,5,5,283.42,81.75,9.22,1.10,0.39,0.17,50.00
2026/05/21T00:18:20z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,23,40,1021.36,4.94,26248,0,1060,2.19,3.02,3.58,2.19,3.02,3.58,13,13,515.29,166.02,10.46,2.75,0.59,0.17,0.93,1.35,1.68,0.92,1.35,1.68,6,6,295.25,81.47,11.10,1.87,0.38,0.38,50.00
