UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/24T00:01:03z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,23,47,1015.47,4.83,26248,0,940,3.59,4.27,4.52,3.59,4.27,4.52,18,18,739.45,222.80,18.18,1.11,0.25,0.25,1.90,2.45,2.93,1.90,2.45,2.93,10,10,512.75,146.40,11.13,2.58,0.70,0.00,50.00
2026/05/24T00:03:03z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,23,47,1015.45,4.83,26248,0,1060,2.84,3.79,4.03,2.84,3.79,4.03,16,16,647.95,193.21,16.28,1.59,0.45,0.00,1.91,2.47,3.00,1.91,2.47,3.00,10,10,516.00,141.28,11.32,1.81,0.68,0.21,50.00
2026/05/24T00:05:03z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,23,47,1015.42,4.83,26248,0,1180,2.73,3.38,3.60,2.73,3.38,3.60,14,14,672.55,200.13,15.42,1.28,0.47,0.00,2.05,2.66,3.09,2.05,2.66,3.09,11,11,564.32,160.00,14.55,1.46,0.61,0.20,50.00
2026/05/24T00:06:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,23,47,1015.46,nan,26336,0,100,2.85,3.70,3.80,2.85,3.70,3.80,15,15,643.89,195.24,18.54,1.07,0.24,0.00,2.14,3.02,3.62,2.14,3.02,3.62,13,13,554.64,153.67,18.52,3.19,1.07,0.31,nan
2026/05/24T00:08:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,22,47,1015.43,4.83,26248,0,220,3.13,3.88,4.13,3.13,3.88,4.13,16,16,706.45,208.22,17.03,1.03,0.42,0.00,1.59,2.09,2.18,1.59,2.09,2.18,9,9,518.68,143.23,13.52,0.64,0.11,0.00,50.00
2026/05/24T00:10:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,21,47,1015.40,4.83,26248,0,340,2.68,3.46,3.93,2.68,3.46,3.93,14,14,684.21,209.40,14.63,0.98,0.67,0.40,1.27,2.24,2.46,1.27,2.24,2.46,9,9,505.02,142.22,13.54,2.00,0.58,0.20,50.00
2026/05/24T00:12:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,24,46,1015.42,4.83,26248,0,460,2.52,3.12,3.12,2.52,3.12,3.12,13,13,685.23,206.00,14.09,0.62,0.00,0.00,1.02,1.34,1.64,1.02,1.34,1.64,6,6,474.41,131.36,9.41,1.57,0.43,0.19,50.00
2026/05/24T00:14:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,24,47,1015.40,4.83,26248,0,580,2.98,3.47,3.72,2.98,3.47,3.72,14,14,648.78,195.22,17.84,0.95,0.26,0.26,1.33,1.93,2.72,1.33,1.93,2.72,8,8,494.90,139.16,13.69,3.09,0.91,0.48,50.00
2026/05/24T00:16:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,23,47,1015.31,4.83,26248,0,700,3.27,3.98,4.44,3.27,3.98,4.44,17,17,681.92,206.86,17.73,1.78,0.68,0.25,1.37,1.82,2.72,1.37,1.82,2.72,8,8,514.16,143.51,10.25,1.70,1.44,0.47,50.00
2026/05/24T00:18:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,23,47,1015.31,4.83,26248,0,820,3.16,3.95,4.52,3.16,3.95,4.52,16,16,684.98,206.72,18.00,1.41,1.00,0.43,1.66,2.16,2.50,1.66,2.16,2.50,9,9,451.45,123.29,12.14,1.47,0.67,0.34,50.00
2026/05/24T00:20:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,23,47,1015.26,4.83,26248,0,940,3.11,3.86,4.16,3.11,3.86,4.16,16,16,694.23,211.84,18.79,1.50,0.70,0.02,1.78,2.45,3.16,1.78,2.45,3.16,10,10,497.38,137.36,11.47,2.09,1.14,0.38,50.00
2026/05/24T00:22:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,23,47,1015.29,4.83,26248,0,1060,3.69,4.36,4.98,3.69,4.36,4.98,18,18,845.48,249.41,13.86,1.34,0.95,0.43,1.69,2.24,2.76,1.69,2.24,2.76,9,9,531.71,148.12,15.53,1.56,0.81,0.17,50.00
2026/05/24T00:24:43z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1015.32,4.83,26248,0,1180,3.82,4.23,4.40,3.82,4.23,4.40,18,18,814.20,248.68,15.55,0.88,0.20,0.20,1.77,2.59,3.12,1.77,2.59,3.12,11,11,542.84,152.52,18.07,2.18,1.00,0.25,50.00
2026/05/24T00:26:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,23,47,1015.25,nan,26336,0,99,2.42,2.96,3.20,2.42,2.96,3.20,12,12,538.53,158.76,18.07,1.07,0.24,0.24,1.60,2.40,3.05,1.60,2.40,3.05,10,10,484.79,135.55,12.31,2.48,1.14,0.24,nan
2026/05/24T00:28:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,23,46,1015.21,4.83,26248,0,219,2.69,3.59,3.97,2.69,3.59,3.97,15,15,626.49,185.58,16.93,1.80,0.61,0.25,1.74,2.58,3.40,1.74,2.58,3.40,11,11,452.74,131.04,14.46,2.89,1.19,0.54,50.00
2026/05/24T00:30:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1015.28,4.83,26248,0,339,2.53,3.09,3.42,2.53,3.09,3.42,13,13,675.16,199.58,11.53,1.28,0.68,0.00,1.46,2.15,2.39,1.46,2.15,2.39,9,9,489.76,137.85,13.93,2.36,0.47,0.00,50.00
2026/05/24T00:32:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,24,47,1015.28,4.83,26248,0,459,2.53,3.18,3.54,2.53,3.18,3.54,13,13,566.11,171.23,12.61,2.02,0.51,0.25,1.83,2.74,3.71,1.83,2.74,3.71,11,11,510.62,142.88,14.84,3.14,1.71,0.00,50.00
2026/05/24T00:34:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1015.30,4.83,26248,0,579,3.12,3.72,4.53,3.12,3.72,4.53,16,16,660.16,201.36,14.53,1.81,1.26,0.53,1.77,2.77,2.98,1.77,2.77,2.98,12,12,507.68,138.46,12.58,2.58,0.37,0.18,50.00
2026/05/24T00:36:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1015.31,4.83,26248,0,699,2.46,3.00,3.83,2.46,3.00,3.83,13,13,581.08,175.69,15.98,1.03,1.03,0.58,1.95,2.98,3.36,1.95,2.98,3.36,12,12,514.81,146.52,14.34,2.60,0.69,0.02,50.00
2026/05/24T00:38:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1015.31,4.83,25936,0,819,2.72,3.40,3.67,2.72,3.40,3.67,14,14,642.67,196.97,14.81,1.02,0.50,0.19,2.02,2.83,3.76,2.02,2.83,3.76,12,12,545.34,153.78,13.75,4.32,0.92,0.36,50.00
2026/05/24T00:40:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,26,46,1015.26,4.83,26248,0,939,2.84,3.71,4.61,2.84,3.71,4.61,15,15,650.20,195.05,20.71,2.41,1.23,0.23,2.03,2.76,2.97,2.03,2.76,2.97,11,11,522.21,148.83,14.07,1.50,0.21,0.00,50.00
2026/05/24T00:42:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,28,45,1015.27,4.83,26248,0,1059,2.69,3.41,3.78,2.69,3.41,3.78,14,14,612.26,185.31,12.67,2.00,0.45,0.26,1.86,2.89,3.09,1.86,2.89,3.09,12,12,487.05,138.70,16.21,2.14,0.18,0.00,50.00
2026/05/24T00:44:23z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,30,46,1015.30,4.83,26248,0,1179,3.55,4.81,5.17,3.55,4.81,5.17,20,20,747.88,231.10,20.79,3.64,0.53,0.00,1.56,2.33,3.56,1.56,2.33,3.56,10,10,535.79,150.05,16.42,4.19,1.89,0.63,50.00
2026/05/24T00:46:04z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1015.33,nan,26336,0,100,3.28,4.33,4.85,3.28,4.33,4.85,18,18,689.28,212.96,18.04,2.74,0.89,0.28,1.76,3.02,3.43,1.76,3.02,3.43,13,13,508.57,141.86,15.38,4.00,0.29,0.24,nan
2026/05/24T00:48:04z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,27,47,1015.37,4.83,26248,0,220,3.19,3.81,4.51,3.19,3.81,4.51,16,16,708.36,214.75,14.17,1.76,0.90,0.47,1.49,2.27,2.96,1.49,2.27,2.96,9,9,524.89,147.55,17.16,2.24,1.09,0.38,50.00
