UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/23T00:00:41z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,45,1011.23,4.95,26248,0,340,2.09,3.02,3.96,2.09,3.02,3.96,13,13,582.43,153.62,16.55,2.61,1.50,1.38,2.27,3.19,3.88,2.27,3.19,3.88,13,13,578.44,164.14,18.66,2.14,0.95,0.78,50.00
2026/05/23T00:02:41z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,106,12,44,1011.21,4.95,26248,0,460,2.45,3.45,3.71,2.45,3.45,3.71,14,14,662.36,181.27,17.75,1.84,0.77,0.12,2.45,3.10,4.55,2.45,3.10,4.55,13,13,642.00,185.12,18.14,2.64,1.90,1.09,50.00
2026/05/23T00:04:41z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,45,1011.21,4.95,26248,0,580,1.48,2.23,2.52,1.48,2.23,2.52,9,9,527.45,140.10,13.37,1.22,0.70,0.18,2.53,3.14,3.82,2.53,3.14,3.82,13,13,606.68,171.65,13.89,2.40,0.72,0.72,50.00
2026/05/23T00:06:41z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,45,1011.24,4.96,26248,0,700,2.31,2.79,3.31,2.31,2.79,3.31,12,12,593.02,159.36,12.47,1.34,0.66,0.66,2.54,3.70,4.39,2.54,3.70,4.39,15,15,626.68,176.68,17.42,3.09,0.86,0.86,50.00
2026/05/23T00:08:41z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,104,14,45,1011.17,4.95,26248,0,820,2.17,2.61,3.24,2.17,2.61,3.24,11,11,611.80,157.22,10.71,1.15,0.92,0.24,1.89,2.91,3.63,1.89,2.91,3.63,12,12,574.68,157.79,14.42,2.16,1.14,0.54,50.00
2026/05/23T00:10:41z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,104,14,45,1011.22,4.95,26248,0,940,1.70,2.52,3.34,1.70,2.52,3.34,10,10,561.70,148.80,13.88,2.27,1.32,0.62,2.56,3.37,4.14,2.56,3.37,4.14,14,14,676.42,190.03,18.24,1.71,0.80,0.49,50.00
2026/05/23T00:12:41z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,45,1011.20,4.95,26248,0,1060,2.40,3.39,4.65,2.40,3.39,4.65,14,14,621.42,175.51,16.75,3.11,1.63,0.81,2.83,3.70,4.62,2.83,3.70,4.62,15,15,675.75,194.55,16.72,2.93,1.03,0.87,50.00
2026/05/23T00:14:41z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,106,13,46,1011.17,4.95,26248,0,1180,2.50,3.63,4.17,2.50,3.63,4.17,15,15,626.85,170.62,17.68,3.32,0.98,0.20,2.16,2.84,3.25,2.16,2.84,3.25,12,12,647.07,183.00,14.16,1.64,0.62,0.36,50.00
2026/05/23T00:16:21z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,45,1011.17,nan,26336,0,100,3.04,3.40,3.71,3.04,3.40,3.71,14,14,652.00,179.27,16.96,0.42,0.42,0.13,2.64,3.83,5.19,2.64,3.83,5.19,16,16,702.21,198.43,21.14,3.69,1.81,1.81,nan
2026/05/23T00:18:21z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,104,14,46,1011.19,4.95,26248,0,220,1.92,2.66,3.02,1.92,2.66,3.02,11,11,591.97,160.68,13.42,1.22,0.51,0.34,2.04,2.86,3.77,2.04,2.86,3.77,12,12,598.47,174.07,16.42,1.96,1.30,0.98,50.00
