UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/25T00:01:10z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,10,33,1011.89,4.87,26248,0,940,3.26,4.23,4.39,3.26,4.23,4.39,18,18,680.68,200.39,20.70,1.35,0.37,0.00,2.03,3.43,4.76,2.03,3.43,4.76,14,14,521.53,153.00,25.98,3.64,2.41,0.09,50.00
2026/05/25T00:03:10z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,10,33,1011.83,4.87,26248,0,1060,2.53,3.35,3.58,2.53,3.35,3.58,14,14,666.21,179.98,19.54,1.44,0.40,0.00,2.10,3.21,4.55,2.10,3.21,4.55,13,13,554.48,160.34,23.40,4.10,1.86,0.57,50.00
2026/05/25T00:05:10z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,10,34,1011.75,4.87,26248,0,1180,2.63,3.64,4.25,2.63,3.64,4.25,15,15,625.47,176.59,24.07,1.90,0.93,0.17,2.11,3.11,4.09,2.11,3.11,4.09,13,13,541.37,151.98,18.96,3.61,1.51,0.44,50.00
2026/05/25T00:06:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,10,34,1011.73,nan,26336,0,100,2.47,3.49,3.58,2.47,3.49,3.58,15,15,627.40,175.62,15.00,2.62,0.33,0.00,2.05,3.30,4.44,2.05,3.30,4.44,14,14,586.05,162.51,22.40,3.79,2.07,0.00,nan
2026/05/25T00:08:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,10,33,1011.67,4.86,26248,0,220,2.59,3.49,3.69,2.59,3.49,3.69,15,15,593.85,172.20,16.93,1.20,0.10,0.00,2.11,3.14,3.88,2.11,3.14,3.88,13,13,550.63,153.95,22.53,2.58,1.26,0.00,50.00
2026/05/25T00:10:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,10,34,1011.66,4.87,26248,0,340,2.48,3.55,3.90,2.48,3.55,3.90,15,15,688.66,194.84,20.76,2.16,0.47,0.24,2.68,3.45,4.75,2.68,3.45,4.75,14,14,612.65,169.55,20.90,2.85,2.03,0.18,50.00
2026/05/25T00:12:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,11,34,1011.63,4.87,26248,0,460,2.66,3.59,3.84,2.66,3.59,3.84,15,15,640.23,183.45,16.88,1.95,0.36,0.00,2.25,3.36,4.36,2.25,3.36,4.36,14,14,588.20,164.71,21.98,3.53,1.73,0.00,50.00
2026/05/25T00:14:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,10,34,1011.57,4.87,26248,0,580,3.00,3.83,4.58,3.00,3.83,4.58,16,16,686.69,197.54,19.31,2.12,1.19,0.24,1.71,2.55,2.84,1.71,2.55,2.84,11,11,523.55,149.29,17.45,1.91,0.67,0.17,50.00
2026/05/25T00:16:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,10,34,1011.51,4.87,26248,0,700,2.86,3.92,4.19,2.86,3.92,4.19,16,16,660.86,194.27,19.42,1.83,0.66,0.00,2.80,3.78,4.60,2.80,3.78,4.60,16,16,612.82,173.87,24.67,3.31,1.49,0.24,50.00
2026/05/25T00:18:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,10,34,1011.48,4.87,26248,0,820,2.66,3.75,4.63,2.66,3.75,4.63,16,16,687.36,201.76,19.54,4.34,1.22,0.00,2.86,3.74,4.74,2.86,3.74,4.74,16,16,627.16,173.81,23.79,3.03,1.57,0.00,50.00
2026/05/25T00:20:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,10,33,1011.42,4.87,26248,0,940,2.47,3.23,3.96,2.47,3.23,3.96,13,13,628.58,178.89,19.77,1.91,0.95,0.00,2.24,3.58,4.47,2.24,3.58,4.47,15,15,588.92,166.53,24.76,3.29,1.29,0.22,50.00
2026/05/25T00:22:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,10,32,1011.43,4.87,26248,0,1060,3.00,3.56,4.22,3.00,3.56,4.22,15,15,672.10,196.56,17.03,1.83,0.68,0.00,2.63,3.68,4.69,2.63,3.68,4.69,15,15,566.54,164.12,22.83,3.31,1.85,0.27,50.00
2026/05/25T00:24:51z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,10,33,1011.34,4.87,26248,0,1180,3.03,3.72,4.00,3.03,3.72,4.00,15,15,651.00,190.17,15.32,1.60,0.45,0.00,2.41,3.77,5.18,2.41,3.77,5.18,16,16,583.93,168.45,19.80,5.48,2.50,0.27,50.00
