UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/28T00:00:59z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,23,46,1010.72,4.92,26248,0,339,2.79,3.63,4.89,2.79,3.63,4.89,15,15,646.16,192.21,15.88,3.09,1.79,1.14,1.02,1.83,3.52,1.02,1.83,3.52,8,8,349.29,101.02,14.22,3.59,2.52,1.43,50.00
2026/05/28T00:02:58z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.68,4.92,26248,0,459,2.14,2.96,4.18,2.14,2.96,4.18,12,12,595.29,176.11,14.29,3.09,1.52,1.09,0.88,1.24,1.86,0.88,1.24,1.86,5,5,393.15,107.24,10.19,1.44,1.14,0.22,50.00
2026/05/28T00:04:58z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,24,45,1010.66,4.92,26248,0,579,2.31,2.76,5.73,2.31,2.76,5.73,12,12,622.83,184.88,13.58,4.80,3.37,3.15,1.09,1.93,3.60,1.09,1.93,3.60,8,8,380.84,106.71,16.17,3.53,2.88,0.67,50.00
2026/05/28T00:06:58z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.62,4.92,26248,0,699,2.80,3.10,5.75,2.80,3.10,5.75,13,13,655.47,197.75,15.22,3.63,3.46,2.73,1.00,1.54,2.95,1.00,1.54,2.95,6,6,335.20,95.75,13.84,2.71,2.00,0.86,50.00
2026/05/28T00:08:58z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.62,4.92,26248,0,819,2.47,3.26,5.39,2.47,3.26,5.39,14,14,643.84,186.96,14.42,3.47,2.68,2.60,0.85,1.83,4.88,0.85,1.83,4.88,8,8,338.44,97.44,18.46,5.44,3.85,3.03,50.00
2026/05/28T00:10:58z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,24,46,1010.66,4.92,26248,0,939,2.16,2.91,4.39,2.16,2.91,4.39,12,12,625.68,189.11,13.35,2.65,1.89,1.89,0.55,1.37,2.07,0.55,1.37,2.07,6,6,355.75,97.80,13.05,1.73,1.03,0.42,50.00
2026/05/28T00:12:58z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.64,4.92,26248,0,1059,2.08,3.02,4.98,2.08,3.02,4.98,13,13,623.59,184.24,15.64,5.75,2.88,1.73,1.05,1.79,3.26,1.05,1.79,3.26,7,7,353.07,100.57,11.76,3.83,2.17,0.36,50.00
2026/05/28T00:14:58z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,45,1010.63,4.92,26248,0,1179,1.63,2.25,3.25,1.63,2.25,3.25,9,9,491.14,147.69,10.86,2.32,1.49,0.88,0.79,1.70,2.60,0.79,1.70,2.60,7,7,343.53,96.75,14.84,3.26,1.47,0.53,50.00
2026/05/28T00:16:39z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.58,nan,26336,0,100,1.91,2.58,4.20,1.91,2.58,4.20,11,11,465.40,136.47,13.69,3.60,2.09,2.02,0.67,1.00,1.67,0.67,1.00,1.67,4,4,333.14,90.05,10.43,1.55,0.98,0.07,nan
2026/05/28T00:18:39z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1010.54,4.92,26248,0,220,1.49,2.32,3.86,1.49,2.32,3.86,10,10,459.81,136.42,15.54,3.03,1.83,1.63,0.93,1.51,2.58,0.93,1.51,2.58,6,6,343.16,97.49,13.12,2.07,1.75,0.42,50.00
