UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/24T00:01:22z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,30,46,1015.32,4.95,26248,0,940,2.71,3.51,3.56,2.71,3.51,3.56,15,15,754.91,214.35,14.91,1.35,0.02,0.02,2.31,3.17,3.67,2.31,3.17,3.67,13,13,635.48,175.52,20.17,0.78,0.69,0.00,50.00
2026/05/24T00:03:22z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,30,47,1015.32,4.95,26248,0,1060,2.88,3.69,4.31,2.88,3.69,4.31,15,15,726.88,206.97,16.64,2.98,0.78,0.59,2.64,3.39,3.76,2.64,3.39,3.76,14,14,651.41,185.71,18.19,2.63,0.36,0.00,50.00
2026/05/24T00:05:22z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,30,47,1015.31,4.95,26248,0,1180,2.55,3.72,3.79,2.55,3.72,3.79,16,16,635.48,181.59,15.59,2.31,0.07,0.00,2.46,3.16,3.88,2.46,3.16,3.88,13,13,625.66,182.27,13.80,2.30,1.29,0.27,50.00
2026/05/24T00:07:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,30,47,1015.34,nan,26336,0,100,3.38,4.20,5.09,3.38,4.20,5.09,17,17,767.93,228.58,17.07,2.29,0.96,0.53,2.81,3.40,3.64,2.81,3.40,3.64,14,14,620.57,178.17,18.88,1.33,0.26,0.00,nan
2026/05/24T00:09:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,30,47,1015.31,4.95,26248,0,220,2.93,3.36,4.20,2.93,3.36,4.20,14,14,720.36,213.97,13.71,2.05,1.31,0.27,2.54,3.25,4.25,2.54,3.25,4.25,14,14,597.95,169.68,17.49,2.89,1.30,0.00,50.00
2026/05/24T00:11:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,30,47,1015.27,4.95,26248,0,340,3.26,4.00,4.57,3.26,4.00,4.57,17,17,733.29,208.88,15.19,2.09,0.67,0.33,2.61,3.39,3.90,2.61,3.39,3.90,14,14,639.71,175.25,15.78,2.20,0.44,0.00,50.00
2026/05/24T00:13:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,31,47,1015.28,4.95,26248,0,460,3.39,4.12,4.21,3.39,4.12,4.21,17,17,786.91,227.48,13.59,0.84,0.04,0.04,2.19,2.88,3.25,2.19,2.88,3.25,12,12,608.03,173.75,14.90,1.37,0.75,0.00,50.00
2026/05/24T00:15:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,32,46,1015.28,4.95,26248,0,580,3.37,4.05,4.69,3.37,4.05,4.69,17,17,751.37,222.08,15.27,2.37,0.78,0.25,2.60,3.41,4.10,2.60,3.41,4.10,14,14,644.59,183.00,13.22,2.62,1.05,0.21,50.00
2026/05/24T00:17:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,31,47,1015.16,4.95,26248,0,700,3.10,3.92,4.27,3.10,3.92,4.27,16,16,716.64,207.39,16.37,2.34,0.69,0.00,2.17,3.17,3.74,2.17,3.17,3.74,13,13,578.22,163.17,14.88,2.74,0.90,0.26,50.00
2026/05/24T00:19:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,31,47,1015.17,4.95,26248,0,820,3.30,4.23,4.79,3.30,4.23,4.79,18,18,773.89,223.16,15.11,2.14,0.75,0.37,2.45,2.95,3.88,2.45,2.95,3.88,12,12,595.91,173.50,18.67,2.71,1.28,0.24,50.00
