UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/26T00:01:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1009.13,nan,26336,0,100,2.02,3.00,4.53,2.02,3.00,4.53,13,13,554.47,155.00,21.27,2.44,2.00,1.71,1.88,2.65,3.09,1.88,2.65,3.09,11,11,480.98,137.53,17.79,1.21,0.67,0.44,nan
2026/05/26T00:03:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1009.08,4.97,26248,0,220,1.32,2.05,2.83,1.32,2.05,2.83,9,9,416.54,117.15,13.46,1.81,1.07,0.75,1.14,1.96,2.61,1.14,1.96,2.61,8,8,357.86,104.59,16.32,1.71,0.91,0.79,65.45
2026/05/26T00:05:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1009.10,4.97,26248,0,340,1.51,2.30,2.79,1.51,2.30,2.79,10,10,432.53,126.37,15.56,0.89,0.70,0.56,1.33,2.18,3.03,1.33,2.18,3.03,9,9,380.75,111.97,14.98,2.23,1.42,0.68,65.85
2026/05/26T00:07:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1008.98,4.97,26248,0,460,1.00,1.68,3.05,1.00,1.68,3.05,7,7,363.16,100.18,14.32,2.59,1.84,1.21,0.97,1.47,2.00,0.97,1.47,2.00,6,6,281.80,85.17,12.98,2.17,0.93,0.32,57.12
2026/05/26T00:09:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,57,46,1008.98,4.97,26248,0,580,1.07,1.92,2.61,1.07,1.92,2.61,8,8,365.64,101.75,12.39,2.36,0.93,0.61,0.74,0.93,1.78,0.74,0.93,1.78,4,4,289.55,79.41,9.03,1.17,1.14,0.76,57.77
2026/05/26T00:11:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,58,48,1008.96,4.98,26248,0,700,1.25,2.14,2.86,1.25,2.14,2.86,9,9,404.03,110.51,18.08,2.12,1.14,0.42,1.07,1.84,3.75,1.07,1.84,3.75,8,8,357.54,102.46,15.18,4.09,3.02,0.27,66.54
2026/05/26T00:13:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,58,47,1008.90,4.97,26248,0,820,1.25,1.88,2.85,1.25,1.88,2.85,8,8,382.98,108.88,14.02,1.83,1.32,1.15,1.00,1.66,2.44,1.00,1.66,2.44,7,7,311.03,91.10,12.02,2.27,1.32,0.83,61.13
2026/05/26T00:15:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1008.84,4.97,26248,0,940,1.27,1.93,2.23,1.27,1.93,2.23,8,8,403.12,115.32,11.12,0.68,0.29,0.29,1.34,1.98,2.39,1.34,1.98,2.39,8,8,356.80,106.22,15.83,0.75,0.49,0.46,63.46
2026/05/26T00:17:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1008.82,4.97,26248,0,1060,1.98,2.77,3.51,1.98,2.77,3.51,12,12,512.53,143.09,21.00,1.70,1.25,0.37,1.93,2.68,3.31,1.93,2.68,3.31,11,11,477.25,138.86,15.46,1.93,0.95,0.19,72.75
2026/05/26T00:19:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,58,47,1008.91,4.97,26248,0,1180,2.65,3.60,4.48,2.65,3.60,4.48,15,15,618.30,178.65,21.12,3.03,1.17,0.55,2.31,2.93,3.76,2.31,2.93,3.76,12,12,532.91,152.16,17.69,1.58,1.09,0.47,76.78
2026/05/26T00:20:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,59,48,1008.94,nan,26336,0,100,2.11,3.13,4.18,2.11,3.13,4.18,13,13,580.47,162.56,20.36,2.87,1.47,0.69,2.02,2.88,3.49,2.02,2.88,3.49,12,12,501.70,142.67,18.37,1.88,1.28,0.00,nan
2026/05/26T00:22:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,57,48,1009.01,4.97,26248,0,220,1.60,2.47,2.84,1.60,2.47,2.84,10,10,459.36,125.57,20.24,1.21,0.90,0.33,1.18,1.74,2.93,1.18,1.74,2.93,7,7,380.42,103.18,12.67,2.09,1.82,0.21,71.40
2026/05/26T00:24:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1009.05,4.97,26248,0,340,1.25,2.12,3.23,1.25,2.12,3.23,9,9,388.21,107.19,19.02,2.86,1.63,0.53,1.00,1.40,1.93,1.00,1.40,1.93,6,6,349.25,98.42,11.15,1.15,0.72,0.00,79.51
2026/05/26T00:26:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,57,48,1008.97,4.97,26248,0,460,1.16,2.09,2.39,1.16,2.09,2.39,9,9,373.61,104.07,14.38,1.84,0.30,0.30,0.85,1.53,2.63,0.85,1.53,2.63,6,6,334.58,93.90,12.58,2.34,1.49,0.97,81.33
2026/05/26T00:28:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,57,48,1008.95,4.97,26248,0,580,2.24,2.81,3.71,2.24,2.81,3.71,12,12,525.57,147.55,18.90,1.57,1.03,0.43,1.61,2.49,3.77,1.61,2.49,3.77,10,10,429.47,123.81,15.39,4.07,2.05,0.81,82.98
2026/05/26T00:30:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,56,49,1008.98,4.97,26248,0,700,2.00,2.48,3.05,2.00,2.48,3.05,10,10,492.90,137.93,16.37,1.32,0.72,0.72,1.66,2.23,3.73,1.66,2.23,3.73,9,9,435.91,124.70,15.98,2.61,2.32,0.25,84.29
2026/05/26T00:32:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.95,4.97,26248,0,820,2.00,2.54,2.76,2.00,2.54,2.76,11,11,498.56,136.69,12.42,1.37,0.22,0.00,1.76,2.42,2.92,1.76,2.42,2.92,10,10,454.98,130.15,13.00,1.07,0.83,0.34,77.87
2026/05/26T00:34:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,55,47,1008.96,4.97,26248,0,940,1.87,2.47,3.51,1.87,2.47,3.51,10,10,460.85,132.98,17.53,2.47,1.24,0.76,1.42,2.46,3.22,1.42,2.46,3.22,10,10,425.59,121.83,18.75,2.51,1.15,0.08,70.10
2026/05/26T00:36:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,55,47,1008.89,4.97,26248,0,1060,2.68,3.73,4.14,2.68,3.73,4.14,16,16,629.59,175.54,18.98,1.59,0.36,0.14,2.41,3.05,4.02,2.41,3.05,4.02,13,13,536.85,156.36,18.66,1.93,1.51,0.41,72.29
2026/05/26T00:38:59z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,55,48,1008.94,4.97,26248,0,1180,3.61,4.90,5.81,3.61,4.90,5.81,20,20,792.61,223.42,29.37,2.81,1.12,0.51,3.19,4.39,5.19,3.19,4.39,5.19,18,18,693.21,198.91,23.44,3.00,1.26,0.42,76.96
2026/05/26T00:40:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,54,48,1008.90,nan,26336,0,100,3.61,4.74,5.87,3.61,4.74,5.87,20,20,807.98,223.15,25.20,1.85,1.50,0.65,2.72,3.86,4.23,2.72,3.86,4.23,16,16,618.63,177.49,21.63,1.98,0.65,0.00,nan
2026/05/26T00:42:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,53,47,1008.90,4.97,26248,0,220,3.20,4.17,5.02,3.20,4.17,5.02,17,17,740.80,209.39,20.80,1.83,0.86,0.46,2.44,3.37,4.25,2.44,3.37,4.25,14,14,599.00,171.37,19.61,1.74,1.60,0.00,73.67
2026/05/26T00:44:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,53,47,1008.90,4.97,26248,0,340,3.17,3.90,4.64,3.17,3.90,4.64,16,16,678.31,195.78,20.72,1.90,1.10,0.33,2.51,3.36,3.78,2.51,3.36,3.78,14,14,590.59,164.49,19.46,1.00,0.46,0.00,70.18
2026/05/26T00:46:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1008.81,4.97,26248,0,460,3.84,5.22,5.76,3.84,5.22,5.76,22,22,875.62,242.67,26.45,1.82,0.95,0.11,3.41,4.14,4.83,3.41,4.14,4.83,17,17,697.24,200.52,25.91,1.60,1.00,0.31,76.90
2026/05/26T00:48:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.86,4.97,26248,0,580,3.71,4.98,5.46,3.71,4.98,5.46,21,21,817.02,232.71,24.05,1.71,0.95,0.83,3.02,3.88,5.60,3.02,3.88,5.60,16,16,652.05,188.67,21.56,2.96,2.44,1.56,73.02
2026/05/26T00:50:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.86,4.97,26248,0,700,3.00,4.17,5.47,3.00,4.17,5.47,17,17,694.53,194.24,23.05,4.00,1.41,0.90,2.48,3.16,4.93,2.48,3.16,4.93,13,13,555.80,163.29,18.50,3.55,2.39,1.46,61.23
2026/05/26T00:52:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,56,47,1008.88,4.97,26248,0,820,2.34,3.38,4.71,2.34,3.38,4.71,14,14,597.47,166.86,21.28,3.00,2.00,0.86,2.53,3.22,3.45,2.53,3.22,3.45,13,13,529.40,158.57,23.78,0.48,0.48,0.07,54.92
2026/05/26T00:54:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,47,1008.83,4.98,26248,0,940,2.65,3.44,4.61,2.65,3.44,4.61,14,14,586.21,164.79,24.67,2.82,1.46,0.88,2.23,3.02,3.57,2.23,3.02,3.57,13,13,501.60,144.85,20.17,1.92,0.88,0.43,53.48
2026/05/26T00:56:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,55,47,1008.84,4.97,26248,0,1060,2.40,3.72,3.98,2.40,3.72,3.98,15,15,579.05,164.95,23.82,2.05,0.35,0.19,2.12,3.00,3.24,2.12,3.00,3.24,13,13,504.88,147.53,20.00,1.09,0.60,0.00,54.29
2026/05/26T00:58:40z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,56,48,1008.83,4.97,26248,0,1180,2.68,4.25,4.90,2.68,4.25,4.90,18,18,612.51,178.10,26.41,3.49,1.19,0.81,2.21,3.18,4.84,2.21,3.18,4.84,13,13,542.25,157.86,26.00,3.66,2.73,0.20,56.47
2026/05/26T01:00:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,56,47,1008.87,nan,26336,0,100,2.80,3.60,4.56,2.80,3.60,4.56,15,15,635.13,186.38,22.96,1.93,1.44,0.40,1.93,3.28,3.63,1.93,3.28,3.63,14,14,507.28,142.49,19.58,2.47,0.30,0.30,nan
2026/05/26T01:02:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,54,46,1008.88,4.98,26248,0,220,2.78,4.10,5.07,2.78,4.10,5.07,17,17,623.39,179.86,30.25,3.29,1.64,0.39,2.40,3.26,4.43,2.40,3.26,4.43,14,14,518.43,153.12,23.48,2.41,1.67,0.45,55.21
2026/05/26T01:04:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,56,46,1008.92,4.98,26248,0,340,2.12,3.79,4.40,2.12,3.79,4.40,16,16,584.21,162.60,27.37,3.32,1.11,0.47,2.41,3.41,3.75,2.41,3.41,3.75,14,14,527.44,154.97,28.34,0.90,0.51,0.08,53.72
2026/05/26T01:06:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,57,46,1008.88,4.98,26248,0,460,2.30,3.23,3.95,2.30,3.23,3.95,13,13,553.23,160.73,19.82,2.20,1.27,0.59,1.74,2.72,2.98,1.74,2.72,2.98,11,11,451.09,129.10,19.38,2.16,0.57,0.09,54.43
2026/05/26T01:08:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,58,47,1008.86,4.98,26248,0,580,2.37,3.48,4.15,2.37,3.48,4.15,15,15,605.25,171.63,21.48,2.23,1.23,0.25,2.30,3.49,4.47,2.30,3.49,4.47,15,15,535.47,156.18,26.19,2.18,1.51,0.68,54.28
2026/05/26T01:10:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1008.84,4.98,26248,0,700,2.76,3.62,4.76,2.76,3.62,4.76,15,15,616.50,177.78,21.95,2.47,1.62,0.38,2.46,3.45,4.05,2.46,3.45,4.05,14,14,531.64,152.86,23.70,2.73,1.02,0.27,54.27
2026/05/26T01:12:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,58,47,1008.90,4.97,26248,0,820,2.86,3.90,4.68,2.86,3.90,4.68,16,16,619.78,179.69,22.53,3.20,1.10,0.39,2.17,3.42,4.17,2.17,3.42,4.17,14,14,543.46,159.81,20.76,2.37,0.95,0.49,56.77
2026/05/26T01:14:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,57,47,1008.89,4.98,26248,0,940,2.62,3.89,4.77,2.62,3.89,4.77,16,16,628.71,174.32,25.62,2.20,1.50,0.89,2.46,3.36,4.61,2.46,3.36,4.61,14,14,540.76,157.81,23.44,3.15,2.02,0.42,55.34
2026/05/26T01:16:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,57,48,1008.87,4.98,25936,0,1060,2.82,3.63,4.65,2.82,3.63,4.65,15,15,622.32,176.89,19.81,3.07,1.35,0.63,2.29,3.27,3.92,2.29,3.27,3.92,14,14,509.75,149.97,22.88,1.47,0.90,0.68,55.76
2026/05/26T01:18:20z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,56,48,1008.79,4.97,26248,0,1180,2.92,3.98,5.72,2.92,3.98,5.72,17,17,631.05,186.00,25.47,3.28,2.20,1.65,2.63,3.54,3.88,2.63,3.54,3.88,15,15,542.16,161.93,26.39,1.56,0.58,0.21,54.83
2026/05/26T01:20:01z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,56,48,1008.77,nan,26336,0,100,2.60,3.96,4.53,2.60,3.96,4.53,16,16,606.93,175.91,23.71,1.44,1.02,0.47,2.28,3.51,4.33,2.28,3.51,4.33,15,15,566.65,161.44,22.65,2.63,0.98,0.65,nan
2026/05/26T01:22:01z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,46,1008.75,4.98,26248,0,220,2.61,3.76,4.66,2.61,3.76,4.66,16,16,622.27,172.05,25.14,1.97,1.20,0.69,2.21,3.12,4.14,2.21,3.12,4.14,13,13,502.82,149.34,22.82,2.91,1.48,0.50,54.46
