UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/28T00:00:12z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1011.02,4.89,26248,0,340,2.40,3.18,4.40,2.40,3.18,4.40,13,13,656.00,194.30,12.16,2.53,2.18,0.67,0.66,1.61,2.80,0.66,1.61,2.80,7,7,346.88,98.92,13.83,3.39,1.86,0.69,79.24
2026/05/28T00:02:12z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,26,45,1011.00,4.89,26248,0,460,2.29,3.26,4.09,2.29,3.26,4.09,14,14,582.93,179.64,16.48,2.38,1.38,0.64,0.88,1.70,5.33,0.88,1.70,5.33,7,7,373.80,107.72,15.93,6.63,5.22,3.00,77.21
2026/05/28T00:04:12z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,26,45,1010.94,4.89,26248,0,580,2.51,3.42,4.42,2.51,3.42,4.42,14,14,621.51,185.66,16.58,2.66,1.54,0.83,1.34,1.78,3.76,1.34,1.78,3.76,7,7,409.53,113.66,12.05,4.00,2.85,1.59,79.38
2026/05/28T00:06:12z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,26,45,1010.91,4.89,26248,0,700,2.32,2.75,4.02,2.32,2.75,4.02,11,11,576.20,177.81,12.95,2.56,1.85,0.97,0.93,1.39,3.91,0.93,1.39,3.91,6,6,349.55,101.00,11.00,4.61,3.57,1.96,75.28
2026/05/28T00:08:12z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,26,45,1010.92,4.89,26248,0,820,2.56,3.51,4.53,2.56,3.51,4.53,15,15,656.16,194.07,12.51,3.28,1.60,1.02,0.72,1.82,3.89,0.72,1.82,3.89,8,8,361.32,106.05,14.09,5.81,3.11,1.33,83.55
2026/05/28T00:10:12z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.93,4.89,26248,0,940,2.74,3.67,4.56,2.74,3.67,4.56,15,15,667.84,205.09,15.56,3.39,1.61,0.21,0.80,1.69,2.90,0.80,1.69,2.90,7,7,358.07,105.20,16.10,2.95,1.80,0.76,76.92
2026/05/28T00:12:12z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.94,4.89,26248,0,1060,2.14,2.86,3.59,2.14,2.86,3.59,12,12,648.76,193.03,14.29,2.39,1.12,0.58,0.95,1.83,3.97,0.95,1.83,3.97,8,8,368.79,99.50,16.09,4.29,3.26,2.02,77.64
2026/05/28T00:14:12z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.91,4.89,26248,0,1180,1.73,2.62,3.35,1.73,2.62,3.35,11,11,562.50,169.38,13.58,2.92,1.22,0.40,0.75,1.11,3.14,0.75,1.11,3.14,5,5,334.26,92.11,11.42,3.42,2.72,1.26,72.96
2026/05/28T00:15:52z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.87,nan,26336,0,100,1.46,2.52,3.59,1.46,2.52,3.59,11,11,566.93,162.20,15.93,3.63,1.72,0.52,0.67,1.14,2.86,0.67,1.14,2.86,5,5,316.47,92.98,14.70,3.91,2.67,0.81,nan
2026/05/28T00:17:52z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,26,45,1010.80,4.89,26248,0,220,2.27,3.37,5.03,2.27,3.37,5.03,14,14,600.25,181.15,18.03,5.61,2.69,1.15,1.00,1.39,3.36,1.00,1.39,3.36,6,6,332.95,95.89,10.66,3.55,2.77,2.02,76.87
2026/05/28T00:19:52z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,26,45,1010.79,4.89,26248,0,340,1.74,2.68,3.39,1.74,2.68,3.39,11,11,508.84,150.51,15.56,3.51,1.32,0.30,0.80,1.49,3.10,0.80,1.49,3.10,6,6,313.47,89.83,12.59,3.81,2.53,1.15,71.09
